@RELATION "B3 - GGBR4"

@ATTRIBUTE cotacao1 NUMERIC
@ATTRIBUTE high1 NUMERIC
@ATTRIBUTE low1 NUMERIC
@ATTRIBUTE open1 NUMERIC
@ATTRIBUTE volume1 NUMERIC
@ATTRIBUTE cotacao2 NUMERIC
@ATTRIBUTE high2 NUMERIC
@ATTRIBUTE low2 NUMERIC
@ATTRIBUTE open2 NUMERIC
@ATTRIBUTE volume2 NUMERIC
@ATTRIBUTE cotacao3 NUMERIC
@ATTRIBUTE high3 NUMERIC
@ATTRIBUTE low3 NUMERIC
@ATTRIBUTE open3 NUMERIC
@ATTRIBUTE volume3 NUMERIC
@ATTRIBUTE cotacao4 NUMERIC
@ATTRIBUTE high4 NUMERIC
@ATTRIBUTE low4 NUMERIC
@ATTRIBUTE open4 NUMERIC
@ATTRIBUTE volume4 NUMERIC
@ATTRIBUTE cotacao5 NUMERIC
@ATTRIBUTE high5 NUMERIC
@ATTRIBUTE low5 NUMERIC
@ATTRIBUTE open5 NUMERIC
@ATTRIBUTE volume5 NUMERIC
@ATTRIBUTE cotacao6 NUMERIC
@ATTRIBUTE high6 NUMERIC
@ATTRIBUTE low6 NUMERIC
@ATTRIBUTE open6 NUMERIC
@ATTRIBUTE volume6 NUMERIC
@ATTRIBUTE cotacao7 NUMERIC
@ATTRIBUTE high7 NUMERIC
@ATTRIBUTE low7 NUMERIC
@ATTRIBUTE open7 NUMERIC
@ATTRIBUTE volume7 NUMERIC
@ATTRIBUTE cotacao8 NUMERIC
@ATTRIBUTE high8 NUMERIC
@ATTRIBUTE low8 NUMERIC
@ATTRIBUTE open8 NUMERIC
@ATTRIBUTE volume8 NUMERIC
@ATTRIBUTE cotacao9 NUMERIC
@ATTRIBUTE high9 NUMERIC
@ATTRIBUTE low9 NUMERIC
@ATTRIBUTE open9 NUMERIC
@ATTRIBUTE volume9 NUMERIC
@ATTRIBUTE cotacao10 NUMERIC
@ATTRIBUTE high10 NUMERIC
@ATTRIBUTE low10 NUMERIC
@ATTRIBUTE open10 NUMERIC
@ATTRIBUTE volume10 NUMERIC
@ATTRIBUTE cotacao11 NUMERIC
@ATTRIBUTE high11 NUMERIC
@ATTRIBUTE low11 NUMERIC
@ATTRIBUTE open11 NUMERIC
@ATTRIBUTE volume11 NUMERIC
@ATTRIBUTE cotacao12 NUMERIC
@ATTRIBUTE high12 NUMERIC
@ATTRIBUTE low12 NUMERIC
@ATTRIBUTE open12 NUMERIC
@ATTRIBUTE volume12 NUMERIC
@ATTRIBUTE cotacao13 NUMERIC
@ATTRIBUTE high13 NUMERIC
@ATTRIBUTE low13 NUMERIC
@ATTRIBUTE open13 NUMERIC
@ATTRIBUTE volume13 NUMERIC
@ATTRIBUTE cotacao14 NUMERIC
@ATTRIBUTE high14 NUMERIC
@ATTRIBUTE low14 NUMERIC
@ATTRIBUTE open14 NUMERIC
@ATTRIBUTE volume14 NUMERIC
@ATTRIBUTE cotacao15 NUMERIC
@ATTRIBUTE high15 NUMERIC
@ATTRIBUTE low15 NUMERIC
@ATTRIBUTE open15 NUMERIC
@ATTRIBUTE volume15 NUMERIC
@ATTRIBUTE cotacao16 NUMERIC
@ATTRIBUTE high16 NUMERIC
@ATTRIBUTE low16 NUMERIC
@ATTRIBUTE open16 NUMERIC
@ATTRIBUTE volume16 NUMERIC
@ATTRIBUTE cotacao17 NUMERIC
@ATTRIBUTE high17 NUMERIC
@ATTRIBUTE low17 NUMERIC
@ATTRIBUTE open17 NUMERIC
@ATTRIBUTE volume17 NUMERIC
@ATTRIBUTE cotacao18 NUMERIC
@ATTRIBUTE high18 NUMERIC
@ATTRIBUTE low18 NUMERIC
@ATTRIBUTE open18 NUMERIC
@ATTRIBUTE volume18 NUMERIC
@ATTRIBUTE cotacao19 NUMERIC
@ATTRIBUTE high19 NUMERIC
@ATTRIBUTE low19 NUMERIC
@ATTRIBUTE open19 NUMERIC
@ATTRIBUTE volume19 NUMERIC
@ATTRIBUTE cotacao20 NUMERIC
@ATTRIBUTE high20 NUMERIC
@ATTRIBUTE low20 NUMERIC
@ATTRIBUTE open20 NUMERIC
@ATTRIBUTE volume20 NUMERIC
@ATTRIBUTE cotacao21 NUMERIC
@ATTRIBUTE high21 NUMERIC
@ATTRIBUTE low21 NUMERIC
@ATTRIBUTE open21 NUMERIC
@ATTRIBUTE volume21 NUMERIC
@ATTRIBUTE cotacao22 NUMERIC
@ATTRIBUTE high22 NUMERIC
@ATTRIBUTE low22 NUMERIC
@ATTRIBUTE open22 NUMERIC
@ATTRIBUTE volume22 NUMERIC
@ATTRIBUTE cotacao23 NUMERIC
@ATTRIBUTE high23 NUMERIC
@ATTRIBUTE low23 NUMERIC
@ATTRIBUTE open23 NUMERIC
@ATTRIBUTE volume23 NUMERIC
@ATTRIBUTE cotacao24 NUMERIC
@ATTRIBUTE high24 NUMERIC
@ATTRIBUTE low24 NUMERIC
@ATTRIBUTE open24 NUMERIC
@ATTRIBUTE volume24 NUMERIC
@ATTRIBUTE cotacao25 NUMERIC
@ATTRIBUTE high25 NUMERIC
@ATTRIBUTE low25 NUMERIC
@ATTRIBUTE open25 NUMERIC
@ATTRIBUTE volume25 NUMERIC
@ATTRIBUTE cotacao26 NUMERIC
@ATTRIBUTE high26 NUMERIC
@ATTRIBUTE low26 NUMERIC
@ATTRIBUTE open26 NUMERIC
@ATTRIBUTE volume26 NUMERIC
@ATTRIBUTE cotacao27 NUMERIC
@ATTRIBUTE high27 NUMERIC
@ATTRIBUTE low27 NUMERIC
@ATTRIBUTE open27 NUMERIC
@ATTRIBUTE volume27 NUMERIC
@ATTRIBUTE cotacao28 NUMERIC
@ATTRIBUTE high28 NUMERIC
@ATTRIBUTE low28 NUMERIC
@ATTRIBUTE open28 NUMERIC
@ATTRIBUTE volume28 NUMERIC
@ATTRIBUTE cotacao29 NUMERIC
@ATTRIBUTE high29 NUMERIC
@ATTRIBUTE low29 NUMERIC
@ATTRIBUTE open29 NUMERIC
@ATTRIBUTE volume29 NUMERIC
@ATTRIBUTE cotacao30 NUMERIC
@ATTRIBUTE high30 NUMERIC
@ATTRIBUTE low30 NUMERIC
@ATTRIBUTE open30 NUMERIC
@ATTRIBUTE volume30 NUMERIC
@ATTRIBUTE cotacao31 NUMERIC
@ATTRIBUTE high31 NUMERIC
@ATTRIBUTE low31 NUMERIC
@ATTRIBUTE open31 NUMERIC
@ATTRIBUTE volume31 NUMERIC
@ATTRIBUTE cotacao32 NUMERIC
@ATTRIBUTE high32 NUMERIC
@ATTRIBUTE low32 NUMERIC
@ATTRIBUTE open32 NUMERIC
@ATTRIBUTE volume32 NUMERIC
@ATTRIBUTE cotacao33 NUMERIC
@ATTRIBUTE high33 NUMERIC
@ATTRIBUTE low33 NUMERIC
@ATTRIBUTE open33 NUMERIC
@ATTRIBUTE volume33 NUMERIC
@ATTRIBUTE cotacao34 NUMERIC
@ATTRIBUTE high34 NUMERIC
@ATTRIBUTE low34 NUMERIC
@ATTRIBUTE open34 NUMERIC
@ATTRIBUTE volume34 NUMERIC
@ATTRIBUTE cotacao35 NUMERIC
@ATTRIBUTE high35 NUMERIC
@ATTRIBUTE low35 NUMERIC
@ATTRIBUTE open35 NUMERIC
@ATTRIBUTE volume35 NUMERIC
@ATTRIBUTE cotacao NUMERIC
@ATTRIBUTE high NUMERIC
@ATTRIBUTE low NUMERIC
@ATTRIBUTE open NUMERIC
@ATTRIBUTE volume NUMERIC
@ATTRIBUTE alvo {1, 0}

@DATA
16.0286,16.181,15.781,16.1524,121695812.7346,16.2571,16.3905,16.0571,16.2476,82237479.4734,16.5048,16.7524,16.3714,16.4286,85412191.2243,16.4286,16.7429,16.3429,16.5905,98611068.1781,16.8381,17.381,16.6762,17.3333,87902991.775,17.1905,17.4095,16.6,16.6667,161124721.8459,16.6286,17.3048,16.5429,17.219,153874631.4438,17.0571,17.1333,16.6095,16.8,138117922.9893,16.9333,17.581,16.9048,17.4857,142333161.6405,17.4952,18.1429,17.3619,18.019,193153053.505,17.9048,18.0095,17.6762,17.9143,116684349.6332,17.6857,17.6857,17.0762,17.1429,104140854.3296,17.0667,17.381,16.9429,17.3333,121888670.4347,17.6,17.9905,17.3714,17.9048,93878616.3267,17.8381,17.9905,17.7143,17.819,112716961.3821,18.2381,18.4762,18.1524,18.2286,85010659.6742,18.2571,18.381,18.0762,18.2381,90154295.7257,18.219,18.419,17.8476,18.0952,157202302.9947,18.2095,18.3714,17.8476,17.9048,201622182.3574,17.9048,17.9524,17.0571,17.1333,201837492.2074,17.019,17.1333,16.7619,16.7714,85791253.8244,17.0095,17.0762,16.619,16.7143,127920264.1864,16.5714,16.8095,16.3905,16.7238,129752102.5869,16.2857,16.5714,16.1143,16.5238,138170043.9393,16.3429,16.8571,16.3333,16.8571,164599656.9468,17.181,17.5238,17.0476,17.3619,102378063.9291,17.4857,17.5714,17.3048,17.4286,94983118.677,17.2952,17.3238,17.0476,17.2,105011283.3299,17.0952,17.3143,16.8571,16.9048,165327782.597,16.8,16.8667,16.6381,16.6476,111354044.5817,16.6476,16.9048,16.6286,16.9048,78410226.3223,16.9333,17.019,16.8095,16.8381,65453839.5186,16.7714,17.0476,16.6667,16.8286,88834846.8253,16.8952,17.0667,16.7905,16.9714,51108901.2145,16.8762,16.9714,16.6095,16.7524,160098794.1456,16.0762,16.381,16.0476,16.1238,88408745.2752,0
16.0762,16.381,16.0476,16.1238,88408745.2752,16.0286,16.181,15.781,16.1524,121695812.7346,16.2571,16.3905,16.0571,16.2476,82237479.4734,16.5048,16.7524,16.3714,16.4286,85412191.2243,16.4286,16.7429,16.3429,16.5905,98611068.1781,16.8381,17.381,16.6762,17.3333,87902991.775,17.1905,17.4095,16.6,16.6667,161124721.8459,16.6286,17.3048,16.5429,17.219,153874631.4438,17.0571,17.1333,16.6095,16.8,138117922.9893,16.9333,17.581,16.9048,17.4857,142333161.6405,17.4952,18.1429,17.3619,18.019,193153053.505,17.9048,18.0095,17.6762,17.9143,116684349.6332,17.6857,17.6857,17.0762,17.1429,104140854.3296,17.0667,17.381,16.9429,17.3333,121888670.4347,17.6,17.9905,17.3714,17.9048,93878616.3267,17.8381,17.9905,17.7143,17.819,112716961.3821,18.2381,18.4762,18.1524,18.2286,85010659.6742,18.2571,18.381,18.0762,18.2381,90154295.7257,18.219,18.419,17.8476,18.0952,157202302.9947,18.2095,18.3714,17.8476,17.9048,201622182.3574,17.9048,17.9524,17.0571,17.1333,201837492.2074,17.019,17.1333,16.7619,16.7714,85791253.8244,17.0095,17.0762,16.619,16.7143,127920264.1864,16.5714,16.8095,16.3905,16.7238,129752102.5869,16.2857,16.5714,16.1143,16.5238,138170043.9393,16.3429,16.8571,16.3333,16.8571,164599656.9468,17.181,17.5238,17.0476,17.3619,102378063.9291,17.4857,17.5714,17.3048,17.4286,94983118.677,17.2952,17.3238,17.0476,17.2,105011283.3299,17.0952,17.3143,16.8571,16.9048,165327782.597,16.8,16.8667,16.6381,16.6476,111354044.5817,16.6476,16.9048,16.6286,16.9048,78410226.3223,16.9333,17.019,16.8095,16.8381,65453839.5186,16.7714,17.0476,16.6667,16.8286,88834846.8253,16.8952,17.0667,16.7905,16.9714,51108901.2145,16.7429,16.7714,15.9524,16.1333,125534806.9857,0
16.7429,16.7714,15.9524,16.1333,125534806.9857,16.0762,16.381,16.0476,16.1238,88408745.2752,16.0286,16.181,15.781,16.1524,121695812.7346,16.2571,16.3905,16.0571,16.2476,82237479.4734,16.5048,16.7524,16.3714,16.4286,85412191.2243,16.4286,16.7429,16.3429,16.5905,98611068.1781,16.8381,17.381,16.6762,17.3333,87902991.775,17.1905,17.4095,16.6,16.6667,161124721.8459,16.6286,17.3048,16.5429,17.219,153874631.4438,17.0571,17.1333,16.6095,16.8,138117922.9893,16.9333,17.581,16.9048,17.4857,142333161.6405,17.4952,18.1429,17.3619,18.019,193153053.505,17.9048,18.0095,17.6762,17.9143,116684349.6332,17.6857,17.6857,17.0762,17.1429,104140854.3296,17.0667,17.381,16.9429,17.3333,121888670.4347,17.6,17.9905,17.3714,17.9048,93878616.3267,17.8381,17.9905,17.7143,17.819,112716961.3821,18.2381,18.4762,18.1524,18.2286,85010659.6742,18.2571,18.381,18.0762,18.2381,90154295.7257,18.219,18.419,17.8476,18.0952,157202302.9947,18.2095,18.3714,17.8476,17.9048,201622182.3574,17.9048,17.9524,17.0571,17.1333,201837492.2074,17.019,17.1333,16.7619,16.7714,85791253.8244,17.0095,17.0762,16.619,16.7143,127920264.1864,16.5714,16.8095,16.3905,16.7238,129752102.5869,16.2857,16.5714,16.1143,16.5238,138170043.9393,16.3429,16.8571,16.3333,16.8571,164599656.9468,17.181,17.5238,17.0476,17.3619,102378063.9291,17.4857,17.5714,17.3048,17.4286,94983118.677,17.2952,17.3238,17.0476,17.2,105011283.3299,17.0952,17.3143,16.8571,16.9048,165327782.597,16.8,16.8667,16.6381,16.6476,111354044.5817,16.6476,16.9048,16.6286,16.9048,78410226.3223,16.9333,17.019,16.8095,16.8381,65453839.5186,16.7714,17.0476,16.6667,16.8286,88834846.8253,16.5524,16.6762,16.1429,16.5714,87460915.5249,0
16.5524,16.6762,16.1429,16.5714,87460915.5249,16.7429,16.7714,15.9524,16.1333,125534806.9857,16.0762,16.381,16.0476,16.1238,88408745.2752,16.0286,16.181,15.781,16.1524,121695812.7346,16.2571,16.3905,16.0571,16.2476,82237479.4734,16.5048,16.7524,16.3714,16.4286,85412191.2243,16.4286,16.7429,16.3429,16.5905,98611068.1781,16.8381,17.381,16.6762,17.3333,87902991.775,17.1905,17.4095,16.6,16.6667,161124721.8459,16.6286,17.3048,16.5429,17.219,153874631.4438,17.0571,17.1333,16.6095,16.8,138117922.9893,16.9333,17.581,16.9048,17.4857,142333161.6405,17.4952,18.1429,17.3619,18.019,193153053.505,17.9048,18.0095,17.6762,17.9143,116684349.6332,17.6857,17.6857,17.0762,17.1429,104140854.3296,17.0667,17.381,16.9429,17.3333,121888670.4347,17.6,17.9905,17.3714,17.9048,93878616.3267,17.8381,17.9905,17.7143,17.819,112716961.3821,18.2381,18.4762,18.1524,18.2286,85010659.6742,18.2571,18.381,18.0762,18.2381,90154295.7257,18.219,18.419,17.8476,18.0952,157202302.9947,18.2095,18.3714,17.8476,17.9048,201622182.3574,17.9048,17.9524,17.0571,17.1333,201837492.2074,17.019,17.1333,16.7619,16.7714,85791253.8244,17.0095,17.0762,16.619,16.7143,127920264.1864,16.5714,16.8095,16.3905,16.7238,129752102.5869,16.2857,16.5714,16.1143,16.5238,138170043.9393,16.3429,16.8571,16.3333,16.8571,164599656.9468,17.181,17.5238,17.0476,17.3619,102378063.9291,17.4857,17.5714,17.3048,17.4286,94983118.677,17.2952,17.3238,17.0476,17.2,105011283.3299,17.0952,17.3143,16.8571,16.9048,165327782.597,16.8,16.8667,16.6381,16.6476,111354044.5817,16.6476,16.9048,16.6286,16.9048,78410226.3223,16.9333,17.019,16.8095,16.8381,65453839.5186,16.419,16.7905,16.1524,16.619,93374012.5766,0
16.419,16.7905,16.1524,16.619,93374012.5766,16.5524,16.6762,16.1429,16.5714,87460915.5249,16.7429,16.7714,15.9524,16.1333,125534806.9857,16.0762,16.381,16.0476,16.1238,88408745.2752,16.0286,16.181,15.781,16.1524,121695812.7346,16.2571,16.3905,16.0571,16.2476,82237479.4734,16.5048,16.7524,16.3714,16.4286,85412191.2243,16.4286,16.7429,16.3429,16.5905,98611068.1781,16.8381,17.381,16.6762,17.3333,87902991.775,17.1905,17.4095,16.6,16.6667,161124721.8459,16.6286,17.3048,16.5429,17.219,153874631.4438,17.0571,17.1333,16.6095,16.8,138117922.9893,16.9333,17.581,16.9048,17.4857,142333161.6405,17.4952,18.1429,17.3619,18.019,193153053.505,17.9048,18.0095,17.6762,17.9143,116684349.6332,17.6857,17.6857,17.0762,17.1429,104140854.3296,17.0667,17.381,16.9429,17.3333,121888670.4347,17.6,17.9905,17.3714,17.9048,93878616.3267,17.8381,17.9905,17.7143,17.819,112716961.3821,18.2381,18.4762,18.1524,18.2286,85010659.6742,18.2571,18.381,18.0762,18.2381,90154295.7257,18.219,18.419,17.8476,18.0952,157202302.9947,18.2095,18.3714,17.8476,17.9048,201622182.3574,17.9048,17.9524,17.0571,17.1333,201837492.2074,17.019,17.1333,16.7619,16.7714,85791253.8244,17.0095,17.0762,16.619,16.7143,127920264.1864,16.5714,16.8095,16.3905,16.7238,129752102.5869,16.2857,16.5714,16.1143,16.5238,138170043.9393,16.3429,16.8571,16.3333,16.8571,164599656.9468,17.181,17.5238,17.0476,17.3619,102378063.9291,17.4857,17.5714,17.3048,17.4286,94983118.677,17.2952,17.3238,17.0476,17.2,105011283.3299,17.0952,17.3143,16.8571,16.9048,165327782.597,16.8,16.8667,16.6381,16.6476,111354044.5817,16.6476,16.9048,16.6286,16.9048,78410226.3223,16.6667,16.8667,16.4476,16.5714,103652945.5795,0
16.6667,16.8667,16.4476,16.5714,103652945.5795,16.419,16.7905,16.1524,16.619,93374012.5766,16.5524,16.6762,16.1429,16.5714,87460915.5249,16.7429,16.7714,15.9524,16.1333,125534806.9857,16.0762,16.381,16.0476,16.1238,88408745.2752,16.0286,16.181,15.781,16.1524,121695812.7346,16.2571,16.3905,16.0571,16.2476,82237479.4734,16.5048,16.7524,16.3714,16.4286,85412191.2243,16.4286,16.7429,16.3429,16.5905,98611068.1781,16.8381,17.381,16.6762,17.3333,87902991.775,17.1905,17.4095,16.6,16.6667,161124721.8459,16.6286,17.3048,16.5429,17.219,153874631.4438,17.0571,17.1333,16.6095,16.8,138117922.9893,16.9333,17.581,16.9048,17.4857,142333161.6405,17.4952,18.1429,17.3619,18.019,193153053.505,17.9048,18.0095,17.6762,17.9143,116684349.6332,17.6857,17.6857,17.0762,17.1429,104140854.3296,17.0667,17.381,16.9429,17.3333,121888670.4347,17.6,17.9905,17.3714,17.9048,93878616.3267,17.8381,17.9905,17.7143,17.819,112716961.3821,18.2381,18.4762,18.1524,18.2286,85010659.6742,18.2571,18.381,18.0762,18.2381,90154295.7257,18.219,18.419,17.8476,18.0952,157202302.9947,18.2095,18.3714,17.8476,17.9048,201622182.3574,17.9048,17.9524,17.0571,17.1333,201837492.2074,17.019,17.1333,16.7619,16.7714,85791253.8244,17.0095,17.0762,16.619,16.7143,127920264.1864,16.5714,16.8095,16.3905,16.7238,129752102.5869,16.2857,16.5714,16.1143,16.5238,138170043.9393,16.3429,16.8571,16.3333,16.8571,164599656.9468,17.181,17.5238,17.0476,17.3619,102378063.9291,17.4857,17.5714,17.3048,17.4286,94983118.677,17.2952,17.3238,17.0476,17.2,105011283.3299,17.0952,17.3143,16.8571,16.9048,165327782.597,16.8,16.8667,16.6381,16.6476,111354044.5817,17.2762,17.2762,16.619,16.7048,196782601.106,0
17.2762,17.2762,16.619,16.7048,196782601.106,16.6667,16.8667,16.4476,16.5714,103652945.5795,16.419,16.7905,16.1524,16.619,93374012.5766,16.5524,16.6762,16.1429,16.5714,87460915.5249,16.7429,16.7714,15.9524,16.1333,125534806.9857,16.0762,16.381,16.0476,16.1238,88408745.2752,16.0286,16.181,15.781,16.1524,121695812.7346,16.2571,16.3905,16.0571,16.2476,82237479.4734,16.5048,16.7524,16.3714,16.4286,85412191.2243,16.4286,16.7429,16.3429,16.5905,98611068.1781,16.8381,17.381,16.6762,17.3333,87902991.775,17.1905,17.4095,16.6,16.6667,161124721.8459,16.6286,17.3048,16.5429,17.219,153874631.4438,17.0571,17.1333,16.6095,16.8,138117922.9893,16.9333,17.581,16.9048,17.4857,142333161.6405,17.4952,18.1429,17.3619,18.019,193153053.505,17.9048,18.0095,17.6762,17.9143,116684349.6332,17.6857,17.6857,17.0762,17.1429,104140854.3296,17.0667,17.381,16.9429,17.3333,121888670.4347,17.6,17.9905,17.3714,17.9048,93878616.3267,17.8381,17.9905,17.7143,17.819,112716961.3821,18.2381,18.4762,18.1524,18.2286,85010659.6742,18.2571,18.381,18.0762,18.2381,90154295.7257,18.219,18.419,17.8476,18.0952,157202302.9947,18.2095,18.3714,17.8476,17.9048,201622182.3574,17.9048,17.9524,17.0571,17.1333,201837492.2074,17.019,17.1333,16.7619,16.7714,85791253.8244,17.0095,17.0762,16.619,16.7143,127920264.1864,16.5714,16.8095,16.3905,16.7238,129752102.5869,16.2857,16.5714,16.1143,16.5238,138170043.9393,16.3429,16.8571,16.3333,16.8571,164599656.9468,17.181,17.5238,17.0476,17.3619,102378063.9291,17.4857,17.5714,17.3048,17.4286,94983118.677,17.2952,17.3238,17.0476,17.2,105011283.3299,17.0952,17.3143,16.8571,16.9048,165327782.597,16.981,17.381,16.8952,17.1905,105356880.33,0
16.981,17.381,16.8952,17.1905,105356880.33,17.2762,17.2762,16.619,16.7048,196782601.106,16.6667,16.8667,16.4476,16.5714,103652945.5795,16.419,16.7905,16.1524,16.619,93374012.5766,16.5524,16.6762,16.1429,16.5714,87460915.5249,16.7429,16.7714,15.9524,16.1333,125534806.9857,16.0762,16.381,16.0476,16.1238,88408745.2752,16.0286,16.181,15.781,16.1524,121695812.7346,16.2571,16.3905,16.0571,16.2476,82237479.4734,16.5048,16.7524,16.3714,16.4286,85412191.2243,16.4286,16.7429,16.3429,16.5905,98611068.1781,16.8381,17.381,16.6762,17.3333,87902991.775,17.1905,17.4095,16.6,16.6667,161124721.8459,16.6286,17.3048,16.5429,17.219,153874631.4438,17.0571,17.1333,16.6095,16.8,138117922.9893,16.9333,17.581,16.9048,17.4857,142333161.6405,17.4952,18.1429,17.3619,18.019,193153053.505,17.9048,18.0095,17.6762,17.9143,116684349.6332,17.6857,17.6857,17.0762,17.1429,104140854.3296,17.0667,17.381,16.9429,17.3333,121888670.4347,17.6,17.9905,17.3714,17.9048,93878616.3267,17.8381,17.9905,17.7143,17.819,112716961.3821,18.2381,18.4762,18.1524,18.2286,85010659.6742,18.2571,18.381,18.0762,18.2381,90154295.7257,18.219,18.419,17.8476,18.0952,157202302.9947,18.2095,18.3714,17.8476,17.9048,201622182.3574,17.9048,17.9524,17.0571,17.1333,201837492.2074,17.019,17.1333,16.7619,16.7714,85791253.8244,17.0095,17.0762,16.619,16.7143,127920264.1864,16.5714,16.8095,16.3905,16.7238,129752102.5869,16.2857,16.5714,16.1143,16.5238,138170043.9393,16.3429,16.8571,16.3333,16.8571,164599656.9468,17.181,17.5238,17.0476,17.3619,102378063.9291,17.4857,17.5714,17.3048,17.4286,94983118.677,17.2952,17.3238,17.0476,17.2,105011283.3299,17.0476,17.2762,16.9524,17.0952,71967775.9705,0
17.0476,17.2762,16.9524,17.0952,71967775.9705,16.981,17.381,16.8952,17.1905,105356880.33,17.2762,17.2762,16.619,16.7048,196782601.106,16.6667,16.8667,16.4476,16.5714,103652945.5795,16.419,16.7905,16.1524,16.619,93374012.5766,16.5524,16.6762,16.1429,16.5714,87460915.5249,16.7429,16.7714,15.9524,16.1333,125534806.9857,16.0762,16.381,16.0476,16.1238,88408745.2752,16.0286,16.181,15.781,16.1524,121695812.7346,16.2571,16.3905,16.0571,16.2476,82237479.4734,16.5048,16.7524,16.3714,16.4286,85412191.2243,16.4286,16.7429,16.3429,16.5905,98611068.1781,16.8381,17.381,16.6762,17.3333,87902991.775,17.1905,17.4095,16.6,16.6667,161124721.8459,16.6286,17.3048,16.5429,17.219,153874631.4438,17.0571,17.1333,16.6095,16.8,138117922.9893,16.9333,17.581,16.9048,17.4857,142333161.6405,17.4952,18.1429,17.3619,18.019,193153053.505,17.9048,18.0095,17.6762,17.9143,116684349.6332,17.6857,17.6857,17.0762,17.1429,104140854.3296,17.0667,17.381,16.9429,17.3333,121888670.4347,17.6,17.9905,17.3714,17.9048,93878616.3267,17.8381,17.9905,17.7143,17.819,112716961.3821,18.2381,18.4762,18.1524,18.2286,85010659.6742,18.2571,18.381,18.0762,18.2381,90154295.7257,18.219,18.419,17.8476,18.0952,157202302.9947,18.2095,18.3714,17.8476,17.9048,201622182.3574,17.9048,17.9524,17.0571,17.1333,201837492.2074,17.019,17.1333,16.7619,16.7714,85791253.8244,17.0095,17.0762,16.619,16.7143,127920264.1864,16.5714,16.8095,16.3905,16.7238,129752102.5869,16.2857,16.5714,16.1143,16.5238,138170043.9393,16.3429,16.8571,16.3333,16.8571,164599656.9468,17.181,17.5238,17.0476,17.3619,102378063.9291,17.4857,17.5714,17.3048,17.4286,94983118.677,16.5143,16.6667,16.3429,16.6667,75689490.4715,0
16.5143,16.6667,16.3429,16.6667,75689490.4715,17.0476,17.2762,16.9524,17.0952,71967775.9705,16.981,17.381,16.8952,17.1905,105356880.33,17.2762,17.2762,16.619,16.7048,196782601.106,16.6667,16.8667,16.4476,16.5714,103652945.5795,16.419,16.7905,16.1524,16.619,93374012.5766,16.5524,16.6762,16.1429,16.5714,87460915.5249,16.7429,16.7714,15.9524,16.1333,125534806.9857,16.0762,16.381,16.0476,16.1238,88408745.2752,16.0286,16.181,15.781,16.1524,121695812.7346,16.2571,16.3905,16.0571,16.2476,82237479.4734,16.5048,16.7524,16.3714,16.4286,85412191.2243,16.4286,16.7429,16.3429,16.5905,98611068.1781,16.8381,17.381,16.6762,17.3333,87902991.775,17.1905,17.4095,16.6,16.6667,161124721.8459,16.6286,17.3048,16.5429,17.219,153874631.4438,17.0571,17.1333,16.6095,16.8,138117922.9893,16.9333,17.581,16.9048,17.4857,142333161.6405,17.4952,18.1429,17.3619,18.019,193153053.505,17.9048,18.0095,17.6762,17.9143,116684349.6332,17.6857,17.6857,17.0762,17.1429,104140854.3296,17.0667,17.381,16.9429,17.3333,121888670.4347,17.6,17.9905,17.3714,17.9048,93878616.3267,17.8381,17.9905,17.7143,17.819,112716961.3821,18.2381,18.4762,18.1524,18.2286,85010659.6742,18.2571,18.381,18.0762,18.2381,90154295.7257,18.219,18.419,17.8476,18.0952,157202302.9947,18.2095,18.3714,17.8476,17.9048,201622182.3574,17.9048,17.9524,17.0571,17.1333,201837492.2074,17.019,17.1333,16.7619,16.7714,85791253.8244,17.0095,17.0762,16.619,16.7143,127920264.1864,16.5714,16.8095,16.3905,16.7238,129752102.5869,16.2857,16.5714,16.1143,16.5238,138170043.9393,16.3429,16.8571,16.3333,16.8571,164599656.9468,17.181,17.5238,17.0476,17.3619,102378063.9291,16.8381,16.8381,16.2857,16.4667,93547926.1766,0
