@RELATION "B3 - GFSA3"

@ATTRIBUTE pl1 NUMERIC
@ATTRIBUTE pvpa1 NUMERIC
@ATTRIBUTE psr1 NUMERIC
@ATTRIBUTE roe1 NUMERIC
@ATTRIBUTE ev_ebit1 NUMERIC
@ATTRIBUTE pl2 NUMERIC
@ATTRIBUTE pvpa2 NUMERIC
@ATTRIBUTE psr2 NUMERIC
@ATTRIBUTE roe2 NUMERIC
@ATTRIBUTE ev_ebit2 NUMERIC
@ATTRIBUTE pl3 NUMERIC
@ATTRIBUTE pvpa3 NUMERIC
@ATTRIBUTE psr3 NUMERIC
@ATTRIBUTE roe3 NUMERIC
@ATTRIBUTE ev_ebit3 NUMERIC
@ATTRIBUTE pl4 NUMERIC
@ATTRIBUTE pvpa4 NUMERIC
@ATTRIBUTE psr4 NUMERIC
@ATTRIBUTE roe4 NUMERIC
@ATTRIBUTE ev_ebit4 NUMERIC
@ATTRIBUTE pl NUMERIC
@ATTRIBUTE pvpa NUMERIC
@ATTRIBUTE psr NUMERIC
@ATTRIBUTE roe NUMERIC
@ATTRIBUTE ev_ebit NUMERIC
@ATTRIBUTE cotacao NUMERIC
@ATTRIBUTE alvo {1, 0}

@DATA
-30.6448,10.9328,28.7042,-0.3568,-37.9307,-30.7984,10.9876,28.8481,-0.3568,-38.1208,-31.8737,11.3712,29.8553,-0.3568,-39.4517,-30.568,10.9054,28.6323,-0.3568,-37.8356,-31.336,11.1794,29.3517,-0.3568,-38.7862,490.0031,1
-31.336,11.1794,29.3517,-0.3568,-38.7862,-30.6448,10.9328,28.7042,-0.3568,-37.9307,-30.7984,10.9876,28.8481,-0.3568,-38.1208,-31.8737,11.3712,29.8553,-0.3568,-39.4517,-31.4128,11.2068,29.4236,-0.3568,-38.8813,491.2041,0
-31.4128,11.2068,29.4236,-0.3568,-38.8813,-31.336,11.1794,29.3517,-0.3568,-38.7862,-30.6448,10.9328,28.7042,-0.3568,-37.9307,-30.7984,10.9876,28.8481,-0.3568,-38.1208,-30.7216,10.9602,28.7761,-0.3568,-38.0257,480.3952,0
-30.7216,10.9602,28.7761,-0.3568,-38.0257,-31.4128,11.2068,29.4236,-0.3568,-38.8813,-31.336,11.1794,29.3517,-0.3568,-38.7862,-30.6448,10.9328,28.7042,-0.3568,-37.9307,-29.7231,10.604,27.8409,-0.3568,-36.7899,464.7824,0
-29.7231,10.604,27.8409,-0.3568,-36.7899,-30.7216,10.9602,28.7761,-0.3568,-38.0257,-31.4128,11.2068,29.4236,-0.3568,-38.8813,-31.336,11.1794,29.3517,-0.3568,-38.7862,-28.1871,10.056,26.4021,-0.3568,-34.8886,440.7626,1
-28.1871,10.056,26.4021,-0.3568,-34.8886,-29.7231,10.604,27.8409,-0.3568,-36.7899,-30.7216,10.9602,28.7761,-0.3568,-38.0257,-31.4128,11.2068,29.4236,-0.3568,-38.8813,-29.4927,10.5218,27.6251,-0.3568,-36.5047,461.1794,0
-29.4927,10.5218,27.6251,-0.3568,-36.5047,-28.1871,10.056,26.4021,-0.3568,-34.8886,-29.7231,10.604,27.8409,-0.3568,-36.7899,-30.7216,10.9602,28.7761,-0.3568,-38.0257,-29.1087,10.3848,27.2654,-0.3568,-36.0294,455.1745,0
-29.1087,10.3848,27.2654,-0.3568,-36.0294,-29.4927,10.5218,27.6251,-0.3568,-36.5047,-28.1871,10.056,26.4021,-0.3568,-34.8886,-29.7231,10.604,27.8409,-0.3568,-36.7899,-29.1087,10.3848,27.2654,-0.3568,-36.0294,455.1745,0
-29.1087,10.3848,27.2654,-0.3568,-36.0294,-29.1087,10.3848,27.2654,-0.3568,-36.0294,-29.4927,10.5218,27.6251,-0.3568,-36.5047,-28.1871,10.056,26.4021,-0.3568,-34.8886,-27.4958,9.8094,25.7547,-0.3568,-34.033,429.9537,0
-27.4958,9.8094,25.7547,-0.3568,-34.033,-29.1087,10.3848,27.2654,-0.3568,-36.0294,-29.1087,10.3848,27.2654,-0.3568,-36.0294,-29.4927,10.5218,27.6251,-0.3568,-36.5047,-27.1886,9.6998,25.4669,-0.3568,-33.6528,425.1498,1
-27.1886,9.6998,25.4669,-0.3568,-33.6528,-27.4958,9.8094,25.7547,-0.3568,-34.033,-29.1087,10.3848,27.2654,-0.3568,-36.0294,-29.1087,10.3848,27.2654,-0.3568,-36.0294,-28.1871,10.056,26.4021,-0.3568,-34.8886,440.7626,1
-28.1871,10.056,26.4021,-0.3568,-34.8886,-27.1886,9.6998,25.4669,-0.3568,-33.6528,-27.4958,9.8094,25.7547,-0.3568,-34.033,-29.1087,10.3848,27.2654,-0.3568,-36.0294,-30.3376,10.8232,28.4164,-0.3568,-37.5504,474.3903,0
-30.3376,10.8232,28.4164,-0.3568,-37.5504,-28.1871,10.056,26.4021,-0.3568,-34.8886,-27.1886,9.6998,25.4669,-0.3568,-33.6528,-27.4958,9.8094,25.7547,-0.3568,-34.033,-29.4159,10.4944,27.5532,-0.3568,-36.4096,459.9784,1
-29.4159,10.4944,27.5532,-0.3568,-36.4096,-30.3376,10.8232,28.4164,-0.3568,-37.5504,-28.1871,10.056,26.4021,-0.3568,-34.8886,-27.1886,9.6998,25.4669,-0.3568,-33.6528,-30.184,10.7684,28.2726,-0.3568,-37.3603,471.9883,0
-30.184,10.7684,28.2726,-0.3568,-37.3603,-29.4159,10.4944,27.5532,-0.3568,-36.4096,-30.3376,10.8232,28.4164,-0.3568,-37.5504,-28.1871,10.056,26.4021,-0.3568,-34.8886,-29.0319,10.3574,27.1935,-0.3568,-35.9343,453.9735,1
-29.0319,10.3574,27.1935,-0.3568,-35.9343,-30.184,10.7684,28.2726,-0.3568,-37.3603,-29.4159,10.4944,27.5532,-0.3568,-36.4096,-30.3376,10.8232,28.4164,-0.3568,-37.5504,-27.7792,10.4851,25.6897,-0.3774,-35.0549,455.1745,0
-27.7792,10.4851,25.6897,-0.3774,-35.0549,-29.0319,10.3574,27.1935,-0.3568,-35.9343,-30.184,10.7684,28.2726,-0.3568,-37.3603,-29.4159,10.4944,27.5532,-0.3568,-36.4096,-26.6065,10.0425,24.6051,-0.3774,-33.575,435.9586,1
-26.6065,10.0425,24.6051,-0.3774,-33.575,-27.7792,10.4851,25.6897,-0.3774,-35.0549,-29.0319,10.3574,27.1935,-0.3568,-35.9343,-30.184,10.7684,28.2726,-0.3568,-37.3603,-27.5593,10.4021,25.4863,-0.3774,-34.7774,451.5715,0
