@RELATION "B3 - NEXP3"

@ATTRIBUTE pl1 NUMERIC
@ATTRIBUTE pvpa1 NUMERIC
@ATTRIBUTE psr1 NUMERIC
@ATTRIBUTE roe1 NUMERIC
@ATTRIBUTE ev_ebit1 NUMERIC
@ATTRIBUTE pl2 NUMERIC
@ATTRIBUTE pvpa2 NUMERIC
@ATTRIBUTE psr2 NUMERIC
@ATTRIBUTE roe2 NUMERIC
@ATTRIBUTE ev_ebit2 NUMERIC
@ATTRIBUTE pl3 NUMERIC
@ATTRIBUTE pvpa3 NUMERIC
@ATTRIBUTE psr3 NUMERIC
@ATTRIBUTE roe3 NUMERIC
@ATTRIBUTE ev_ebit3 NUMERIC
@ATTRIBUTE pl4 NUMERIC
@ATTRIBUTE pvpa4 NUMERIC
@ATTRIBUTE psr4 NUMERIC
@ATTRIBUTE roe4 NUMERIC
@ATTRIBUTE ev_ebit4 NUMERIC
@ATTRIBUTE pl NUMERIC
@ATTRIBUTE pvpa NUMERIC
@ATTRIBUTE psr NUMERIC
@ATTRIBUTE roe NUMERIC
@ATTRIBUTE ev_ebit NUMERIC
@ATTRIBUTE cotacao NUMERIC
@ATTRIBUTE alvo {1, 0}

@DATA
95.9103,14.7181,6811.4208,0.1535,123.4627,90.8034,13.9344,6448.7348,0.1535,116.8887,90.1806,13.8389,6404.5048,0.1535,116.087,89.9315,13.8006,6386.8128,0.1535,115.7663,95.9103,14.7181,6811.4208,0.1535,123.4627,3850.0007,0
95.9103,14.7181,6811.4208,0.1535,123.4627,95.9103,14.7181,6811.4208,0.1535,123.4627,90.8034,13.9344,6448.7348,0.1535,116.8887,90.1806,13.8389,6404.5048,0.1535,116.087,95.9103,14.7181,6811.4208,0.1535,123.4627,3850.0007,0
95.9103,14.7181,6811.4208,0.1535,123.4627,95.9103,14.7181,6811.4208,0.1535,123.4627,95.9103,14.7181,6811.4208,0.1535,123.4627,90.8034,13.9344,6448.7348,0.1535,116.8887,95.9103,14.7181,6811.4208,0.1535,123.4627,3850.0007,1
95.9103,14.7181,6811.4208,0.1535,123.4627,95.9103,14.7181,6811.4208,0.1535,123.4627,95.9103,14.7181,6811.4208,0.1535,123.4627,95.9103,14.7181,6811.4208,0.1535,123.4627,97.2805,14.9284,6908.7268,0.1535,125.2264,3905.0008,0
97.2805,14.9284,6908.7268,0.1535,125.2264,95.9103,14.7181,6811.4208,0.1535,123.4627,95.9103,14.7181,6811.4208,0.1535,123.4627,95.9103,14.7181,6811.4208,0.1535,123.4627,96.9068,14.871,6882.1888,0.1535,124.7454,3890.0008,1
96.9068,14.871,6882.1888,0.1535,124.7454,97.2805,14.9284,6908.7268,0.1535,125.2264,95.9103,14.7181,6811.4208,0.1535,123.4627,95.9103,14.7181,6811.4208,0.1535,123.4627,97.7787,15.0048,6944.1108,0.1535,125.8678,3925.0008,0
97.7787,15.0048,6944.1108,0.1535,125.8678,96.9068,14.871,6882.1888,0.1535,124.7454,97.2805,14.9284,6908.7268,0.1535,125.2264,95.9103,14.7181,6811.4208,0.1535,123.4627,96.284,14.7755,6837.9588,0.1535,123.9437,3865.0008,1
96.284,14.7755,6837.9588,0.1535,123.9437,97.7787,15.0048,6944.1108,0.1535,125.8678,96.9068,14.871,6882.1888,0.1535,124.7454,97.2805,14.9284,6908.7268,0.1535,125.2264,97.9032,15.024,6952.9568,0.1535,126.0281,3930.0008,0
97.9032,15.024,6952.9568,0.1535,126.0281,96.284,14.7755,6837.9588,0.1535,123.9437,97.7787,15.0048,6944.1108,0.1535,125.8678,96.9068,14.871,6882.1888,0.1535,124.7454,94.0419,14.4314,6678.7308,0.1535,121.0575,3775.0007,0
94.0419,14.4314,6678.7308,0.1535,121.0575,97.9032,15.024,6952.9568,0.1535,126.0281,96.284,14.7755,6837.9588,0.1535,123.9437,97.7787,15.0048,6944.1108,0.1535,125.8678,91.5507,14.0491,6501.8108,0.1535,117.8507,3675.0007,1
91.5507,14.0491,6501.8108,0.1535,117.8507,94.0419,14.4314,6678.7308,0.1535,121.0575,97.9032,15.024,6952.9568,0.1535,126.0281,96.284,14.7755,6837.9588,0.1535,123.9437,91.6753,14.0682,6510.6568,0.1535,118.0111,3680.0007,0
91.6753,14.0682,6510.6568,0.1535,118.0111,91.5507,14.0491,6501.8108,0.1535,117.8507,94.0419,14.4314,6678.7308,0.1535,121.0575,97.9032,15.024,6952.9568,0.1535,126.0281,90.928,13.9535,6457.5808,0.1535,117.049,3650.0007,0
90.928,13.9535,6457.5808,0.1535,117.049,91.6753,14.0682,6510.6568,0.1535,118.0111,91.5507,14.0491,6501.8108,0.1535,117.8507,94.0419,14.4314,6678.7308,0.1535,121.0575,90.5543,13.8962,6431.0428,0.1535,116.568,3635.0007,0
90.5543,13.8962,6431.0428,0.1535,116.568,90.928,13.9535,6457.5808,0.1535,117.049,91.6753,14.0682,6510.6568,0.1535,118.0111,91.5507,14.0491,6501.8108,0.1535,117.8507,89.6824,13.7624,6369.1208,0.1535,115.4456,3600.0007,1
89.6824,13.7624,6369.1208,0.1535,115.4456,90.5543,13.8962,6431.0428,0.1535,116.568,90.928,13.9535,6457.5808,0.1535,117.049,91.6753,14.0682,6510.6568,0.1535,118.0111,92.7963,14.2403,6590.2708,0.1535,119.4541,3725.0007,0
92.7963,14.2403,6590.2708,0.1535,119.4541,89.6824,13.7624,6369.1208,0.1535,115.4456,90.5543,13.8962,6431.0428,0.1535,116.568,90.928,13.9535,6457.5808,0.1535,117.049,92.5472,14.202,6572.5788,0.1535,119.1334,3715.0007,1
92.5472,14.202,6572.5788,0.1535,119.1334,92.7963,14.2403,6590.2708,0.1535,119.4541,89.6824,13.7624,6369.1208,0.1535,115.4456,90.5543,13.8962,6431.0428,0.1535,116.568,93.4191,14.3358,6634.5008,0.1535,120.2558,3750.0007,0
93.4191,14.3358,6634.5008,0.1535,120.2558,92.5472,14.202,6572.5788,0.1535,119.1334,92.7963,14.2403,6590.2708,0.1535,119.4541,89.6824,13.7624,6369.1208,0.1535,115.4456,92.1735,14.1447,6546.0408,0.1535,118.6524,3700.0007,0
92.1735,14.1447,6546.0408,0.1535,118.6524,93.4191,14.3358,6634.5008,0.1535,120.2558,92.5472,14.202,6572.5788,0.1535,119.1334,92.7963,14.2403,6590.2708,0.1535,119.4541,87.814,13.4757,6236.4307,0.1535,113.0405,3525.0007,1
87.814,13.4757,6236.4307,0.1535,113.0405,92.1735,14.1447,6546.0408,0.1535,118.6524,93.4191,14.3358,6634.5008,0.1535,120.2558,92.5472,14.202,6572.5788,0.1535,119.1334,89.0596,13.6668,6324.8908,0.1535,114.6439,3575.0007,0
89.0596,13.6668,6324.8908,0.1535,114.6439,87.814,13.4757,6236.4307,0.1535,113.0405,92.1735,14.1447,6546.0408,0.1535,118.6524,93.4191,14.3358,6634.5008,0.1535,120.2558,89.0596,13.6668,6324.8908,0.1535,114.6439,3575.0007,0
