@RELATION "B3 - TOTS3"

@ATTRIBUTE pl1 NUMERIC
@ATTRIBUTE pvpa1 NUMERIC
@ATTRIBUTE psr1 NUMERIC
@ATTRIBUTE roe1 NUMERIC
@ATTRIBUTE ev_ebit1 NUMERIC
@ATTRIBUTE pl2 NUMERIC
@ATTRIBUTE pvpa2 NUMERIC
@ATTRIBUTE psr2 NUMERIC
@ATTRIBUTE roe2 NUMERIC
@ATTRIBUTE ev_ebit2 NUMERIC
@ATTRIBUTE pl3 NUMERIC
@ATTRIBUTE pvpa3 NUMERIC
@ATTRIBUTE psr3 NUMERIC
@ATTRIBUTE roe3 NUMERIC
@ATTRIBUTE ev_ebit3 NUMERIC
@ATTRIBUTE pl4 NUMERIC
@ATTRIBUTE pvpa4 NUMERIC
@ATTRIBUTE psr4 NUMERIC
@ATTRIBUTE roe4 NUMERIC
@ATTRIBUTE ev_ebit4 NUMERIC
@ATTRIBUTE pl NUMERIC
@ATTRIBUTE pvpa NUMERIC
@ATTRIBUTE psr NUMERIC
@ATTRIBUTE roe NUMERIC
@ATTRIBUTE ev_ebit NUMERIC
@ATTRIBUTE cotacao NUMERIC
@ATTRIBUTE alvo {1, 0}

@DATA
38.3555,8.6394,6.1663,0.2252,28.5759,38.0876,8.579,6.1232,0.2252,28.3763,38.3068,8.6284,6.1584,0.2252,28.5396,37.8318,8.5214,6.0821,0.2252,28.1857,39.1594,8.8204,6.2955,0.2252,29.1749,10.7167,1
39.1594,8.8204,6.2955,0.2252,29.1749,38.3555,8.6394,6.1663,0.2252,28.5759,38.0876,8.579,6.1232,0.2252,28.3763,38.3068,8.6284,6.1584,0.2252,28.5396,39.2812,8.8479,6.3151,0.2252,29.2656,10.75,1
39.2812,8.8479,6.3151,0.2252,29.2656,39.1594,8.8204,6.2955,0.2252,29.1749,38.3555,8.6394,6.1663,0.2252,28.5759,38.0876,8.579,6.1232,0.2252,28.3763,39.8781,8.9823,6.411,0.2252,29.7103,10.9133,0
39.8781,8.9823,6.411,0.2252,29.7103,39.2812,8.8479,6.3151,0.2252,29.2656,39.1594,8.8204,6.2955,0.2252,29.1749,38.3555,8.6394,6.1663,0.2252,28.5759,39.5127,8.9,6.3523,0.2252,29.438,10.8133,1
39.5127,8.9,6.3523,0.2252,29.438,39.8781,8.9823,6.411,0.2252,29.7103,39.2812,8.8479,6.3151,0.2252,29.2656,39.1594,8.8204,6.2955,0.2252,29.1749,39.5857,8.9164,6.3641,0.2252,29.4925,10.8333,0
39.5857,8.9164,6.3641,0.2252,29.4925,39.5127,8.9,6.3523,0.2252,29.438,39.8781,8.9823,6.411,0.2252,29.7103,39.2812,8.8479,6.3151,0.2252,29.2656,39.3421,8.8616,6.3249,0.2252,29.311,10.7667,0
39.3421,8.8616,6.3249,0.2252,29.311,39.5857,8.9164,6.3641,0.2252,29.4925,39.5127,8.9,6.3523,0.2252,29.438,39.8781,8.9823,6.411,0.2252,29.7103,39.1107,8.8095,6.2877,0.2252,29.1386,10.7033,0
39.1107,8.8095,6.2877,0.2252,29.1386,39.3421,8.8616,6.3249,0.2252,29.311,39.5857,8.9164,6.3641,0.2252,29.4925,39.5127,8.9,6.3523,0.2252,29.438,38.6113,8.697,6.2074,0.2252,28.7665,10.5667,1
38.6113,8.697,6.2074,0.2252,28.7665,39.1107,8.8095,6.2877,0.2252,29.1386,39.3421,8.8616,6.3249,0.2252,29.311,39.5857,8.9164,6.3641,0.2252,29.4925,38.9767,8.7793,6.2661,0.2252,29.0387,10.6667,0
38.9767,8.7793,6.2661,0.2252,29.0387,38.6113,8.697,6.2074,0.2252,28.7665,39.1107,8.8095,6.2877,0.2252,29.1386,39.3421,8.8616,6.3249,0.2252,29.311,37.8805,8.5324,6.0899,0.2252,28.222,10.3667,0
37.8805,8.5324,6.0899,0.2252,28.222,38.9767,8.7793,6.2661,0.2252,29.0387,38.6113,8.697,6.2074,0.2252,28.7665,39.1107,8.8095,6.2877,0.2252,29.1386,37.7587,8.5049,6.0703,0.2252,28.1313,10.3333,0
37.7587,8.5049,6.0703,0.2252,28.1313,37.8805,8.5324,6.0899,0.2252,28.222,38.9767,8.7793,6.2661,0.2252,29.0387,38.6113,8.697,6.2074,0.2252,28.7665,37.5638,8.461,6.039,0.2252,27.9861,10.28,1
37.5638,8.461,6.039,0.2252,27.9861,37.7587,8.5049,6.0703,0.2252,28.1313,37.8805,8.5324,6.0899,0.2252,28.222,38.9767,8.7793,6.2661,0.2252,29.0387,37.7587,8.5049,6.0703,0.2252,28.1313,10.3333,1
37.7587,8.5049,6.0703,0.2252,28.1313,37.5638,8.461,6.039,0.2252,27.9861,37.7587,8.5049,6.0703,0.2252,28.1313,37.8805,8.5324,6.0899,0.2252,28.222,38.3677,8.6421,6.1682,0.2252,28.585,10.5,1
38.3677,8.6421,6.1682,0.2252,28.585,37.7587,8.5049,6.0703,0.2252,28.1313,37.5638,8.461,6.039,0.2252,27.9861,37.7587,8.5049,6.0703,0.2252,28.1313,38.8306,8.7464,6.2426,0.2252,28.9299,10.6267,0
38.8306,8.7464,6.2426,0.2252,28.9299,38.3677,8.6421,6.1682,0.2252,28.585,37.7587,8.5049,6.0703,0.2252,28.1313,37.5638,8.461,6.039,0.2252,27.9861,38.794,8.7381,6.2368,0.2252,28.9026,10.6167,1
38.794,8.7381,6.2368,0.2252,28.9026,38.8306,8.7464,6.2426,0.2252,28.9299,38.3677,8.6421,6.1682,0.2252,28.585,37.7587,8.5049,6.0703,0.2252,28.1313,39.7441,8.9521,6.3895,0.2252,29.6104,10.8767,0
39.7441,8.9521,6.3895,0.2252,29.6104,38.794,8.7381,6.2368,0.2252,28.9026,38.8306,8.7464,6.2426,0.2252,28.9299,38.3677,8.6421,6.1682,0.2252,28.585,38.5261,8.6778,6.1937,0.2252,28.703,10.5433,0
38.5261,8.6778,6.1937,0.2252,28.703,39.7441,8.9521,6.3895,0.2252,29.6104,38.794,8.7381,6.2368,0.2252,28.9026,38.8306,8.7464,6.2426,0.2252,28.9299,37.7831,8.5104,6.0742,0.2252,28.1494,10.34,1
37.7831,8.5104,6.0742,0.2252,28.1494,38.5261,8.6778,6.1937,0.2252,28.703,39.7441,8.9521,6.3895,0.2252,29.6104,38.794,8.7381,6.2368,0.2252,28.9026,38.3677,8.6421,6.1682,0.2252,28.585,10.5,1
38.3677,8.6421,6.1682,0.2252,28.585,37.7831,8.5104,6.0742,0.2252,28.1494,38.5261,8.6778,6.1937,0.2252,28.703,39.7441,8.9521,6.3895,0.2252,29.6104,38.9767,8.7793,6.2661,0.2252,29.0387,10.6667,1
38.9767,8.7793,6.2661,0.2252,29.0387,38.3677,8.6421,6.1682,0.2252,28.585,37.7831,8.5104,6.0742,0.2252,28.1494,38.5261,8.6778,6.1937,0.2252,28.703,39.6954,8.9411,6.3817,0.2252,29.5741,10.8633,1
39.6954,8.9411,6.3817,0.2252,29.5741,38.9767,8.7793,6.2661,0.2252,29.0387,38.3677,8.6421,6.1682,0.2252,28.585,37.7831,8.5104,6.0742,0.2252,28.1494,40.2922,9.0756,6.4776,0.2252,30.0188,11.0267,1
40.2922,9.0756,6.4776,0.2252,30.0188,39.6954,8.9411,6.3817,0.2252,29.5741,38.9767,8.7793,6.2661,0.2252,29.0387,38.3677,8.6421,6.1682,0.2252,28.585,40.6332,9.1524,6.5325,0.2252,30.2729,11.12,0
40.6332,9.1524,6.5325,0.2252,30.2729,40.2922,9.0756,6.4776,0.2252,30.0188,39.6954,8.9411,6.3817,0.2252,29.5741,38.9767,8.7793,6.2661,0.2252,29.0387,40.6332,9.1524,6.5325,0.2252,30.2729,11.12,1
40.6332,9.1524,6.5325,0.2252,30.2729,40.6332,9.1524,6.5325,0.2252,30.2729,40.2922,9.0756,6.4776,0.2252,30.0188,39.6954,8.9411,6.3817,0.2252,29.5741,40.6698,9.1606,6.5383,0.2252,30.3001,11.13,0
40.6698,9.1606,6.5383,0.2252,30.3001,40.6332,9.1524,6.5325,0.2252,30.2729,40.6332,9.1524,6.5325,0.2252,30.2729,40.2922,9.0756,6.4776,0.2252,30.0188,40.4384,9.1085,6.5011,0.2252,30.1277,11.0667,1
40.4384,9.1085,6.5011,0.2252,30.1277,40.6698,9.1606,6.5383,0.2252,30.3001,40.6332,9.1524,6.5325,0.2252,30.2729,40.6332,9.1524,6.5325,0.2252,30.2729,40.5602,9.1359,6.5207,0.2252,30.2184,11.1,1
40.5602,9.1359,6.5207,0.2252,30.2184,40.4384,9.1085,6.5011,0.2252,30.1277,40.6698,9.1606,6.5383,0.2252,30.3001,40.6332,9.1524,6.5325,0.2252,30.2729,41.4006,9.3252,6.6558,0.2252,30.8446,11.33,0
41.4006,9.3252,6.6558,0.2252,30.8446,40.5602,9.1359,6.5207,0.2252,30.2184,40.4384,9.1085,6.5011,0.2252,30.1277,40.6698,9.1606,6.5383,0.2252,30.3001,40.2191,9.0591,6.4659,0.2252,29.9644,11.0067,0
40.2191,9.0591,6.4659,0.2252,29.9644,41.4006,9.3252,6.6558,0.2252,30.8446,40.5602,9.1359,6.5207,0.2252,30.2184,40.4384,9.1085,6.5011,0.2252,30.1277,39.5857,8.9164,6.3641,0.2252,29.4925,10.8333,0
39.5857,8.9164,6.3641,0.2252,29.4925,40.2191,9.0591,6.4659,0.2252,29.9644,41.4006,9.3252,6.6558,0.2252,30.8446,40.5602,9.1359,6.5207,0.2252,30.2184,38.7088,8.7189,6.2231,0.2252,28.8391,10.5933,1
38.7088,8.7189,6.2231,0.2252,28.8391,39.5857,8.9164,6.3641,0.2252,29.4925,40.2191,9.0591,6.4659,0.2252,29.9644,41.4006,9.3252,6.6558,0.2252,30.8446,38.9524,8.7738,6.2622,0.2252,29.0206,10.66,1
38.9524,8.7738,6.2622,0.2252,29.0206,38.7088,8.7189,6.2231,0.2252,28.8391,39.5857,8.9164,6.3641,0.2252,29.4925,40.2191,9.0591,6.4659,0.2252,29.9644,39.5857,8.9164,6.3641,0.2252,29.4925,10.8333,1
39.5857,8.9164,6.3641,0.2252,29.4925,38.9524,8.7738,6.2622,0.2252,29.0206,38.7088,8.7189,6.2231,0.2252,28.8391,39.5857,8.9164,6.3641,0.2252,29.4925,40.1948,9.0536,6.462,0.2252,29.9462,11.0,0
40.1948,9.0536,6.462,0.2252,29.9462,39.5857,8.9164,6.3641,0.2252,29.4925,38.9524,8.7738,6.2622,0.2252,29.0206,38.7088,8.7189,6.2231,0.2252,28.8391,40.1948,9.0536,6.462,0.2252,29.9462,11.0,1
40.1948,9.0536,6.462,0.2252,29.9462,40.1948,9.0536,6.462,0.2252,29.9462,39.5857,8.9164,6.3641,0.2252,29.4925,38.9524,8.7738,6.2622,0.2252,29.0206,41.0474,9.2457,6.599,0.2252,30.5814,11.2333,0
41.0474,9.2457,6.599,0.2252,30.5814,40.1948,9.0536,6.462,0.2252,29.9462,40.1948,9.0536,6.462,0.2252,29.9462,39.5857,8.9164,6.3641,0.2252,29.4925,40.1826,9.0509,6.46,0.2252,29.9371,10.9967,0
40.1826,9.0509,6.46,0.2252,29.9371,41.0474,9.2457,6.599,0.2252,30.5814,40.1948,9.0536,6.462,0.2252,29.9462,40.1948,9.0536,6.462,0.2252,29.9462,39.8293,8.9713,6.4032,0.2252,29.674,10.9,0
39.8293,8.9713,6.4032,0.2252,29.674,40.1826,9.0509,6.46,0.2252,29.9371,41.0474,9.2457,6.599,0.2252,30.5814,40.1948,9.0536,6.462,0.2252,29.9462,39.5248,8.9027,6.3543,0.2252,29.4471,10.8167,0
39.5248,8.9027,6.3543,0.2252,29.4471,39.8293,8.9713,6.4032,0.2252,29.674,40.1826,9.0509,6.46,0.2252,29.9371,41.0474,9.2457,6.599,0.2252,30.5814,39.33,8.8588,6.3229,0.2252,29.3019,10.7633,0
39.33,8.8588,6.3229,0.2252,29.3019,39.5248,8.9027,6.3543,0.2252,29.4471,39.8293,8.9713,6.4032,0.2252,29.674,40.1826,9.0509,6.46,0.2252,29.9371,38.9767,8.7793,6.2661,0.2252,29.0387,10.6667,1
38.9767,8.7793,6.2661,0.2252,29.0387,39.33,8.8588,6.3229,0.2252,29.3019,39.5248,8.9027,6.3543,0.2252,29.4471,39.8293,8.9713,6.4032,0.2252,29.674,39.3543,8.8643,6.3268,0.2252,29.3201,10.77,1
39.3543,8.8643,6.3268,0.2252,29.3201,38.9767,8.7793,6.2661,0.2252,29.0387,39.33,8.8588,6.3229,0.2252,29.3019,39.5248,8.9027,6.3543,0.2252,29.4471,39.8903,8.985,6.413,0.2252,29.7193,10.9167,1
39.8903,8.985,6.413,0.2252,29.7193,39.3543,8.8643,6.3268,0.2252,29.3201,38.9767,8.7793,6.2661,0.2252,29.0387,39.33,8.8588,6.3229,0.2252,29.3019,40.7063,9.1689,6.5442,0.2252,30.3273,11.14,1
40.7063,9.1689,6.5442,0.2252,30.3273,39.8903,8.985,6.413,0.2252,29.7193,39.3543,8.8643,6.3268,0.2252,29.3201,38.9767,8.7793,6.2661,0.2252,29.0387,41.4128,9.328,6.6578,0.2252,30.8537,11.3333,1
41.4128,9.328,6.6578,0.2252,30.8537,40.7063,9.1689,6.5442,0.2252,30.3273,39.8903,8.985,6.413,0.2252,29.7193,39.3543,8.8643,6.3268,0.2252,29.3201,41.7051,9.3938,6.7048,0.2252,31.0715,11.4133,1
41.7051,9.3938,6.7048,0.2252,31.0715,41.4128,9.328,6.6578,0.2252,30.8537,40.7063,9.1689,6.5442,0.2252,30.3273,39.8903,8.985,6.413,0.2252,29.7193,41.7782,9.4103,6.7165,0.2252,31.1259,11.4333,1
41.7782,9.4103,6.7165,0.2252,31.1259,41.7051,9.3938,6.7048,0.2252,31.0715,41.4128,9.328,6.6578,0.2252,30.8537,40.7063,9.1689,6.5442,0.2252,30.3273,43.6052,9.8218,7.0102,0.2252,32.4871,11.9333,0
43.6052,9.8218,7.0102,0.2252,32.4871,41.7782,9.4103,6.7165,0.2252,31.1259,41.7051,9.3938,6.7048,0.2252,31.0715,41.4128,9.328,6.6578,0.2252,30.8537,42.509,9.5749,6.834,0.2252,31.6704,11.6333,0
42.509,9.5749,6.834,0.2252,31.6704,43.6052,9.8218,7.0102,0.2252,32.4871,41.7782,9.4103,6.7165,0.2252,31.1259,41.7051,9.3938,6.7048,0.2252,31.0715,42.0827,9.4789,6.7655,0.2252,31.3528,11.5167,0
42.0827,9.4789,6.7655,0.2252,31.3528,42.509,9.5749,6.834,0.2252,31.6704,43.6052,9.8218,7.0102,0.2252,32.4871,41.7782,9.4103,6.7165,0.2252,31.1259,41.4128,9.328,6.6578,0.2252,30.8537,11.3333,1
41.4128,9.328,6.6578,0.2252,30.8537,42.0827,9.4789,6.7655,0.2252,31.3528,42.509,9.5749,6.834,0.2252,31.6704,43.6052,9.8218,7.0102,0.2252,32.4871,42.3872,9.5475,6.8144,0.2252,31.5796,11.6,0
42.3872,9.5475,6.8144,0.2252,31.5796,41.4128,9.328,6.6578,0.2252,30.8537,42.0827,9.4789,6.7655,0.2252,31.3528,42.509,9.5749,6.834,0.2252,31.6704,41.9,9.4377,6.7361,0.2252,31.2167,11.4667,1
41.9,9.4377,6.7361,0.2252,31.2167,42.3872,9.5475,6.8144,0.2252,31.5796,41.4128,9.328,6.6578,0.2252,30.8537,42.0827,9.4789,6.7655,0.2252,31.3528,39.0791,9.7722,6.683,0.2501,30.4934,11.7667,1
39.0791,9.7722,6.683,0.2501,30.4934,41.9,9.4377,6.7361,0.2252,31.2167,42.3872,9.5475,6.8144,0.2252,31.5796,41.4128,9.328,6.6578,0.2252,30.8537,40.629,10.1597,6.9481,0.2501,31.7028,12.2333,1
40.629,10.1597,6.9481,0.2501,31.7028,39.0791,9.7722,6.683,0.2501,30.4934,41.9,9.4377,6.7361,0.2252,31.2167,42.3872,9.5475,6.8144,0.2252,31.5796,41.1272,10.2843,7.0333,0.2501,32.0915,12.3833,0
41.1272,10.2843,7.0333,0.2501,32.0915,40.629,10.1597,6.9481,0.2501,31.7028,39.0791,9.7722,6.683,0.2501,30.4934,41.9,9.4377,6.7361,0.2252,31.2167,41.1272,10.2843,7.0333,0.2501,32.0915,12.3833,1
