@RELATION "B3 - BRSR6"

@ATTRIBUTE pl1 NUMERIC
@ATTRIBUTE pvpa1 NUMERIC
@ATTRIBUTE psr1 NUMERIC
@ATTRIBUTE roe1 NUMERIC
@ATTRIBUTE ev_ebit1 NUMERIC
@ATTRIBUTE pl2 NUMERIC
@ATTRIBUTE pvpa2 NUMERIC
@ATTRIBUTE psr2 NUMERIC
@ATTRIBUTE roe2 NUMERIC
@ATTRIBUTE ev_ebit2 NUMERIC
@ATTRIBUTE pl3 NUMERIC
@ATTRIBUTE pvpa3 NUMERIC
@ATTRIBUTE psr3 NUMERIC
@ATTRIBUTE roe3 NUMERIC
@ATTRIBUTE ev_ebit3 NUMERIC
@ATTRIBUTE pl4 NUMERIC
@ATTRIBUTE pvpa4 NUMERIC
@ATTRIBUTE psr4 NUMERIC
@ATTRIBUTE roe4 NUMERIC
@ATTRIBUTE ev_ebit4 NUMERIC
@ATTRIBUTE pl NUMERIC
@ATTRIBUTE pvpa NUMERIC
@ATTRIBUTE psr NUMERIC
@ATTRIBUTE roe NUMERIC
@ATTRIBUTE ev_ebit NUMERIC
@ATTRIBUTE cotacao NUMERIC
@ATTRIBUTE alvo {1, 0}

@DATA
9.1712,1.8852,1.399,0.2056,6.1466,8.8411,1.8173,1.3486,0.2056,5.9253,8.6331,1.7746,1.3169,0.2056,5.7859,8.6421,1.7764,1.3183,0.2056,5.7919,8.8456,1.8183,1.3493,0.2056,5.9283,19.56,0
8.8456,1.8183,1.3493,0.2056,5.9283,9.1712,1.8852,1.399,0.2056,6.1466,8.8411,1.8173,1.3486,0.2056,5.9253,8.6331,1.7746,1.3169,0.2056,5.7859,9.013,1.8527,1.3749,0.2056,6.0405,19.93,0
9.013,1.8527,1.3749,0.2056,6.0405,8.8456,1.8183,1.3493,0.2056,5.9283,9.1712,1.8852,1.399,0.2056,6.1466,8.8411,1.8173,1.3486,0.2056,5.9253,9.1125,1.8731,1.39,0.2056,6.1072,20.15,0
9.1125,1.8731,1.39,0.2056,6.1072,9.013,1.8527,1.3749,0.2056,6.0405,8.8456,1.8183,1.3493,0.2056,5.9283,9.1712,1.8852,1.399,0.2056,6.1466,9.2707,1.9057,1.4142,0.2056,6.2132,20.5,0
9.2707,1.9057,1.4142,0.2056,6.2132,9.1125,1.8731,1.39,0.2056,6.1072,9.013,1.8527,1.3749,0.2056,6.0405,8.8456,1.8183,1.3493,0.2056,5.9283,9.2526,1.9019,1.4114,0.2056,6.2011,20.46,0
9.2526,1.9019,1.4114,0.2056,6.2011,9.2707,1.9057,1.4142,0.2056,6.2132,9.1125,1.8731,1.39,0.2056,6.1072,9.013,1.8527,1.3749,0.2056,6.0405,9.3612,1.9243,1.428,0.2056,6.2738,20.7,0
9.3612,1.9243,1.428,0.2056,6.2738,9.2526,1.9019,1.4114,0.2056,6.2011,9.2707,1.9057,1.4142,0.2056,6.2132,9.1125,1.8731,1.39,0.2056,6.1072,9.3974,1.9317,1.4335,0.2056,6.2981,20.78,0
9.3974,1.9317,1.4335,0.2056,6.2981,9.3612,1.9243,1.428,0.2056,6.2738,9.2526,1.9019,1.4114,0.2056,6.2011,9.2707,1.9057,1.4142,0.2056,6.2132,9.2029,1.8917,1.4038,0.2056,6.1678,20.35,0
9.2029,1.8917,1.4038,0.2056,6.1678,9.3974,1.9317,1.4335,0.2056,6.2981,9.3612,1.9243,1.428,0.2056,6.2738,9.2526,1.9019,1.4114,0.2056,6.2011,8.9587,1.8415,1.3666,0.2056,6.0041,19.81,0
8.9587,1.8415,1.3666,0.2056,6.0041,9.2029,1.8917,1.4038,0.2056,6.1678,9.3974,1.9317,1.4335,0.2056,6.2981,9.3612,1.9243,1.428,0.2056,6.2738,9.2481,1.901,1.4107,0.2056,6.1981,20.45,0
9.2481,1.901,1.4107,0.2056,6.1981,8.9587,1.8415,1.3666,0.2056,6.0041,9.2029,1.8917,1.4038,0.2056,6.1678,9.3974,1.9317,1.4335,0.2056,6.2981,9.3702,1.9261,1.4294,0.2056,6.2799,20.72,0
9.3702,1.9261,1.4294,0.2056,6.2799,9.2481,1.901,1.4107,0.2056,6.1981,8.9587,1.8415,1.3666,0.2056,6.0041,9.2029,1.8917,1.4038,0.2056,6.1678,9.524,1.9577,1.4528,0.2056,6.383,21.06,0
9.524,1.9577,1.4528,0.2056,6.383,9.3702,1.9261,1.4294,0.2056,6.2799,9.2481,1.901,1.4107,0.2056,6.1981,8.9587,1.8415,1.3666,0.2056,6.0041,9.5556,1.9642,1.4576,0.2056,6.4042,21.13,0
