@RELATION "B3 - MDIA3"

@ATTRIBUTE pl1 NUMERIC
@ATTRIBUTE pvpa1 NUMERIC
@ATTRIBUTE psr1 NUMERIC
@ATTRIBUTE roe1 NUMERIC
@ATTRIBUTE ev_ebit1 NUMERIC
@ATTRIBUTE pl2 NUMERIC
@ATTRIBUTE pvpa2 NUMERIC
@ATTRIBUTE psr2 NUMERIC
@ATTRIBUTE roe2 NUMERIC
@ATTRIBUTE ev_ebit2 NUMERIC
@ATTRIBUTE pl3 NUMERIC
@ATTRIBUTE pvpa3 NUMERIC
@ATTRIBUTE psr3 NUMERIC
@ATTRIBUTE roe3 NUMERIC
@ATTRIBUTE ev_ebit3 NUMERIC
@ATTRIBUTE pl4 NUMERIC
@ATTRIBUTE pvpa4 NUMERIC
@ATTRIBUTE psr4 NUMERIC
@ATTRIBUTE roe4 NUMERIC
@ATTRIBUTE ev_ebit4 NUMERIC
@ATTRIBUTE pl NUMERIC
@ATTRIBUTE pvpa NUMERIC
@ATTRIBUTE psr NUMERIC
@ATTRIBUTE roe NUMERIC
@ATTRIBUTE ev_ebit NUMERIC
@ATTRIBUTE cotacao NUMERIC
@ATTRIBUTE alvo {1, 0}

@DATA
15.4254,2.7854,3.1408,0.1806,15.1421,15.2509,2.7539,3.1053,0.1806,14.9708,15.1917,2.7432,3.0932,0.1806,14.9127,15.2665,2.7567,3.1084,0.1806,14.9861,15.2821,2.7595,3.1116,0.1806,15.0014,16.3467,1
15.2821,2.7595,3.1116,0.1806,15.0014,15.4254,2.7854,3.1408,0.1806,15.1421,15.2509,2.7539,3.1053,0.1806,14.9708,15.1917,2.7432,3.0932,0.1806,14.9127,15.2384,2.7517,3.1027,0.1806,14.9586,16.3,1
15.2384,2.7517,3.1027,0.1806,14.9586,15.2821,2.7595,3.1116,0.1806,15.0014,15.4254,2.7854,3.1408,0.1806,15.1421,15.2509,2.7539,3.1053,0.1806,14.9708,15.1886,2.7427,3.0926,0.1806,14.9096,16.2467,1
15.1886,2.7427,3.0926,0.1806,14.9096,15.2384,2.7517,3.1027,0.1806,14.9586,15.2821,2.7595,3.1116,0.1806,15.0014,15.4254,2.7854,3.1408,0.1806,15.1421,15.1138,2.7292,3.0774,0.1806,14.8362,16.1667,1
15.1138,2.7292,3.0774,0.1806,14.8362,15.1886,2.7427,3.0926,0.1806,14.9096,15.2384,2.7517,3.1027,0.1806,14.9586,15.2821,2.7595,3.1116,0.1806,15.0014,14.6463,2.6448,2.9822,0.1806,14.3774,15.6667,1
14.6463,2.6448,2.9822,0.1806,14.3774,15.1138,2.7292,3.0774,0.1806,14.8362,15.1886,2.7427,3.0926,0.1806,14.9096,15.2384,2.7517,3.1027,0.1806,14.9586,14.8956,2.6898,3.0329,0.1806,14.6221,15.9333,1
14.8956,2.6898,3.0329,0.1806,14.6221,14.6463,2.6448,2.9822,0.1806,14.3774,15.1138,2.7292,3.0774,0.1806,14.8362,15.1886,2.7427,3.0926,0.1806,14.9096,14.8053,2.6734,3.0145,0.1806,14.5334,15.8367,1
14.8053,2.6734,3.0145,0.1806,14.5334,14.8956,2.6898,3.0329,0.1806,14.6221,14.6463,2.6448,2.9822,0.1806,14.3774,15.1138,2.7292,3.0774,0.1806,14.8362,15.0982,2.7263,3.0742,0.1806,14.8209,16.15,1
15.0982,2.7263,3.0742,0.1806,14.8209,14.8053,2.6734,3.0145,0.1806,14.5334,14.8956,2.6898,3.0329,0.1806,14.6221,14.6463,2.6448,2.9822,0.1806,14.3774,14.8925,2.6892,3.0323,0.1806,14.619,15.93,1
14.8925,2.6892,3.0323,0.1806,14.619,15.0982,2.7263,3.0742,0.1806,14.8209,14.8053,2.6734,3.0145,0.1806,14.5334,14.8956,2.6898,3.0329,0.1806,14.6221,14.8489,2.6813,3.0234,0.1806,14.5762,15.8833,1
14.8489,2.6813,3.0234,0.1806,14.5762,14.8925,2.6892,3.0323,0.1806,14.619,15.0982,2.7263,3.0742,0.1806,14.8209,14.8053,2.6734,3.0145,0.1806,14.5334,14.9798,2.705,3.0501,0.1806,14.7047,16.0233,1
14.9798,2.705,3.0501,0.1806,14.7047,14.8489,2.6813,3.0234,0.1806,14.5762,14.8925,2.6892,3.0323,0.1806,14.619,15.0982,2.7263,3.0742,0.1806,14.8209,15.1138,2.7292,3.0774,0.1806,14.8362,16.1667,1
15.1138,2.7292,3.0774,0.1806,14.8362,14.9798,2.705,3.0501,0.1806,14.7047,14.8489,2.6813,3.0234,0.1806,14.5762,14.8925,2.6892,3.0323,0.1806,14.619,15.0203,2.7123,3.0583,0.1806,14.7445,16.0667,1
