@RELATION "B3 - PETR4"

@ATTRIBUTE pl1 NUMERIC
@ATTRIBUTE pvpa1 NUMERIC
@ATTRIBUTE psr1 NUMERIC
@ATTRIBUTE roe1 NUMERIC
@ATTRIBUTE ev_ebit1 NUMERIC
@ATTRIBUTE pl2 NUMERIC
@ATTRIBUTE pvpa2 NUMERIC
@ATTRIBUTE psr2 NUMERIC
@ATTRIBUTE roe2 NUMERIC
@ATTRIBUTE ev_ebit2 NUMERIC
@ATTRIBUTE pl3 NUMERIC
@ATTRIBUTE pvpa3 NUMERIC
@ATTRIBUTE psr3 NUMERIC
@ATTRIBUTE roe3 NUMERIC
@ATTRIBUTE ev_ebit3 NUMERIC
@ATTRIBUTE pl4 NUMERIC
@ATTRIBUTE pvpa4 NUMERIC
@ATTRIBUTE psr4 NUMERIC
@ATTRIBUTE roe4 NUMERIC
@ATTRIBUTE ev_ebit4 NUMERIC
@ATTRIBUTE pl NUMERIC
@ATTRIBUTE pvpa NUMERIC
@ATTRIBUTE psr NUMERIC
@ATTRIBUTE roe NUMERIC
@ATTRIBUTE ev_ebit NUMERIC
@ATTRIBUTE cotacao NUMERIC
@ATTRIBUTE alvo {1, 0}

@DATA
9.1034,0.9118,1.6392,0.1002,8.3732,9.1467,0.9161,1.6471,0.1002,8.4131,9.5999,0.9615,1.7287,0.1002,8.8299,9.261,0.9276,1.6676,0.1002,8.5182,9.4108,0.9426,1.6946,0.1002,8.6559,23.88,0
9.4108,0.9426,1.6946,0.1002,8.6559,9.1034,0.9118,1.6392,0.1002,8.3732,9.1467,0.9161,1.6471,0.1002,8.4131,9.5999,0.9615,1.7287,0.1002,8.8299,9.4778,0.9493,1.7067,0.1002,8.7176,24.05,0
9.4778,0.9493,1.7067,0.1002,8.7176,9.4108,0.9426,1.6946,0.1002,8.6559,9.1034,0.9118,1.6392,0.1002,8.3732,9.1467,0.9161,1.6471,0.1002,8.4131,9.4147,0.943,1.6953,0.1002,8.6596,23.89,0
9.4147,0.943,1.6953,0.1002,8.6596,9.4778,0.9493,1.7067,0.1002,8.7176,9.4108,0.9426,1.6946,0.1002,8.6559,9.1034,0.9118,1.6392,0.1002,8.3732,9.4265,0.9442,1.6974,0.1002,8.6704,23.92,0
9.4265,0.9442,1.6974,0.1002,8.6704,9.4147,0.943,1.6953,0.1002,8.6596,9.4778,0.9493,1.7067,0.1002,8.7176,9.4108,0.9426,1.6946,0.1002,8.6559,9.6472,0.9663,1.7372,0.1002,8.8734,24.48,0
9.6472,0.9663,1.7372,0.1002,8.8734,9.4265,0.9442,1.6974,0.1002,8.6704,9.4147,0.943,1.6953,0.1002,8.6596,9.4778,0.9493,1.7067,0.1002,8.7176,9.596,0.9611,1.7279,0.1002,8.8263,24.35,0
9.596,0.9611,1.7279,0.1002,8.8263,9.6472,0.9663,1.7372,0.1002,8.8734,9.4265,0.9442,1.6974,0.1002,8.6704,9.4147,0.943,1.6953,0.1002,8.6596,9.5881,0.9604,1.7265,0.1002,8.819,24.33,0
9.5881,0.9604,1.7265,0.1002,8.819,9.596,0.9611,1.7279,0.1002,8.8263,9.6472,0.9663,1.7372,0.1002,8.8734,9.4265,0.9442,1.6974,0.1002,8.6704,9.5802,0.9596,1.7251,0.1002,8.8118,24.31,0
9.5802,0.9596,1.7251,0.1002,8.8118,9.5881,0.9604,1.7265,0.1002,8.819,9.596,0.9611,1.7279,0.1002,8.8263,9.6472,0.9663,1.7372,0.1002,8.8734,9.8048,0.9821,1.7656,0.1002,9.0184,24.88,0
9.8048,0.9821,1.7656,0.1002,9.0184,9.5802,0.9596,1.7251,0.1002,8.8118,9.5881,0.9604,1.7265,0.1002,8.819,9.596,0.9611,1.7279,0.1002,8.8263,9.9704,0.9986,1.7954,0.1002,9.1706,25.3,0
9.9704,0.9986,1.7954,0.1002,9.1706,9.8048,0.9821,1.7656,0.1002,9.0184,9.5802,0.9596,1.7251,0.1002,8.8118,9.5881,0.9604,1.7265,0.1002,8.819,9.6906,0.9706,1.745,0.1002,8.9133,24.59,0
9.6906,0.9706,1.745,0.1002,8.9133,9.9704,0.9986,1.7954,0.1002,9.1706,9.8048,0.9821,1.7656,0.1002,9.0184,9.5802,0.9596,1.7251,0.1002,8.8118,9.3595,0.9375,1.6854,0.1002,8.6088,23.75,0
