@RELATION "B3 - RENT3"

@ATTRIBUTE pl1 NUMERIC
@ATTRIBUTE pvpa1 NUMERIC
@ATTRIBUTE psr1 NUMERIC
@ATTRIBUTE roe1 NUMERIC
@ATTRIBUTE ev_ebit1 NUMERIC
@ATTRIBUTE pl2 NUMERIC
@ATTRIBUTE pvpa2 NUMERIC
@ATTRIBUTE psr2 NUMERIC
@ATTRIBUTE roe2 NUMERIC
@ATTRIBUTE ev_ebit2 NUMERIC
@ATTRIBUTE pl3 NUMERIC
@ATTRIBUTE pvpa3 NUMERIC
@ATTRIBUTE psr3 NUMERIC
@ATTRIBUTE roe3 NUMERIC
@ATTRIBUTE ev_ebit3 NUMERIC
@ATTRIBUTE pl4 NUMERIC
@ATTRIBUTE pvpa4 NUMERIC
@ATTRIBUTE psr4 NUMERIC
@ATTRIBUTE roe4 NUMERIC
@ATTRIBUTE ev_ebit4 NUMERIC
@ATTRIBUTE pl NUMERIC
@ATTRIBUTE pvpa NUMERIC
@ATTRIBUTE psr NUMERIC
@ATTRIBUTE roe NUMERIC
@ATTRIBUTE ev_ebit NUMERIC
@ATTRIBUTE cotacao NUMERIC
@ATTRIBUTE alvo {1, 0}

@DATA
67.1382,17.4733,8.9272,0.2603,40.5586,67.3949,17.5401,8.9613,0.2603,40.7137,65.7757,17.1187,8.746,0.2603,39.7355,66.7235,17.3654,8.872,0.2603,40.3081,66.5458,17.3192,8.8484,0.2603,40.2007,9.7038,1
66.5458,17.3192,8.8484,0.2603,40.2007,67.1382,17.4733,8.9272,0.2603,40.5586,67.3949,17.5401,8.9613,0.2603,40.7137,65.7757,17.1187,8.746,0.2603,39.7355,66.3483,17.2678,8.8221,0.2603,40.0815,9.675,1
66.3483,17.2678,8.8221,0.2603,40.0815,66.5458,17.3192,8.8484,0.2603,40.2007,67.1382,17.4733,8.9272,0.2603,40.5586,67.3949,17.5401,8.9613,0.2603,40.7137,63.9788,16.6511,8.5071,0.2603,38.65,9.3294,1
63.9788,16.6511,8.5071,0.2603,38.65,66.3483,17.2678,8.8221,0.2603,40.0815,66.5458,17.3192,8.8484,0.2603,40.2007,67.1382,17.4733,8.9272,0.2603,40.5586,63.7813,16.5997,8.4808,0.2603,38.5307,9.3007,1
63.7813,16.5997,8.4808,0.2603,38.5307,63.9788,16.6511,8.5071,0.2603,38.65,66.3483,17.2678,8.8221,0.2603,40.0815,66.5458,17.3192,8.8484,0.2603,40.2007,65.6572,17.0879,8.7302,0.2603,39.6639,9.5742,1
65.6572,17.0879,8.7302,0.2603,39.6639,63.7813,16.5997,8.4808,0.2603,38.5307,63.9788,16.6511,8.5071,0.2603,38.65,66.3483,17.2678,8.8221,0.2603,40.0815,66.3483,17.2678,8.8221,0.2603,40.0815,9.675,1
66.3483,17.2678,8.8221,0.2603,40.0815,65.6572,17.0879,8.7302,0.2603,39.6639,63.7813,16.5997,8.4808,0.2603,38.5307,63.9788,16.6511,8.5071,0.2603,38.65,66.2891,17.2523,8.8143,0.2603,40.0457,9.6663,1
66.2891,17.2523,8.8143,0.2603,40.0457,66.3483,17.2678,8.8221,0.2603,40.0815,65.6572,17.0879,8.7302,0.2603,39.6639,63.7813,16.5997,8.4808,0.2603,38.5307,66.4471,17.2935,8.8353,0.2603,40.1411,9.6894,1
66.4471,17.2935,8.8353,0.2603,40.1411,66.2891,17.2523,8.8143,0.2603,40.0457,66.3483,17.2678,8.8221,0.2603,40.0815,65.6572,17.0879,8.7302,0.2603,39.6639,66.3483,17.2678,8.8221,0.2603,40.0815,9.675,1
66.3483,17.2678,8.8221,0.2603,40.0815,66.4471,17.2935,8.8353,0.2603,40.1411,66.2891,17.2523,8.8143,0.2603,40.0457,66.3483,17.2678,8.8221,0.2603,40.0815,67.5331,17.5761,8.9797,0.2603,40.7972,9.8477,1
67.5331,17.5761,8.9797,0.2603,40.7972,66.3483,17.2678,8.8221,0.2603,40.0815,66.4471,17.2935,8.8353,0.2603,40.1411,66.2891,17.2523,8.8143,0.2603,40.0457,68.8364,17.9153,9.153,0.2603,41.5845,10.0378,1
68.8364,17.9153,9.153,0.2603,41.5845,67.5331,17.5761,8.9797,0.2603,40.7972,66.3483,17.2678,8.8221,0.2603,40.0815,66.4471,17.2935,8.8353,0.2603,40.1411,67.9676,17.6892,9.0374,0.2603,41.0596,9.9111,1
67.9676,17.6892,9.0374,0.2603,41.0596,68.8364,17.9153,9.153,0.2603,41.5845,67.5331,17.5761,8.9797,0.2603,40.7972,66.3483,17.2678,8.8221,0.2603,40.0815,67.5726,17.5864,8.9849,0.2603,40.8211,9.8535,1
67.5726,17.5864,8.9849,0.2603,40.8211,67.9676,17.6892,9.0374,0.2603,41.0596,68.8364,17.9153,9.153,0.2603,41.5845,67.5331,17.5761,8.9797,0.2603,40.7972,66.9012,17.4117,8.8957,0.2603,40.4155,9.7556,1
66.9012,17.4117,8.8957,0.2603,40.4155,67.5726,17.5864,8.9849,0.2603,40.8211,67.9676,17.6892,9.0374,0.2603,41.0596,68.8364,17.9153,9.153,0.2603,41.5845,66.9407,17.4219,8.9009,0.2603,40.4393,9.7614,1
66.9407,17.4219,8.9009,0.2603,40.4393,66.9012,17.4117,8.8957,0.2603,40.4155,67.5726,17.5864,8.9849,0.2603,40.8211,67.9676,17.6892,9.0374,0.2603,41.0596,65.598,17.0725,8.7224,0.2603,39.6281,9.5656,1
65.598,17.0725,8.7224,0.2603,39.6281,66.9407,17.4219,8.9009,0.2603,40.4393,66.9012,17.4117,8.8957,0.2603,40.4155,67.5726,17.5864,8.9849,0.2603,40.8211,63.7813,16.5997,8.4808,0.2603,38.5307,9.3007,1
