@RELATION "B3 - LREN3"

@ATTRIBUTE pl1 NUMERIC
@ATTRIBUTE pvpa1 NUMERIC
@ATTRIBUTE psr1 NUMERIC
@ATTRIBUTE roe1 NUMERIC
@ATTRIBUTE ev_ebit1 NUMERIC
@ATTRIBUTE pl2 NUMERIC
@ATTRIBUTE pvpa2 NUMERIC
@ATTRIBUTE psr2 NUMERIC
@ATTRIBUTE roe2 NUMERIC
@ATTRIBUTE ev_ebit2 NUMERIC
@ATTRIBUTE pl3 NUMERIC
@ATTRIBUTE pvpa3 NUMERIC
@ATTRIBUTE psr3 NUMERIC
@ATTRIBUTE roe3 NUMERIC
@ATTRIBUTE ev_ebit3 NUMERIC
@ATTRIBUTE pl4 NUMERIC
@ATTRIBUTE pvpa4 NUMERIC
@ATTRIBUTE psr4 NUMERIC
@ATTRIBUTE roe4 NUMERIC
@ATTRIBUTE ev_ebit4 NUMERIC
@ATTRIBUTE pl NUMERIC
@ATTRIBUTE pvpa NUMERIC
@ATTRIBUTE psr NUMERIC
@ATTRIBUTE roe NUMERIC
@ATTRIBUTE ev_ebit NUMERIC
@ATTRIBUTE cotacao NUMERIC
@ATTRIBUTE alvo {1, 0}

@DATA
25.8967,7.5539,2.8092,0.2917,18.5342,25.9568,7.5715,2.8157,0.2917,18.5773,25.7033,7.4975,2.7882,0.2917,18.3959,25.5229,7.4449,2.7686,0.2917,18.2667,27.2113,7.9374,2.9518,0.2917,19.4751,9.5177,1
27.2113,7.9374,2.9518,0.2917,19.4751,25.8967,7.5539,2.8092,0.2917,18.5342,25.9568,7.5715,2.8157,0.2917,18.5773,25.7033,7.4975,2.7882,0.2917,18.3959,27.9244,8.1454,3.0291,0.2917,19.9855,9.7671,1
27.9244,8.1454,3.0291,0.2917,19.9855,27.2113,7.9374,2.9518,0.2917,19.4751,25.8967,7.5539,2.8092,0.2917,18.5342,25.9568,7.5715,2.8157,0.2917,18.5773,27.817,8.1141,3.0175,0.2917,19.9086,9.7295,1
27.817,8.1141,3.0175,0.2917,19.9086,27.9244,8.1454,3.0291,0.2917,19.9855,27.2113,7.9374,2.9518,0.2917,19.4751,25.8967,7.5539,2.8092,0.2917,18.5342,27.5549,8.0376,2.989,0.2917,19.7211,9.6379,1
27.5549,8.0376,2.989,0.2917,19.7211,27.817,8.1141,3.0175,0.2917,19.9086,27.9244,8.1454,3.0291,0.2917,19.9855,27.2113,7.9374,2.9518,0.2917,19.4751,27.1726,7.9261,2.9476,0.2917,19.4474,9.5041,1
27.1726,7.9261,2.9476,0.2917,19.4474,27.5549,8.0376,2.989,0.2917,19.7211,27.817,8.1141,3.0175,0.2917,19.9086,27.9244,8.1454,3.0291,0.2917,19.9855,27.3144,7.9675,2.9629,0.2917,19.5489,9.5537,1
27.3144,7.9675,2.9629,0.2917,19.5489,27.1726,7.9261,2.9476,0.2917,19.4474,27.5549,8.0376,2.989,0.2917,19.7211,27.817,8.1141,3.0175,0.2917,19.9086,26.9148,7.8509,2.9196,0.2917,19.2629,9.414,1
26.9148,7.8509,2.9196,0.2917,19.2629,27.3144,7.9675,2.9629,0.2917,19.5489,27.1726,7.9261,2.9476,0.2917,19.4474,27.5549,8.0376,2.989,0.2917,19.7211,27.5206,8.0276,2.9853,0.2917,19.6965,9.6258,1
27.5206,8.0276,2.9853,0.2917,19.6965,26.9148,7.8509,2.9196,0.2917,19.2629,27.3144,7.9675,2.9629,0.2917,19.5489,27.1726,7.9261,2.9476,0.2917,19.4474,28.0877,8.193,3.0468,0.2917,20.1023,9.8242,1
28.0877,8.193,3.0468,0.2917,20.1023,27.5206,8.0276,2.9853,0.2917,19.6965,26.9148,7.8509,2.9196,0.2917,19.2629,27.3144,7.9675,2.9629,0.2917,19.5489,28.0146,8.1717,3.0389,0.2917,20.0501,9.7986,1
