@RELATION "B3 - BRFS3"

@ATTRIBUTE pl1 NUMERIC
@ATTRIBUTE pvpa1 NUMERIC
@ATTRIBUTE psr1 NUMERIC
@ATTRIBUTE roe1 NUMERIC
@ATTRIBUTE ev_ebit1 NUMERIC
@ATTRIBUTE pl2 NUMERIC
@ATTRIBUTE pvpa2 NUMERIC
@ATTRIBUTE psr2 NUMERIC
@ATTRIBUTE roe2 NUMERIC
@ATTRIBUTE ev_ebit2 NUMERIC
@ATTRIBUTE pl3 NUMERIC
@ATTRIBUTE pvpa3 NUMERIC
@ATTRIBUTE psr3 NUMERIC
@ATTRIBUTE roe3 NUMERIC
@ATTRIBUTE ev_ebit3 NUMERIC
@ATTRIBUTE pl4 NUMERIC
@ATTRIBUTE pvpa4 NUMERIC
@ATTRIBUTE psr4 NUMERIC
@ATTRIBUTE roe4 NUMERIC
@ATTRIBUTE ev_ebit4 NUMERIC
@ATTRIBUTE pl NUMERIC
@ATTRIBUTE pvpa NUMERIC
@ATTRIBUTE psr NUMERIC
@ATTRIBUTE roe NUMERIC
@ATTRIBUTE ev_ebit NUMERIC
@ATTRIBUTE cotacao NUMERIC
@ATTRIBUTE alvo {1, 0}

@DATA
29.3376,2.8511,3.2126,0.0972,26.6976,29.4088,2.8581,3.2204,0.0972,26.7624,29.3613,2.8534,3.2152,0.0972,26.7192,28.4193,2.7619,3.1121,0.0972,25.862,29.4484,2.8619,3.2247,0.0972,26.7985,37.2,0
29.4484,2.8619,3.2247,0.0972,26.7985,29.3376,2.8511,3.2126,0.0972,26.6976,29.4088,2.8581,3.2204,0.0972,26.7624,29.3613,2.8534,3.2152,0.0972,26.7192,28.4984,2.7696,3.1207,0.0972,25.934,36.0,0
28.4984,2.7696,3.1207,0.0972,25.934,29.4484,2.8619,3.2247,0.0972,26.7985,29.3376,2.8511,3.2126,0.0972,26.6976,29.4088,2.8581,3.2204,0.0972,26.7624,28.5064,2.7704,3.1216,0.0972,25.9412,36.01,0
28.5064,2.7704,3.1216,0.0972,25.9412,28.4984,2.7696,3.1207,0.0972,25.934,29.4484,2.8619,3.2247,0.0972,26.7985,29.3376,2.8511,3.2126,0.0972,26.6976,28.3401,2.7542,3.1034,0.0972,25.7899,35.8,0
28.3401,2.7542,3.1034,0.0972,25.7899,28.5064,2.7704,3.1216,0.0972,25.9412,28.4984,2.7696,3.1207,0.0972,25.934,29.4484,2.8619,3.2247,0.0972,26.7985,27.8731,2.7088,3.0522,0.0972,25.3649,35.21,0
27.8731,2.7088,3.0522,0.0972,25.3649,28.3401,2.7542,3.1034,0.0972,25.7899,28.5064,2.7704,3.1216,0.0972,25.9412,28.4984,2.7696,3.1207,0.0972,25.934,27.7147,2.6934,3.0349,0.0972,25.2208,35.01,0
27.7147,2.6934,3.0349,0.0972,25.2208,27.8731,2.7088,3.0522,0.0972,25.3649,28.3401,2.7542,3.1034,0.0972,25.7899,28.5064,2.7704,3.1216,0.0972,25.9412,27.6277,2.685,3.0254,0.0972,25.1416,34.9,0
27.6277,2.685,3.0254,0.0972,25.1416,27.7147,2.6934,3.0349,0.0972,25.2208,27.8731,2.7088,3.0522,0.0972,25.3649,28.3401,2.7542,3.1034,0.0972,25.7899,27.4298,2.6657,3.0037,0.0972,24.9615,34.65,0
27.4298,2.6657,3.0037,0.0972,24.9615,27.6277,2.685,3.0254,0.0972,25.1416,27.7147,2.6934,3.0349,0.0972,25.2208,27.8731,2.7088,3.0522,0.0972,25.3649,27.1527,2.6388,2.9734,0.0972,24.7093,34.3,0
27.1527,2.6388,2.9734,0.0972,24.7093,27.4298,2.6657,3.0037,0.0972,24.9615,27.6277,2.685,3.0254,0.0972,25.1416,27.7147,2.6934,3.0349,0.0972,25.2208,27.1289,2.6365,2.9708,0.0972,24.6877,34.27,0
27.1289,2.6365,2.9708,0.0972,24.6877,27.1527,2.6388,2.9734,0.0972,24.7093,27.4298,2.6657,3.0037,0.0972,24.9615,27.6277,2.685,3.0254,0.0972,25.1416,26.7965,2.6042,2.9343,0.0972,24.3852,33.85,0
26.7965,2.6042,2.9343,0.0972,24.3852,27.1289,2.6365,2.9708,0.0972,24.6877,27.1527,2.6388,2.9734,0.0972,24.7093,27.4298,2.6657,3.0037,0.0972,24.9615,26.9944,2.6234,2.956,0.0972,24.5653,34.1,0
26.9944,2.6234,2.956,0.0972,24.5653,26.7965,2.6042,2.9343,0.0972,24.3852,27.1289,2.6365,2.9708,0.0972,24.6877,27.1527,2.6388,2.9734,0.0972,24.7093,27.5564,2.678,3.0176,0.0972,25.0767,34.81,0
27.5564,2.678,3.0176,0.0972,25.0767,26.9944,2.6234,2.956,0.0972,24.5653,26.7965,2.6042,2.9343,0.0972,24.3852,27.1289,2.6365,2.9708,0.0972,24.6877,27.1131,2.635,2.969,0.0972,24.6733,34.25,0
27.1131,2.635,2.969,0.0972,24.6733,27.5564,2.678,3.0176,0.0972,25.0767,26.9944,2.6234,2.956,0.0972,24.5653,26.7965,2.6042,2.9343,0.0972,24.3852,27.5564,2.678,3.0176,0.0972,25.0767,34.81,0
27.5564,2.678,3.0176,0.0972,25.0767,27.1131,2.635,2.969,0.0972,24.6733,27.5564,2.678,3.0176,0.0972,25.0767,26.9944,2.6234,2.956,0.0972,24.5653,27.6672,2.6888,3.0297,0.0972,25.1776,34.95,0
27.6672,2.6888,3.0297,0.0972,25.1776,27.5564,2.678,3.0176,0.0972,25.0767,27.1131,2.635,2.969,0.0972,24.6733,27.5564,2.678,3.0176,0.0972,25.0767,27.311,2.6542,2.9907,0.0972,24.8534,34.5,0
27.311,2.6542,2.9907,0.0972,24.8534,27.6672,2.6888,3.0297,0.0972,25.1776,27.5564,2.678,3.0176,0.0972,25.0767,27.1131,2.635,2.969,0.0972,24.6733,28.2293,2.7434,3.0912,0.0972,25.6891,35.66,0
28.2293,2.7434,3.0912,0.0972,25.6891,27.311,2.6542,2.9907,0.0972,24.8534,27.6672,2.6888,3.0297,0.0972,25.1776,27.5564,2.678,3.0176,0.0972,25.0767,28.0551,2.7265,3.0722,0.0972,25.5306,35.44,0
28.0551,2.7265,3.0722,0.0972,25.5306,28.2293,2.7434,3.0912,0.0972,25.6891,27.311,2.6542,2.9907,0.0972,24.8534,27.6672,2.6888,3.0297,0.0972,25.1776,28.3401,2.7542,3.1034,0.0972,25.7899,35.8,0
28.3401,2.7542,3.1034,0.0972,25.7899,28.0551,2.7265,3.0722,0.0972,25.5306,28.2293,2.7434,3.0912,0.0972,25.6891,27.311,2.6542,2.9907,0.0972,24.8534,28.3718,2.7573,3.1069,0.0972,25.8187,35.84,0
28.3718,2.7573,3.1069,0.0972,25.8187,28.3401,2.7542,3.1034,0.0972,25.7899,28.0551,2.7265,3.0722,0.0972,25.5306,28.2293,2.7434,3.0912,0.0972,25.6891,33.1746,2.6339,2.9397,0.0794,31.5761,34.85,0
33.1746,2.6339,2.9397,0.0794,31.5761,28.3718,2.7573,3.1069,0.0972,25.8187,28.3401,2.7542,3.1034,0.0972,25.7899,28.0551,2.7265,3.0722,0.0972,25.5306,32.2608,2.5613,2.8587,0.0794,30.7063,33.89,0
32.2608,2.5613,2.8587,0.0794,30.7063,33.1746,2.6339,2.9397,0.0794,31.5761,28.3718,2.7573,3.1069,0.0972,25.8187,28.3401,2.7542,3.1034,0.0972,25.7899,32.394,2.5719,2.8705,0.0794,30.8332,34.03,0
32.394,2.5719,2.8705,0.0794,30.8332,32.2608,2.5613,2.8587,0.0794,30.7063,33.1746,2.6339,2.9397,0.0794,31.5761,28.3718,2.7573,3.1069,0.0972,25.8187,32.4036,2.5726,2.8714,0.0794,30.8422,34.04,0
32.4036,2.5726,2.8714,0.0794,30.8422,32.394,2.5719,2.8705,0.0794,30.8332,32.2608,2.5613,2.8587,0.0794,30.7063,33.1746,2.6339,2.9397,0.0794,31.5761,32.356,2.5689,2.8672,0.0794,30.7969,33.99,0
32.356,2.5689,2.8672,0.0794,30.7969,32.4036,2.5726,2.8714,0.0794,30.8422,32.394,2.5719,2.8705,0.0794,30.8332,32.2608,2.5613,2.8587,0.0794,30.7063,31.5659,2.5061,2.7971,0.0794,30.0449,33.16,1
31.5659,2.5061,2.7971,0.0794,30.0449,32.356,2.5689,2.8672,0.0794,30.7969,32.4036,2.5726,2.8714,0.0794,30.8422,32.394,2.5719,2.8705,0.0794,30.8332,31.5659,2.5061,2.7971,0.0794,30.0449,33.16,0
31.5659,2.5061,2.7971,0.0794,30.0449,31.5659,2.5061,2.7971,0.0794,30.0449,32.356,2.5689,2.8672,0.0794,30.7969,32.4036,2.5726,2.8714,0.0794,30.8422,32.1751,2.5545,2.8511,0.0794,30.6248,33.8,0
32.1751,2.5545,2.8511,0.0794,30.6248,31.5659,2.5061,2.7971,0.0794,30.0449,31.5659,2.5061,2.7971,0.0794,30.0449,32.356,2.5689,2.8672,0.0794,30.7969,32.2227,2.5583,2.8553,0.0794,30.6701,33.85,0
32.2227,2.5583,2.8553,0.0794,30.6701,32.1751,2.5545,2.8511,0.0794,30.6248,31.5659,2.5061,2.7971,0.0794,30.0449,31.5659,2.5061,2.7971,0.0794,30.0449,31.6039,2.5091,2.8005,0.0794,30.0811,33.2,0
31.6039,2.5091,2.8005,0.0794,30.0811,32.2227,2.5583,2.8553,0.0794,30.6701,32.1751,2.5545,2.8511,0.0794,30.6248,31.5659,2.5061,2.7971,0.0794,30.0449,31.0328,2.4638,2.7499,0.0794,29.5375,32.6,0
31.0328,2.4638,2.7499,0.0794,29.5375,31.6039,2.5091,2.8005,0.0794,30.0811,32.2227,2.5583,2.8553,0.0794,30.6701,32.1751,2.5545,2.8511,0.0794,30.6248,31.404,2.4933,2.7828,0.0794,29.8909,32.99,0
31.404,2.4933,2.7828,0.0794,29.8909,31.0328,2.4638,2.7499,0.0794,29.5375,31.6039,2.5091,2.8005,0.0794,30.0811,32.2227,2.5583,2.8553,0.0794,30.6701,31.0328,2.4638,2.7499,0.0794,29.5375,32.6,0
31.0328,2.4638,2.7499,0.0794,29.5375,31.404,2.4933,2.7828,0.0794,29.8909,31.0328,2.4638,2.7499,0.0794,29.5375,31.6039,2.5091,2.8005,0.0794,30.0811,30.652,2.4336,2.7162,0.0794,29.1751,32.2,0
30.652,2.4336,2.7162,0.0794,29.1751,31.0328,2.4638,2.7499,0.0794,29.5375,31.404,2.4933,2.7828,0.0794,29.8909,31.0328,2.4638,2.7499,0.0794,29.5375,31.1756,2.4751,2.7626,0.0794,29.6734,32.75,0
31.1756,2.4751,2.7626,0.0794,29.6734,30.652,2.4336,2.7162,0.0794,29.1751,31.0328,2.4638,2.7499,0.0794,29.5375,31.404,2.4933,2.7828,0.0794,29.8909,31.2232,2.4789,2.7668,0.0794,29.7187,32.8,0
31.2232,2.4789,2.7668,0.0794,29.7187,31.1756,2.4751,2.7626,0.0794,29.6734,30.652,2.4336,2.7162,0.0794,29.1751,31.0328,2.4638,2.7499,0.0794,29.5375,30.5092,2.4222,2.7035,0.0794,29.0392,32.05,0
30.5092,2.4222,2.7035,0.0794,29.0392,31.2232,2.4789,2.7668,0.0794,29.7187,31.1756,2.4751,2.7626,0.0794,29.6734,30.652,2.4336,2.7162,0.0794,29.1751,30.395,2.4132,2.6934,0.0794,28.9304,31.93,0
30.395,2.4132,2.6934,0.0794,28.9304,30.5092,2.4222,2.7035,0.0794,29.0392,31.2232,2.4789,2.7668,0.0794,29.7187,31.1756,2.4751,2.7626,0.0794,29.6734,30.1285,2.392,2.6698,0.0794,28.6767,31.65,0
