@RELATION "B3 - CPFE3"

@ATTRIBUTE pl1 NUMERIC
@ATTRIBUTE pvpa1 NUMERIC
@ATTRIBUTE psr1 NUMERIC
@ATTRIBUTE roe1 NUMERIC
@ATTRIBUTE ev_ebit1 NUMERIC
@ATTRIBUTE pl2 NUMERIC
@ATTRIBUTE pvpa2 NUMERIC
@ATTRIBUTE psr2 NUMERIC
@ATTRIBUTE roe2 NUMERIC
@ATTRIBUTE ev_ebit2 NUMERIC
@ATTRIBUTE pl3 NUMERIC
@ATTRIBUTE pvpa3 NUMERIC
@ATTRIBUTE psr3 NUMERIC
@ATTRIBUTE roe3 NUMERIC
@ATTRIBUTE ev_ebit3 NUMERIC
@ATTRIBUTE pl4 NUMERIC
@ATTRIBUTE pvpa4 NUMERIC
@ATTRIBUTE psr4 NUMERIC
@ATTRIBUTE roe4 NUMERIC
@ATTRIBUTE ev_ebit4 NUMERIC
@ATTRIBUTE pl NUMERIC
@ATTRIBUTE pvpa NUMERIC
@ATTRIBUTE psr NUMERIC
@ATTRIBUTE roe NUMERIC
@ATTRIBUTE ev_ebit NUMERIC
@ATTRIBUTE cotacao NUMERIC
@ATTRIBUTE alvo {1, 0}

@DATA
20.3419,4.4051,26138.8404,0.2166,20.0603,20.4629,4.4313,26294.3198,0.2166,20.1796,20.7263,4.4883,26632.7163,0.2166,20.4393,20.833,4.5114,26769.904,0.2166,20.5446,20.1711,4.3681,25919.34,0.2166,19.8918,26.7909,0
20.1711,4.3681,25919.34,0.2166,19.8918,20.3419,4.4051,26138.8404,0.2166,20.0603,20.4629,4.4313,26294.3198,0.2166,20.1796,20.7263,4.4883,26632.7163,0.2166,20.4393,19.9291,4.3157,25608.381,0.2166,19.6532,26.4695,0
19.9291,4.3157,25608.381,0.2166,19.6532,20.1711,4.3681,25919.34,0.2166,19.8918,20.3419,4.4051,26138.8404,0.2166,20.0603,20.4629,4.4313,26294.3198,0.2166,20.1796,20.1071,4.3542,25837.0273,0.2166,19.8287,26.7058,0
20.1071,4.3542,25837.0273,0.2166,19.8287,19.9291,4.3157,25608.381,0.2166,19.6532,20.1711,4.3681,25919.34,0.2166,19.8918,20.3419,4.4051,26138.8404,0.2166,20.0603,19.9291,4.3157,25608.381,0.2166,19.6532,26.4695,0
19.9291,4.3157,25608.381,0.2166,19.6532,20.1071,4.3542,25837.0273,0.2166,19.8287,19.9291,4.3157,25608.381,0.2166,19.6532,20.1711,4.3681,25919.34,0.2166,19.8918,19.801,4.2879,25443.7557,0.2166,19.5268,26.2993,0
19.801,4.2879,25443.7557,0.2166,19.5268,19.9291,4.3157,25608.381,0.2166,19.6532,20.1071,4.3542,25837.0273,0.2166,19.8287,19.9291,4.3157,25608.381,0.2166,19.6532,19.9861,4.328,25681.5478,0.2166,19.7093,26.5451,0
19.9861,4.328,25681.5478,0.2166,19.7093,19.801,4.2879,25443.7557,0.2166,19.5268,19.9291,4.3157,25608.381,0.2166,19.6532,20.1071,4.3542,25837.0273,0.2166,19.8287,20.0359,4.3388,25745.5688,0.2166,19.7585,26.6113,0
20.0359,4.3388,25745.5688,0.2166,19.7585,19.9861,4.328,25681.5478,0.2166,19.7093,19.801,4.2879,25443.7557,0.2166,19.5268,19.9291,4.3157,25608.381,0.2166,19.6532,19.8295,4.2941,25480.3391,0.2166,19.5549,26.3371,0
19.8295,4.2941,25480.3391,0.2166,19.5549,20.0359,4.3388,25745.5688,0.2166,19.7585,19.9861,4.328,25681.5478,0.2166,19.7093,19.801,4.2879,25443.7557,0.2166,19.5268,19.7156,4.2694,25334.0055,0.2166,19.4426,26.1859,0
19.7156,4.2694,25334.0055,0.2166,19.4426,19.8295,4.2941,25480.3391,0.2166,19.5549,20.0359,4.3388,25745.5688,0.2166,19.7585,19.9861,4.328,25681.5478,0.2166,19.7093,19.5377,4.2309,25105.3593,0.2166,19.2671,25.9495,0
19.5377,4.2309,25105.3593,0.2166,19.2671,19.7156,4.2694,25334.0055,0.2166,19.4426,19.8295,4.2941,25480.3391,0.2166,19.5549,20.0359,4.3388,25745.5688,0.2166,19.7585,20.1996,4.3742,25955.9234,0.2166,19.9199,26.8287,0
20.1996,4.3742,25955.9234,0.2166,19.9199,19.5377,4.2309,25105.3593,0.2166,19.2671,19.7156,4.2694,25334.0055,0.2166,19.4426,19.8295,4.2941,25480.3391,0.2166,19.5549,19.7725,4.2818,25407.1723,0.2166,19.4988,26.2615,0
19.7725,4.2818,25407.1723,0.2166,19.4988,20.1996,4.3742,25955.9234,0.2166,19.9199,19.5377,4.2309,25105.3593,0.2166,19.2671,19.7156,4.2694,25334.0055,0.2166,19.4426,19.6729,4.2602,25279.1304,0.2166,19.4005,26.1292,0
19.6729,4.2602,25279.1304,0.2166,19.4005,19.7725,4.2818,25407.1723,0.2166,19.4988,20.1996,4.3742,25955.9234,0.2166,19.9199,19.5377,4.2309,25105.3593,0.2166,19.2671,20.0501,4.3419,25763.8605,0.2166,19.7725,26.6302,0
