@RELATION "B3 - CMIG3"

@ATTRIBUTE pl1 NUMERIC
@ATTRIBUTE pvpa1 NUMERIC
@ATTRIBUTE psr1 NUMERIC
@ATTRIBUTE roe1 NUMERIC
@ATTRIBUTE ev_ebit1 NUMERIC
@ATTRIBUTE pl2 NUMERIC
@ATTRIBUTE pvpa2 NUMERIC
@ATTRIBUTE psr2 NUMERIC
@ATTRIBUTE roe2 NUMERIC
@ATTRIBUTE ev_ebit2 NUMERIC
@ATTRIBUTE pl3 NUMERIC
@ATTRIBUTE pvpa3 NUMERIC
@ATTRIBUTE psr3 NUMERIC
@ATTRIBUTE roe3 NUMERIC
@ATTRIBUTE ev_ebit3 NUMERIC
@ATTRIBUTE pl4 NUMERIC
@ATTRIBUTE pvpa4 NUMERIC
@ATTRIBUTE psr4 NUMERIC
@ATTRIBUTE roe4 NUMERIC
@ATTRIBUTE ev_ebit4 NUMERIC
@ATTRIBUTE pl NUMERIC
@ATTRIBUTE pvpa NUMERIC
@ATTRIBUTE psr NUMERIC
@ATTRIBUTE roe NUMERIC
@ATTRIBUTE ev_ebit NUMERIC
@ATTRIBUTE cotacao NUMERIC
@ATTRIBUTE alvo {1, 0}

@DATA
12.8663,2.6461,89561.6142,0.2057,12.7986,12.7681,2.6259,88877.9378,0.2057,12.7009,12.3949,2.5491,86279.9673,0.2057,12.3296,12.2443,2.5181,85231.6634,0.2057,12.1798,12.7681,2.6259,88877.9378,0.2057,12.7009,14.0097,1
12.7681,2.6259,88877.9378,0.2057,12.7009,12.8663,2.6461,89561.6142,0.2057,12.7986,12.7681,2.6259,88877.9378,0.2057,12.7009,12.3949,2.5491,86279.9673,0.2057,12.3296,13.0627,2.6865,90928.9671,0.2057,12.994,14.333,1
13.0627,2.6865,90928.9671,0.2057,12.994,12.7681,2.6259,88877.9378,0.2057,12.7009,12.8663,2.6461,89561.6142,0.2057,12.7986,12.7681,2.6259,88877.9378,0.2057,12.7009,12.8466,2.642,89424.8789,0.2057,12.7791,14.096,1
12.8466,2.642,89424.8789,0.2057,12.7791,13.0627,2.6865,90928.9671,0.2057,12.994,12.7681,2.6259,88877.9378,0.2057,12.7009,12.8663,2.6461,89561.6142,0.2057,12.7986,13.0889,2.6918,91111.2808,0.2057,13.0201,14.3618,1
13.0889,2.6918,91111.2808,0.2057,13.0201,12.8466,2.642,89424.8789,0.2057,12.7791,13.0627,2.6865,90928.9671,0.2057,12.994,12.7681,2.6259,88877.9378,0.2057,12.7009,13.0594,2.6858,90906.1779,0.2057,12.9907,14.3295,1
13.0594,2.6858,90906.1779,0.2057,12.9907,13.0889,2.6918,91111.2808,0.2057,13.0201,12.8466,2.642,89424.8789,0.2057,12.7791,13.0627,2.6865,90928.9671,0.2057,12.994,12.9841,2.6703,90382.0259,0.2057,12.9158,14.2468,1
12.9841,2.6703,90382.0259,0.2057,12.9158,13.0594,2.6858,90906.1779,0.2057,12.9907,13.0889,2.6918,91111.2808,0.2057,13.0201,12.8466,2.642,89424.8789,0.2057,12.7791,12.8597,2.6447,89516.0358,0.2057,12.7921,14.1103,1
12.8597,2.6447,89516.0358,0.2057,12.7921,12.9841,2.6703,90382.0259,0.2057,12.9158,13.0594,2.6858,90906.1779,0.2057,12.9907,13.0889,2.6918,91111.2808,0.2057,13.0201,13.03,2.6797,90701.0749,0.2057,12.9614,14.2971,1
13.03,2.6797,90701.0749,0.2057,12.9614,12.8597,2.6447,89516.0358,0.2057,12.7921,12.9841,2.6703,90382.0259,0.2057,12.9158,13.0594,2.6858,90906.1779,0.2057,12.9907,13.0234,2.6784,90655.4965,0.2057,12.9549,14.2899,1
13.0234,2.6784,90655.4965,0.2057,12.9549,13.03,2.6797,90701.0749,0.2057,12.9614,12.8597,2.6447,89516.0358,0.2057,12.7921,12.9841,2.6703,90382.0259,0.2057,12.9158,13.1282,2.6999,91384.7514,0.2057,13.0591,14.4049,1
