@RELATION "B3 - ITUB3"

@ATTRIBUTE cotacao1 NUMERIC
@ATTRIBUTE high1 NUMERIC
@ATTRIBUTE low1 NUMERIC
@ATTRIBUTE open1 NUMERIC
@ATTRIBUTE volume1 NUMERIC
@ATTRIBUTE cotacao2 NUMERIC
@ATTRIBUTE high2 NUMERIC
@ATTRIBUTE low2 NUMERIC
@ATTRIBUTE open2 NUMERIC
@ATTRIBUTE volume2 NUMERIC
@ATTRIBUTE cotacao3 NUMERIC
@ATTRIBUTE high3 NUMERIC
@ATTRIBUTE low3 NUMERIC
@ATTRIBUTE open3 NUMERIC
@ATTRIBUTE volume3 NUMERIC
@ATTRIBUTE cotacao4 NUMERIC
@ATTRIBUTE high4 NUMERIC
@ATTRIBUTE low4 NUMERIC
@ATTRIBUTE open4 NUMERIC
@ATTRIBUTE volume4 NUMERIC
@ATTRIBUTE cotacao NUMERIC
@ATTRIBUTE high NUMERIC
@ATTRIBUTE low NUMERIC
@ATTRIBUTE open NUMERIC
@ATTRIBUTE volume NUMERIC
@ATTRIBUTE alvo {1, 0}

@DATA
14.571,14.571,14.2294,14.4207,8819747.1832,14.1839,14.2886,14.0519,14.1657,7314106.2742,14.3433,14.4344,14.2568,14.3342,10788474.8697,14.366,14.4344,14.0245,14.0245,11788654.2871,14.3888,14.6165,14.2613,14.6165,13704551.3892,1
14.3888,14.6165,14.2613,14.6165,13704551.3892,14.571,14.571,14.2294,14.4207,8819747.1832,14.1839,14.2886,14.0519,14.1657,7314106.2742,14.3433,14.4344,14.2568,14.3342,10788474.8697,14.4344,14.5436,14.1976,14.5436,3798990.3116,1
14.4344,14.5436,14.1976,14.5436,3798990.3116,14.3888,14.6165,14.2613,14.6165,13704551.3892,14.571,14.571,14.2294,14.4207,8819747.1832,14.1839,14.2886,14.0519,14.1657,7314106.2742,14.5254,14.5254,14.1611,14.3888,6753000.93,1
14.5254,14.5254,14.1611,14.3888,6753000.93,14.4344,14.5436,14.1976,14.5436,3798990.3116,14.3888,14.6165,14.2613,14.6165,13704551.3892,14.571,14.571,14.2294,14.4207,8819747.1832,14.5937,14.6301,14.275,14.5664,3686075.2593,0
14.5937,14.6301,14.275,14.5664,3686075.2593,14.5254,14.5254,14.1611,14.3888,6753000.93,14.4344,14.5436,14.1976,14.5436,3798990.3116,14.3888,14.6165,14.2613,14.6165,13704551.3892,14.3387,14.5892,14.2977,14.5436,3984338.7831,0
14.3387,14.5892,14.2977,14.5436,3984338.7831,14.5937,14.6301,14.275,14.5664,3686075.2593,14.5254,14.5254,14.1611,14.3888,6753000.93,14.4344,14.5436,14.1976,14.5436,3798990.3116,14.2249,14.3478,14.1657,14.3251,11326869.8267,0
14.2249,14.3478,14.1657,14.3251,11326869.8267,14.3387,14.5892,14.2977,14.5436,3984338.7831,14.5937,14.6301,14.275,14.5664,3686075.2593,14.5254,14.5254,14.1611,14.3888,6753000.93,14.1156,14.3114,14.1156,14.2568,9483711.4088,0
14.1156,14.3114,14.1156,14.2568,9483711.4088,14.2249,14.3478,14.1657,14.3251,11326869.8267,14.3387,14.5892,14.2977,14.5436,3984338.7831,14.5937,14.6301,14.275,14.5664,3686075.2593,13.9653,14.1202,13.9471,14.1156,8942424.1222,1
13.9653,14.1202,13.9471,14.1156,8942424.1222,14.1156,14.3114,14.1156,14.2568,9483711.4088,14.2249,14.3478,14.1657,14.3251,11326869.8267,14.3387,14.5892,14.2977,14.5436,3984338.7831,14.2431,14.2477,14.0245,14.0701,139515315.1624,1
14.2431,14.2477,14.0245,14.0701,139515315.1624,13.9653,14.1202,13.9471,14.1156,8942424.1222,14.1156,14.3114,14.1156,14.2568,9483711.4088,14.2249,14.3478,14.1657,14.3251,11326869.8267,14.4344,14.4708,14.2067,14.2067,9972198.8571,1
14.4344,14.4708,14.2067,14.2067,9972198.8571,14.2431,14.2477,14.0245,14.0701,139515315.1624,13.9653,14.1202,13.9471,14.1156,8942424.1222,14.1156,14.3114,14.1156,14.2568,9483711.4088,14.5254,14.6165,14.2704,14.3296,9028368.2563,0
14.5254,14.6165,14.2704,14.3296,9028368.2563,14.4344,14.4708,14.2067,14.2067,9972198.8571,14.2431,14.2477,14.0245,14.0701,139515315.1624,13.9653,14.1202,13.9471,14.1156,8942424.1222,14.5254,14.7895,14.2431,14.4617,8733203.5002,0
14.5254,14.7895,14.2431,14.4617,8733203.5002,14.5254,14.6165,14.2704,14.3296,9028368.2563,14.4344,14.4708,14.2067,14.2067,9972198.8571,14.2431,14.2477,14.0245,14.0701,139515315.1624,14.2977,14.4799,14.2431,14.3433,11007400.2786,0
14.2977,14.4799,14.2431,14.3433,11007400.2786,14.5254,14.7895,14.2431,14.4617,8733203.5002,14.5254,14.6165,14.2704,14.3296,9028368.2563,14.4344,14.4708,14.2067,14.2067,9972198.8571,14.0063,14.2386,13.8014,14.2386,11504022.2664,1
14.0063,14.2386,13.8014,14.2386,11504022.2664,14.2977,14.4799,14.2431,14.3433,11007400.2786,14.5254,14.7895,14.2431,14.4617,8733203.5002,14.5254,14.6165,14.2704,14.3296,9028368.2563,14.2659,14.3888,13.9426,14.366,9925073.8704,1
14.2659,14.3888,13.9426,14.366,9925073.8704,14.0063,14.2386,13.8014,14.2386,11504022.2664,14.2977,14.4799,14.2431,14.3433,11007400.2786,14.5254,14.7895,14.2431,14.4617,8733203.5002,14.4753,14.6165,14.2977,14.2977,19909845.6862,1
14.4753,14.6165,14.2977,14.2977,19909845.6862,14.2659,14.3888,13.9426,14.366,9925073.8704,14.0063,14.2386,13.8014,14.2386,11504022.2664,14.2977,14.4799,14.2431,14.3433,11007400.2786,14.5618,14.6393,14.4526,14.4753,11945668.0314,0
14.5618,14.6393,14.4526,14.4753,11945668.0314,14.4753,14.6165,14.2977,14.2977,19909845.6862,14.2659,14.3888,13.9426,14.366,9925073.8704,14.0063,14.2386,13.8014,14.2386,11504022.2664,14.5254,14.5664,14.3797,14.5436,10852683.7072,1
14.5254,14.5664,14.3797,14.5436,10852683.7072,14.5618,14.6393,14.4526,14.4753,11945668.0314,14.4753,14.6165,14.2977,14.2977,19909845.6862,14.2659,14.3888,13.9426,14.366,9925073.8704,14.7895,14.7895,14.5937,14.6666,24171709.7486,0
14.7895,14.7895,14.5937,14.6666,24171709.7486,14.5254,14.5664,14.3797,14.5436,10852683.7072,14.5618,14.6393,14.4526,14.4753,11945668.0314,14.4753,14.6165,14.2977,14.2977,19909845.6862,14.7303,14.7941,14.5755,14.7941,9663224.7098,1
14.7303,14.7941,14.5755,14.7941,9663224.7098,14.7895,14.7895,14.5937,14.6666,24171709.7486,14.5254,14.5664,14.3797,14.5436,10852683.7072,14.5618,14.6393,14.4526,14.4753,11945668.0314,14.7986,14.9534,14.6028,14.6028,15106259.4995,1
14.7986,14.9534,14.6028,14.6028,15106259.4995,14.7303,14.7941,14.5755,14.7941,9663224.7098,14.7895,14.7895,14.5937,14.6666,24171709.7486,14.5254,14.5664,14.3797,14.5436,10852683.7072,15.1219,15.1219,14.6256,14.999,24350397.2972,0
15.1219,15.1219,14.6256,14.999,24350397.2972,14.7986,14.9534,14.6028,14.6028,15106259.4995,14.7303,14.7941,14.5755,14.7941,9663224.7098,14.7895,14.7895,14.5937,14.6666,24171709.7486,15.0035,15.1629,14.9352,15.1219,25806277.8395,1
15.0035,15.1629,14.9352,15.1219,25806277.8395,15.1219,15.1219,14.6256,14.999,24350397.2972,14.7986,14.9534,14.6028,14.6028,15106259.4995,14.7303,14.7941,14.5755,14.7941,9663224.7098,15.0263,15.0263,14.6666,14.6666,7244240.1542,0
15.0263,15.0263,14.6666,14.6666,7244240.1542,15.0035,15.1629,14.9352,15.1219,25806277.8395,15.1219,15.1219,14.6256,14.999,24350397.2972,14.7986,14.9534,14.6028,14.6028,15106259.4995,14.8442,14.9489,14.6802,14.7531,6314431.9712,0
14.8442,14.9489,14.6802,14.7531,6314431.9712,15.0263,15.0263,14.6666,14.6666,7244240.1542,15.0035,15.1629,14.9352,15.1219,25806277.8395,15.1219,15.1219,14.6256,14.999,24350397.2972,14.4161,14.8715,14.4025,14.7713,13173713.3843,0
14.4161,14.8715,14.4025,14.7713,13173713.3843,14.8442,14.9489,14.6802,14.7531,6314431.9712,15.0263,15.0263,14.6666,14.6666,7244240.1542,15.0035,15.1629,14.9352,15.1219,25806277.8395,14.2158,14.8305,14.2158,14.3797,16796019.0361,1
14.2158,14.8305,14.2158,14.3797,16796019.0361,14.4161,14.8715,14.4025,14.7713,13173713.3843,14.8442,14.9489,14.6802,14.7531,6314431.9712,15.0263,15.0263,14.6666,14.6666,7244240.1542,14.6165,14.6165,14.3296,14.3843,5395033.5392,1
14.6165,14.6165,14.3296,14.3843,5395033.5392,14.2158,14.8305,14.2158,14.3797,16796019.0361,14.4161,14.8715,14.4025,14.7713,13173713.3843,14.8442,14.9489,14.6802,14.7531,6314431.9712,14.6757,14.6848,14.407,14.5527,6349276.0871,0
14.6757,14.6848,14.407,14.5527,6349276.0871,14.6165,14.6165,14.3296,14.3843,5395033.5392,14.2158,14.8305,14.2158,14.3797,16796019.0361,14.4161,14.8715,14.4025,14.7713,13173713.3843,14.234,14.6393,14.1293,14.5892,12131526.0097,0
14.234,14.6393,14.1293,14.5892,12131526.0097,14.6757,14.6848,14.407,14.5527,6349276.0871,14.6165,14.6165,14.3296,14.3843,5395033.5392,14.2158,14.8305,14.2158,14.3797,16796019.0361,14.0837,14.316,13.8379,14.1566,15475265.4071,0
14.0837,14.316,13.8379,14.1566,15475265.4071,14.234,14.6393,14.1293,14.5892,12131526.0097,14.6757,14.6848,14.407,14.5527,6349276.0871,14.6165,14.6165,14.3296,14.3843,5395033.5392,13.7969,14.2886,13.765,14.2886,19317651.6426,1
13.7969,14.2886,13.765,14.2886,19317651.6426,14.0837,14.316,13.8379,14.1566,15475265.4071,14.234,14.6393,14.1293,14.5892,12131526.0097,14.6757,14.6848,14.407,14.5527,6349276.0871,14.02,14.02,13.7604,13.8788,6599356.0799,0
14.02,14.02,13.7604,13.8788,6599356.0799,13.7969,14.2886,13.765,14.2886,19317651.6426,14.0837,14.316,13.8379,14.1566,15475265.4071,14.234,14.6393,14.1293,14.5892,12131526.0097,13.6603,14.0837,13.6603,14.0428,9163561.0541,0
13.6603,14.0837,13.6603,14.0428,9163561.0541,14.02,14.02,13.7604,13.8788,6599356.0799,13.7969,14.2886,13.765,14.2886,19317651.6426,14.0837,14.316,13.8379,14.1566,15475265.4071,13.5646,13.7058,13.3689,13.592,33503221.374,0
13.5646,13.7058,13.3689,13.592,33503221.374,13.6603,14.0837,13.6603,14.0428,9163561.0541,14.02,14.02,13.7604,13.8788,6599356.0799,13.7969,14.2886,13.765,14.2886,19317651.6426,13.4326,13.5464,13.1776,13.4372,17734488.8347,0
13.4326,13.5464,13.1776,13.4372,17734488.8347,13.5646,13.7058,13.3689,13.592,33503221.374,13.6603,14.0837,13.6603,14.0428,9163561.0541,14.02,14.02,13.7604,13.8788,6599356.0799,13.1093,13.2186,12.9135,13.1275,15193174.3319,0
13.1093,13.2186,12.9135,13.1275,15193174.3319,13.4326,13.5464,13.1776,13.4372,17734488.8347,13.5646,13.7058,13.3689,13.592,33503221.374,13.6603,14.0837,13.6603,14.0428,9163561.0541,12.8179,13.3097,12.572,13.1321,14758789.0389,0
12.8179,13.3097,12.572,13.1321,14758789.0389,13.1093,13.2186,12.9135,13.1275,15193174.3319,13.4326,13.5464,13.1776,13.4372,17734488.8347,13.5646,13.7058,13.3689,13.592,33503221.374,12.7496,13.1093,12.7496,12.8224,25314742.1351,1
12.7496,13.1093,12.7496,12.8224,25314742.1351,12.8179,13.3097,12.572,13.1321,14758789.0389,13.1093,13.2186,12.9135,13.1275,15193174.3319,13.4326,13.5464,13.1776,13.4372,17734488.8347,13.1139,13.2778,12.7177,12.9636,12104985.5369,0
13.1139,13.2778,12.7177,12.9636,12104985.5369,12.7496,13.1093,12.7496,12.8224,25314742.1351,12.8179,13.3097,12.572,13.1321,14758789.0389,13.1093,13.2186,12.9135,13.1275,15193174.3319,12.7496,13.1139,12.7496,13.1139,19100726.9264,0
12.7496,13.1139,12.7496,13.1139,19100726.9264,13.1139,13.2778,12.7177,12.9636,12104985.5369,12.7496,13.1093,12.7496,12.8224,25314742.1351,12.8179,13.3097,12.572,13.1321,14758789.0389,12.7314,12.9272,12.6266,12.8543,13587872.1359,1
12.7314,12.9272,12.6266,12.8543,13587872.1359,12.7496,13.1139,12.7496,13.1139,19100726.9264,13.1139,13.2778,12.7177,12.9636,12104985.5369,12.7496,13.1093,12.7496,12.8224,25314742.1351,12.7496,12.9044,12.5857,12.8407,8717615.2275,0
12.7496,12.9044,12.5857,12.8407,8717615.2275,12.7314,12.9272,12.6266,12.8543,13587872.1359,12.7496,13.1139,12.7496,13.1139,19100726.9264,13.1139,13.2778,12.7177,12.9636,12104985.5369,12.745,12.8042,12.5674,12.7405,15179092.6181,0
12.745,12.8042,12.5674,12.7405,15179092.6181,12.7496,12.9044,12.5857,12.8407,8717615.2275,12.7314,12.9272,12.6266,12.8543,13587872.1359,12.7496,13.1139,12.7496,13.1139,19100726.9264,12.6585,12.8407,12.5857,12.6631,14594692.7109,1
