@RELATION "B3 - EQTL3"

@ATTRIBUTE cotacao1 NUMERIC
@ATTRIBUTE high1 NUMERIC
@ATTRIBUTE low1 NUMERIC
@ATTRIBUTE open1 NUMERIC
@ATTRIBUTE volume1 NUMERIC
@ATTRIBUTE cotacao2 NUMERIC
@ATTRIBUTE high2 NUMERIC
@ATTRIBUTE low2 NUMERIC
@ATTRIBUTE open2 NUMERIC
@ATTRIBUTE volume2 NUMERIC
@ATTRIBUTE cotacao3 NUMERIC
@ATTRIBUTE high3 NUMERIC
@ATTRIBUTE low3 NUMERIC
@ATTRIBUTE open3 NUMERIC
@ATTRIBUTE volume3 NUMERIC
@ATTRIBUTE cotacao4 NUMERIC
@ATTRIBUTE high4 NUMERIC
@ATTRIBUTE low4 NUMERIC
@ATTRIBUTE open4 NUMERIC
@ATTRIBUTE volume4 NUMERIC
@ATTRIBUTE cotacao NUMERIC
@ATTRIBUTE high NUMERIC
@ATTRIBUTE low NUMERIC
@ATTRIBUTE open NUMERIC
@ATTRIBUTE volume NUMERIC
@ATTRIBUTE alvo {1, 0}

@DATA
2.38,2.426,2.358,2.358,61347070.0,2.358,2.39,2.352,2.39,42432435.0,2.38,2.392,2.358,2.378,19342895.0,2.358,2.446,2.342,2.42,201748460.0,2.42,2.424,2.39,2.424,11829725.0,1
2.42,2.424,2.39,2.424,11829725.0,2.38,2.426,2.358,2.358,61347070.0,2.358,2.39,2.352,2.39,42432435.0,2.38,2.392,2.358,2.378,19342895.0,2.46,2.47,2.432,2.438,14154065.0,1
2.46,2.47,2.432,2.438,14154065.0,2.42,2.424,2.39,2.424,11829725.0,2.38,2.426,2.358,2.358,61347070.0,2.358,2.39,2.352,2.39,42432435.0,2.49,2.518,2.438,2.444,23078415.0,1
2.49,2.518,2.438,2.444,23078415.0,2.46,2.47,2.432,2.438,14154065.0,2.42,2.424,2.39,2.424,11829725.0,2.38,2.426,2.358,2.358,61347070.0,2.48,2.506,2.47,2.504,7990395.0,1
2.48,2.506,2.47,2.504,7990395.0,2.49,2.518,2.438,2.444,23078415.0,2.46,2.47,2.432,2.438,14154065.0,2.42,2.424,2.39,2.424,11829725.0,2.516,2.516,2.476,2.476,48089910.0,1
2.516,2.516,2.476,2.476,48089910.0,2.48,2.506,2.47,2.504,7990395.0,2.49,2.518,2.438,2.444,23078415.0,2.46,2.47,2.432,2.438,14154065.0,2.558,2.558,2.48,2.52,15022935.0,1
2.558,2.558,2.48,2.52,15022935.0,2.516,2.516,2.476,2.476,48089910.0,2.48,2.506,2.47,2.504,7990395.0,2.49,2.518,2.438,2.444,23078415.0,2.54,2.558,2.51,2.556,12735725.0,1
2.54,2.558,2.51,2.556,12735725.0,2.558,2.558,2.48,2.52,15022935.0,2.516,2.516,2.476,2.476,48089910.0,2.48,2.506,2.47,2.504,7990395.0,2.572,2.574,2.53,2.54,10547830.0,1
2.572,2.574,2.53,2.54,10547830.0,2.54,2.558,2.51,2.556,12735725.0,2.558,2.558,2.48,2.52,15022935.0,2.516,2.516,2.476,2.476,48089910.0,2.61,2.636,2.578,2.58,36190435.0,1
2.61,2.636,2.578,2.58,36190435.0,2.572,2.574,2.53,2.54,10547830.0,2.54,2.558,2.51,2.556,12735725.0,2.558,2.558,2.48,2.52,15022935.0,2.64,2.66,2.59,2.61,22772665.0,1
