@RELATION "B3 - KEPL3"

@ATTRIBUTE cotacao1 NUMERIC
@ATTRIBUTE high1 NUMERIC
@ATTRIBUTE low1 NUMERIC
@ATTRIBUTE open1 NUMERIC
@ATTRIBUTE volume1 NUMERIC
@ATTRIBUTE cotacao2 NUMERIC
@ATTRIBUTE high2 NUMERIC
@ATTRIBUTE low2 NUMERIC
@ATTRIBUTE open2 NUMERIC
@ATTRIBUTE volume2 NUMERIC
@ATTRIBUTE cotacao3 NUMERIC
@ATTRIBUTE high3 NUMERIC
@ATTRIBUTE low3 NUMERIC
@ATTRIBUTE open3 NUMERIC
@ATTRIBUTE volume3 NUMERIC
@ATTRIBUTE cotacao4 NUMERIC
@ATTRIBUTE high4 NUMERIC
@ATTRIBUTE low4 NUMERIC
@ATTRIBUTE open4 NUMERIC
@ATTRIBUTE volume4 NUMERIC
@ATTRIBUTE cotacao NUMERIC
@ATTRIBUTE high NUMERIC
@ATTRIBUTE low NUMERIC
@ATTRIBUTE open NUMERIC
@ATTRIBUTE volume NUMERIC
@ATTRIBUTE alvo {1, 0}

@DATA
2.4165,2.4165,2.3332,2.4165,12821.3933,2.4165,2.4165,2.3332,2.4165,27389.0037,2.4165,2.4999,2.3332,2.4165,58456.4521,2.3332,2.4999,2.3332,2.4165,99011.3883,2.3332,2.4165,2.2499,2.4165,102277.37,0
2.3332,2.4165,2.2499,2.4165,102277.37,2.4165,2.4165,2.3332,2.4165,12821.3933,2.4165,2.4165,2.3332,2.4165,27389.0037,2.4165,2.4999,2.3332,2.4165,58456.4521,2.4165,2.4165,2.3332,2.3332,23390.3813,0
2.4165,2.4165,2.3332,2.3332,23390.3813,2.3332,2.4165,2.2499,2.4165,102277.37,2.4165,2.4165,2.3332,2.4165,12821.3933,2.4165,2.4165,2.3332,2.4165,27389.0037,2.4165,2.4165,2.3332,2.4165,19125.584,0
2.4165,2.4165,2.3332,2.4165,19125.584,2.4165,2.4165,2.3332,2.3332,23390.3813,2.3332,2.4165,2.2499,2.4165,102277.37,2.4165,2.4165,2.3332,2.4165,12821.3933,2.3332,2.4165,2.2499,2.3332,41394.6229,0
2.3332,2.4165,2.2499,2.3332,41394.6229,2.4165,2.4165,2.3332,2.4165,19125.584,2.4165,2.4165,2.3332,2.3332,23390.3813,2.3332,2.4165,2.2499,2.4165,102277.37,2.3332,2.3332,2.2499,2.3332,23059.8829,0
2.3332,2.3332,2.2499,2.3332,23059.8829,2.3332,2.4165,2.2499,2.3332,41394.6229,2.4165,2.4165,2.3332,2.4165,19125.584,2.4165,2.4165,2.3332,2.3332,23390.3813,2.2499,2.3332,2.2499,2.2499,34011.4522,0
2.2499,2.3332,2.2499,2.2499,34011.4522,2.3332,2.3332,2.2499,2.3332,23059.8829,2.3332,2.4165,2.2499,2.3332,41394.6229,2.4165,2.4165,2.3332,2.4165,19125.584,2.3332,2.3332,2.2499,2.3332,29056.2565,0
2.3332,2.3332,2.2499,2.3332,29056.2565,2.2499,2.3332,2.2499,2.2499,34011.4522,2.3332,2.3332,2.2499,2.3332,23059.8829,2.3332,2.4165,2.2499,2.3332,41394.6229,2.2499,2.3332,2.2499,2.3332,12223.76,0
2.2499,2.3332,2.2499,2.3332,12223.76,2.3332,2.3332,2.2499,2.3332,29056.2565,2.2499,2.3332,2.2499,2.2499,34011.4522,2.3332,2.3332,2.2499,2.3332,23059.8829,2.2499,2.3332,2.1665,2.3332,70700.1333,0
2.2499,2.3332,2.1665,2.3332,70700.1333,2.2499,2.3332,2.2499,2.3332,12223.76,2.3332,2.3332,2.2499,2.3332,29056.2565,2.2499,2.3332,2.2499,2.2499,34011.4522,2.1665,2.2499,2.1665,2.2499,11043.7344,0
2.1665,2.2499,2.1665,2.2499,11043.7344,2.2499,2.3332,2.1665,2.3332,70700.1333,2.2499,2.3332,2.2499,2.3332,12223.76,2.3332,2.3332,2.2499,2.3332,29056.2565,2.1665,2.2499,2.1665,2.2499,30160.7979,0
2.1665,2.2499,2.1665,2.2499,30160.7979,2.1665,2.2499,2.1665,2.2499,11043.7344,2.2499,2.3332,2.1665,2.3332,70700.1333,2.2499,2.3332,2.2499,2.3332,12223.76,2.1665,2.2499,2.0832,2.1665,56260.4499,0
2.1665,2.2499,2.0832,2.1665,56260.4499,2.1665,2.2499,2.1665,2.2499,30160.7979,2.1665,2.2499,2.1665,2.2499,11043.7344,2.2499,2.3332,2.1665,2.3332,70700.1333,2.0832,2.1665,1.9999,2.0832,123527.4322,0
2.0832,2.1665,1.9999,2.0832,123527.4322,2.1665,2.2499,2.0832,2.1665,56260.4499,2.1665,2.2499,2.1665,2.2499,30160.7979,2.1665,2.2499,2.1665,2.2499,11043.7344,1.9999,2.1665,1.9999,2.0832,58226.3993,0
1.9999,2.1665,1.9999,2.0832,58226.3993,2.0832,2.1665,1.9999,2.0832,123527.4322,2.1665,2.2499,2.0832,2.1665,56260.4499,2.1665,2.2499,2.1665,2.2499,30160.7979,2.0832,2.0832,1.9999,1.9999,29033.0952,0
2.0832,2.0832,1.9999,1.9999,29033.0952,1.9999,2.1665,1.9999,2.0832,58226.3993,2.0832,2.1665,1.9999,2.0832,123527.4322,2.1665,2.2499,2.0832,2.1665,56260.4499,2.0832,2.0832,1.9999,2.0832,16026.5316,0
2.0832,2.0832,1.9999,2.0832,16026.5316,2.0832,2.0832,1.9999,1.9999,29033.0952,1.9999,2.1665,1.9999,2.0832,58226.3993,2.0832,2.1665,1.9999,2.0832,123527.4322,1.9999,2.1665,1.9999,2.0832,27798.2265,0
1.9999,2.1665,1.9999,2.0832,27798.2265,2.0832,2.0832,1.9999,2.0832,16026.5316,2.0832,2.0832,1.9999,1.9999,29033.0952,1.9999,2.1665,1.9999,2.0832,58226.3993,2.0832,2.0832,1.9999,2.0832,4090.5476,0
2.0832,2.0832,1.9999,2.0832,4090.5476,1.9999,2.1665,1.9999,2.0832,27798.2265,2.0832,2.0832,1.9999,2.0832,16026.5316,2.0832,2.0832,1.9999,1.9999,29033.0952,1.9166,2.0832,1.9166,2.0832,64793.5246,0
1.9166,2.0832,1.9166,2.0832,64793.5246,2.0832,2.0832,1.9999,2.0832,4090.5476,1.9999,2.1665,1.9999,2.0832,27798.2265,2.0832,2.0832,1.9999,2.0832,16026.5316,2.0832,2.0832,1.9166,1.9166,39272.0648,0
2.0832,2.0832,1.9166,1.9166,39272.0648,1.9166,2.0832,1.9166,2.0832,64793.5246,2.0832,2.0832,1.9999,2.0832,4090.5476,1.9999,2.1665,1.9999,2.0832,27798.2265,1.9999,2.0832,1.9999,2.0832,29090.9384,0
1.9999,2.0832,1.9999,2.0832,29090.9384,2.0832,2.0832,1.9166,1.9166,39272.0648,1.9166,2.0832,1.9166,2.0832,64793.5246,2.0832,2.0832,1.9999,2.0832,4090.5476,1.9999,2.0832,1.9166,1.9999,52777.1361,0
1.9999,2.0832,1.9166,1.9999,52777.1361,1.9999,2.0832,1.9999,2.0832,29090.9384,2.0832,2.0832,1.9166,1.9166,39272.0648,1.9166,2.0832,1.9166,2.0832,64793.5246,1.9166,2.0832,1.9166,1.9999,33348.1753,0
1.9166,2.0832,1.9166,1.9999,33348.1753,1.9999,2.0832,1.9166,1.9999,52777.1361,1.9999,2.0832,1.9999,2.0832,29090.9384,2.0832,2.0832,1.9166,1.9166,39272.0648,1.9999,2.0832,1.9166,1.9999,37377.7594,0
