@RELATION "B3 - MULT3"

@ATTRIBUTE cotacao1 NUMERIC
@ATTRIBUTE high1 NUMERIC
@ATTRIBUTE low1 NUMERIC
@ATTRIBUTE open1 NUMERIC
@ATTRIBUTE volume1 NUMERIC
@ATTRIBUTE cotacao2 NUMERIC
@ATTRIBUTE high2 NUMERIC
@ATTRIBUTE low2 NUMERIC
@ATTRIBUTE open2 NUMERIC
@ATTRIBUTE volume2 NUMERIC
@ATTRIBUTE cotacao3 NUMERIC
@ATTRIBUTE high3 NUMERIC
@ATTRIBUTE low3 NUMERIC
@ATTRIBUTE open3 NUMERIC
@ATTRIBUTE volume3 NUMERIC
@ATTRIBUTE cotacao4 NUMERIC
@ATTRIBUTE high4 NUMERIC
@ATTRIBUTE low4 NUMERIC
@ATTRIBUTE open4 NUMERIC
@ATTRIBUTE volume4 NUMERIC
@ATTRIBUTE cotacao NUMERIC
@ATTRIBUTE high NUMERIC
@ATTRIBUTE low NUMERIC
@ATTRIBUTE open NUMERIC
@ATTRIBUTE volume NUMERIC
@ATTRIBUTE alvo {1, 0}

@DATA
14.3667,14.6667,14.2133,14.5667,122079135.0,14.6,14.8167,14.41,14.4133,57059313.0,14.51,14.6667,13.81,14.1667,235847076.0,14.1333,14.7233,13.9433,13.9533,141279930.0,14.39,14.5167,14.0833,14.43,24625890.0,1
14.39,14.5167,14.0833,14.43,24625890.0,14.3667,14.6667,14.2133,14.5667,122079135.0,14.6,14.8167,14.41,14.4133,57059313.0,14.51,14.6667,13.81,14.1667,235847076.0,14.4133,14.5,14.1433,14.33,29128161.0,1
14.4133,14.5,14.1433,14.33,29128161.0,14.39,14.5167,14.0833,14.43,24625890.0,14.3667,14.6667,14.2133,14.5667,122079135.0,14.6,14.8167,14.41,14.4133,57059313.0,14.4667,14.5133,14.3,14.4167,43553802.0,1
14.4667,14.5133,14.3,14.4167,43553802.0,14.4133,14.5,14.1433,14.33,29128161.0,14.39,14.5167,14.0833,14.43,24625890.0,14.3667,14.6667,14.2133,14.5667,122079135.0,14.2,14.37,14.1233,14.29,37470708.0,1
14.2,14.37,14.1233,14.29,37470708.0,14.4667,14.5133,14.3,14.4167,43553802.0,14.4133,14.5,14.1433,14.33,29128161.0,14.39,14.5167,14.0833,14.43,24625890.0,14.3,14.31,14.05,14.05,17228502.0,1
14.3,14.31,14.05,14.05,17228502.0,14.2,14.37,14.1233,14.29,37470708.0,14.4667,14.5133,14.3,14.4167,43553802.0,14.4133,14.5,14.1433,14.33,29128161.0,14.2167,14.33,13.9833,14.1133,47246763.0,1
14.2167,14.33,13.9833,14.1133,47246763.0,14.3,14.31,14.05,14.05,17228502.0,14.2,14.37,14.1233,14.29,37470708.0,14.4667,14.5133,14.3,14.4167,43553802.0,13.9667,14.1867,13.7267,14.1867,20155974.0,1
13.9667,14.1867,13.7267,14.1867,20155974.0,14.2167,14.33,13.9833,14.1133,47246763.0,14.3,14.31,14.05,14.05,17228502.0,14.2,14.37,14.1233,14.29,37470708.0,14.1633,14.1633,13.8333,13.9667,32644155.0,1
14.1633,14.1633,13.8333,13.9667,32644155.0,13.9667,14.1867,13.7267,14.1867,20155974.0,14.2167,14.33,13.9833,14.1133,47246763.0,14.3,14.31,14.05,14.05,17228502.0,14.2033,14.33,14.04,14.28,94670685.0,1
14.2033,14.33,14.04,14.28,94670685.0,14.1633,14.1633,13.8333,13.9667,32644155.0,13.9667,14.1867,13.7267,14.1867,20155974.0,14.2167,14.33,13.9833,14.1133,47246763.0,14.2167,14.2533,14.11,14.22,42417363.0,1
14.2167,14.2533,14.11,14.22,42417363.0,14.2033,14.33,14.04,14.28,94670685.0,14.1633,14.1633,13.8333,13.9667,32644155.0,13.9667,14.1867,13.7267,14.1867,20155974.0,14.0,14.2933,13.8533,14.2833,34372461.0,1
14.0,14.2933,13.8533,14.2833,34372461.0,14.2167,14.2533,14.11,14.22,42417363.0,14.2033,14.33,14.04,14.28,94670685.0,14.1633,14.1633,13.8333,13.9667,32644155.0,14.0,14.1367,13.5767,14.0,32231244.0,1
