@RELATION "B3 - GFSA3"

@ATTRIBUTE cotacao1 NUMERIC
@ATTRIBUTE high1 NUMERIC
@ATTRIBUTE low1 NUMERIC
@ATTRIBUTE open1 NUMERIC
@ATTRIBUTE volume1 NUMERIC
@ATTRIBUTE cotacao2 NUMERIC
@ATTRIBUTE high2 NUMERIC
@ATTRIBUTE low2 NUMERIC
@ATTRIBUTE open2 NUMERIC
@ATTRIBUTE volume2 NUMERIC
@ATTRIBUTE cotacao3 NUMERIC
@ATTRIBUTE high3 NUMERIC
@ATTRIBUTE low3 NUMERIC
@ATTRIBUTE open3 NUMERIC
@ATTRIBUTE volume3 NUMERIC
@ATTRIBUTE cotacao4 NUMERIC
@ATTRIBUTE high4 NUMERIC
@ATTRIBUTE low4 NUMERIC
@ATTRIBUTE open4 NUMERIC
@ATTRIBUTE volume4 NUMERIC
@ATTRIBUTE cotacao NUMERIC
@ATTRIBUTE high NUMERIC
@ATTRIBUTE low NUMERIC
@ATTRIBUTE open NUMERIC
@ATTRIBUTE volume NUMERIC
@ATTRIBUTE alvo {1, 0}

@DATA
479.1942,487.6011,473.1893,486.4001,272211.2683,481.5962,496.008,481.5962,493.6061,208848.5293,498.41,502.013,475.5913,481.5962,252412.0782,477.9932,492.4051,477.9932,488.8021,206622.587,490.0031,491.2041,477.9932,481.5962,279917.2986,1
490.0031,491.2041,477.9932,481.5962,279917.2986,479.1942,487.6011,473.1893,486.4001,272211.2683,481.5962,496.008,481.5962,493.6061,208848.5293,498.41,502.013,475.5913,481.5962,252412.0782,491.2041,500.812,483.9982,487.6011,456936.5593,0
491.2041,500.812,483.9982,487.6011,456936.5593,490.0031,491.2041,477.9932,481.5962,279917.2986,479.1942,487.6011,473.1893,486.4001,272211.2683,481.5962,496.008,481.5962,493.6061,208848.5293,480.3952,494.8071,475.5913,488.8021,244515.588,1
480.3952,494.8071,475.5913,488.8021,244515.588,491.2041,500.812,483.9982,487.6011,456936.5593,490.0031,491.2041,477.9932,481.5962,279917.2986,479.1942,487.6011,473.1893,486.4001,272211.2683,464.7824,486.4001,464.7824,483.9982,310499.1442,1
464.7824,486.4001,464.7824,483.9982,310499.1442,480.3952,494.8071,475.5913,488.8021,244515.588,491.2041,500.812,483.9982,487.6011,456936.5593,490.0031,491.2041,477.9932,481.5962,279917.2986,440.7626,456.3754,438.3606,456.3754,410993.8942,1
440.7626,456.3754,438.3606,456.3754,410993.8942,464.7824,486.4001,464.7824,483.9982,310499.1442,480.3952,494.8071,475.5913,488.8021,244515.588,491.2041,500.812,483.9982,487.6011,456936.5593,461.1794,462.3804,426.3507,439.5616,306132.0232,1
461.1794,462.3804,426.3507,439.5616,306132.0232,440.7626,456.3754,438.3606,456.3754,410993.8942,464.7824,486.4001,464.7824,483.9982,310499.1442,480.3952,494.8071,475.5913,488.8021,244515.588,455.1745,473.1893,451.5715,465.9833,268806.8963,1
455.1745,473.1893,451.5715,465.9833,268806.8963,461.1794,462.3804,426.3507,439.5616,306132.0232,440.7626,456.3754,438.3606,456.3754,410993.8942,464.7824,486.4001,464.7824,483.9982,310499.1442,455.1745,462.3804,443.1646,452.7725,220299.7593,1
455.1745,462.3804,443.1646,452.7725,220299.7593,455.1745,473.1893,451.5715,465.9833,268806.8963,461.1794,462.3804,426.3507,439.5616,306132.0232,440.7626,456.3754,438.3606,456.3754,410993.8942,429.9537,459.9784,429.9537,455.1745,284730.9936,1
429.9537,459.9784,429.9537,455.1745,284730.9936,455.1745,462.3804,443.1646,452.7725,220299.7593,455.1745,473.1893,451.5715,465.9833,268806.8963,461.1794,462.3804,426.3507,439.5616,306132.0232,425.1498,431.1547,416.7428,427.5517,277386.6822,1
