@RELATION "B3 - RADL3"

@ATTRIBUTE cotacao1 NUMERIC
@ATTRIBUTE high1 NUMERIC
@ATTRIBUTE low1 NUMERIC
@ATTRIBUTE open1 NUMERIC
@ATTRIBUTE volume1 NUMERIC
@ATTRIBUTE cotacao2 NUMERIC
@ATTRIBUTE high2 NUMERIC
@ATTRIBUTE low2 NUMERIC
@ATTRIBUTE open2 NUMERIC
@ATTRIBUTE volume2 NUMERIC
@ATTRIBUTE cotacao3 NUMERIC
@ATTRIBUTE high3 NUMERIC
@ATTRIBUTE low3 NUMERIC
@ATTRIBUTE open3 NUMERIC
@ATTRIBUTE volume3 NUMERIC
@ATTRIBUTE cotacao4 NUMERIC
@ATTRIBUTE high4 NUMERIC
@ATTRIBUTE low4 NUMERIC
@ATTRIBUTE open4 NUMERIC
@ATTRIBUTE volume4 NUMERIC
@ATTRIBUTE cotacao NUMERIC
@ATTRIBUTE high NUMERIC
@ATTRIBUTE low NUMERIC
@ATTRIBUTE open NUMERIC
@ATTRIBUTE volume NUMERIC
@ATTRIBUTE alvo {1, 0}

@DATA
3.4135,3.4269,3.3462,3.375,85873226.4,3.3462,3.3923,3.3154,3.3923,82918461.6,3.3942,3.4231,3.3654,3.4173,92744537.6,3.4135,3.4423,3.3769,3.3769,121167243.6,3.5,3.525,3.4115,3.4212,103103369.2,1
3.5,3.525,3.4115,3.4212,103103369.2,3.4135,3.4269,3.3462,3.375,85873226.4,3.3462,3.3923,3.3154,3.3923,82918461.6,3.3942,3.4231,3.3654,3.4173,92744537.6,3.475,3.5327,3.4365,3.525,68645501.6,1
3.475,3.5327,3.4365,3.525,68645501.6,3.5,3.525,3.4115,3.4212,103103369.2,3.4135,3.4269,3.3462,3.375,85873226.4,3.3462,3.3923,3.3154,3.3923,82918461.6,3.4423,3.5,3.4135,3.4615,97265017.2,1
3.4423,3.5,3.4135,3.4615,97265017.2,3.475,3.5327,3.4365,3.525,68645501.6,3.5,3.525,3.4115,3.4212,103103369.2,3.4135,3.4269,3.3462,3.375,85873226.4,3.4615,3.4808,3.4327,3.4596,50936927.6,1
3.4615,3.4808,3.4327,3.4596,50936927.6,3.4423,3.5,3.4135,3.4615,97265017.2,3.475,3.5327,3.4365,3.525,68645501.6,3.5,3.525,3.4115,3.4212,103103369.2,3.3846,3.4596,3.3846,3.4596,25768080.0,1
3.3846,3.4596,3.3846,3.4596,25768080.0,3.4615,3.4808,3.4327,3.4596,50936927.6,3.4423,3.5,3.4135,3.4615,97265017.2,3.475,3.5327,3.4365,3.525,68645501.6,3.375,3.4231,3.375,3.3885,55012646.0,1
3.375,3.4231,3.375,3.3885,55012646.0,3.3846,3.4596,3.3846,3.4596,25768080.0,3.4615,3.4808,3.4327,3.4596,50936927.6,3.4423,3.5,3.4135,3.4615,97265017.2,3.3654,3.4154,3.3654,3.4154,52827803.6,1
3.3654,3.4154,3.3654,3.4154,52827803.6,3.375,3.4231,3.375,3.3885,55012646.0,3.3846,3.4596,3.3846,3.4596,25768080.0,3.4615,3.4808,3.4327,3.4596,50936927.6,3.5,3.5558,3.3712,3.3942,257668309.6,1
3.5,3.5558,3.3712,3.3942,257668309.6,3.3654,3.4154,3.3654,3.4154,52827803.6,3.375,3.4231,3.375,3.3885,55012646.0,3.3846,3.4596,3.3846,3.4596,25768080.0,3.5769,3.5769,3.4769,3.5269,169306373.6,1
3.5769,3.5769,3.4769,3.5269,169306373.6,3.5,3.5558,3.3712,3.3942,257668309.6,3.3654,3.4154,3.3654,3.4154,52827803.6,3.375,3.4231,3.375,3.3885,55012646.0,3.6346,3.6481,3.5577,3.5673,162263935.6,1
3.6346,3.6481,3.5577,3.5673,162263935.6,3.5769,3.5769,3.4769,3.5269,169306373.6,3.5,3.5558,3.3712,3.3942,257668309.6,3.3654,3.4154,3.3654,3.4154,52827803.6,3.5577,3.7288,3.5577,3.6404,189952968.4,1
3.5577,3.7288,3.5577,3.6404,189952968.4,3.6346,3.6481,3.5577,3.5673,162263935.6,3.5769,3.5769,3.4769,3.5269,169306373.6,3.5,3.5558,3.3712,3.3942,257668309.6,3.7442,3.7442,3.5288,3.5365,190345365.6,1
3.7442,3.7442,3.5288,3.5365,190345365.6,3.5577,3.7288,3.5577,3.6404,189952968.4,3.6346,3.6481,3.5577,3.5673,162263935.6,3.5769,3.5769,3.4769,3.5269,169306373.6,3.8462,3.8462,3.6808,3.7442,313130287.6,1
3.8462,3.8462,3.6808,3.7442,313130287.6,3.7442,3.7442,3.5288,3.5365,190345365.6,3.5577,3.7288,3.5577,3.6404,189952968.4,3.6346,3.6481,3.5577,3.5673,162263935.6,3.9038,3.9038,3.7558,3.8558,100276363.2,1
3.9038,3.9038,3.7558,3.8558,100276363.2,3.8462,3.8462,3.6808,3.7442,313130287.6,3.7442,3.7442,3.5288,3.5365,190345365.6,3.5577,3.7288,3.5577,3.6404,189952968.4,3.8942,3.9038,3.7712,3.8808,303885129.6,1
3.8942,3.9038,3.7712,3.8808,303885129.6,3.9038,3.9038,3.7558,3.8558,100276363.2,3.8462,3.8462,3.6808,3.7442,313130287.6,3.7442,3.7442,3.5288,3.5365,190345365.6,3.8462,3.8846,3.7981,3.8673,144764172.8,1
3.8462,3.8846,3.7981,3.8673,144764172.8,3.8942,3.9038,3.7712,3.8808,303885129.6,3.9038,3.9038,3.7558,3.8558,100276363.2,3.8462,3.8462,3.6808,3.7442,313130287.6,3.8654,3.875,3.8135,3.8288,95207060.0,1
3.8654,3.875,3.8135,3.8288,95207060.0,3.8462,3.8846,3.7981,3.8673,144764172.8,3.8942,3.9038,3.7712,3.8808,303885129.6,3.9038,3.9038,3.7558,3.8558,100276363.2,3.8846,3.8846,3.8269,3.8538,166741140.8,1
