@RELATION "B3 - DTEX3"

@ATTRIBUTE pl1 NUMERIC
@ATTRIBUTE pvpa1 NUMERIC
@ATTRIBUTE psr1 NUMERIC
@ATTRIBUTE roe1 NUMERIC
@ATTRIBUTE ev_ebit1 NUMERIC
@ATTRIBUTE pl2 NUMERIC
@ATTRIBUTE pvpa2 NUMERIC
@ATTRIBUTE psr2 NUMERIC
@ATTRIBUTE roe2 NUMERIC
@ATTRIBUTE ev_ebit2 NUMERIC
@ATTRIBUTE pl3 NUMERIC
@ATTRIBUTE pvpa3 NUMERIC
@ATTRIBUTE psr3 NUMERIC
@ATTRIBUTE roe3 NUMERIC
@ATTRIBUTE ev_ebit3 NUMERIC
@ATTRIBUTE pl4 NUMERIC
@ATTRIBUTE pvpa4 NUMERIC
@ATTRIBUTE psr4 NUMERIC
@ATTRIBUTE roe4 NUMERIC
@ATTRIBUTE ev_ebit4 NUMERIC
@ATTRIBUTE pl5 NUMERIC
@ATTRIBUTE pvpa5 NUMERIC
@ATTRIBUTE psr5 NUMERIC
@ATTRIBUTE roe5 NUMERIC
@ATTRIBUTE ev_ebit5 NUMERIC
@ATTRIBUTE pl NUMERIC
@ATTRIBUTE pvpa NUMERIC
@ATTRIBUTE psr NUMERIC
@ATTRIBUTE roe NUMERIC
@ATTRIBUTE ev_ebit NUMERIC
@ATTRIBUTE cotacao NUMERIC
@ATTRIBUTE alvo {1, 0}

@DATA
14.5277,1.4736,1.9214,0.1014,10.3222,14.2431,1.4447,1.8838,0.1014,10.12,14.5427,1.4751,1.9234,0.1014,10.3329,14.6176,1.4827,1.9333,0.1014,10.3861,15.1418,1.5359,2.0026,0.1014,10.7585,14.3929,1.4599,1.9036,0.1014,10.2264,6.5638,1
14.3929,1.4599,1.9036,0.1014,10.2264,14.5277,1.4736,1.9214,0.1014,10.3222,14.2431,1.4447,1.8838,0.1014,10.12,14.5427,1.4751,1.9234,0.1014,10.3329,14.6176,1.4827,1.9333,0.1014,10.3861,14.333,1.4539,1.8957,0.1014,10.1839,6.5364,1
14.333,1.4539,1.8957,0.1014,10.1839,14.3929,1.4599,1.9036,0.1014,10.2264,14.5277,1.4736,1.9214,0.1014,10.3222,14.2431,1.4447,1.8838,0.1014,10.12,14.5427,1.4751,1.9234,0.1014,10.3329,14.318,1.4523,1.8937,0.1014,10.1732,6.5296,1
14.318,1.4523,1.8937,0.1014,10.1732,14.333,1.4539,1.8957,0.1014,10.1839,14.3929,1.4599,1.9036,0.1014,10.2264,14.5277,1.4736,1.9214,0.1014,10.3222,14.2431,1.4447,1.8838,0.1014,10.12,14.4378,1.4645,1.9095,0.1014,10.2584,6.5842,1
14.4378,1.4645,1.9095,0.1014,10.2584,14.318,1.4523,1.8937,0.1014,10.1732,14.333,1.4539,1.8957,0.1014,10.1839,14.3929,1.4599,1.9036,0.1014,10.2264,14.5277,1.4736,1.9214,0.1014,10.3222,14.303,1.4508,1.8917,0.1014,10.1626,6.5228,1
14.303,1.4508,1.8917,0.1014,10.1626,14.4378,1.4645,1.9095,0.1014,10.2584,14.318,1.4523,1.8937,0.1014,10.1732,14.333,1.4539,1.8957,0.1014,10.1839,14.3929,1.4599,1.9036,0.1014,10.2264,14.4528,1.466,1.9115,0.1014,10.269,6.5911,1
14.4528,1.466,1.9115,0.1014,10.269,14.303,1.4508,1.8917,0.1014,10.1626,14.4378,1.4645,1.9095,0.1014,10.2584,14.318,1.4523,1.8937,0.1014,10.1732,14.333,1.4539,1.8957,0.1014,10.1839,14.977,1.5192,1.9808,0.1014,10.6415,6.8301,1
14.977,1.5192,1.9808,0.1014,10.6415,14.4528,1.466,1.9115,0.1014,10.269,14.303,1.4508,1.8917,0.1014,10.1626,14.4378,1.4645,1.9095,0.1014,10.2584,14.318,1.4523,1.8937,0.1014,10.1732,15.2166,1.5435,2.0125,0.1014,10.8117,6.9394,1
15.2166,1.5435,2.0125,0.1014,10.8117,14.977,1.5192,1.9808,0.1014,10.6415,14.4528,1.466,1.9115,0.1014,10.269,14.303,1.4508,1.8917,0.1014,10.1626,14.4378,1.4645,1.9095,0.1014,10.2584,15.007,1.5222,1.9848,0.1014,10.6627,6.8438,1
15.007,1.5222,1.9848,0.1014,10.6627,15.2166,1.5435,2.0125,0.1014,10.8117,14.977,1.5192,1.9808,0.1014,10.6415,14.4528,1.466,1.9115,0.1014,10.269,14.303,1.4508,1.8917,0.1014,10.1626,16.1752,1.6407,2.1393,0.1014,11.4928,7.3765,1
