@RELATION "B3 - FHER3"

@ATTRIBUTE pl1 NUMERIC
@ATTRIBUTE pvpa1 NUMERIC
@ATTRIBUTE psr1 NUMERIC
@ATTRIBUTE roe1 NUMERIC
@ATTRIBUTE ev_ebit1 NUMERIC
@ATTRIBUTE pl2 NUMERIC
@ATTRIBUTE pvpa2 NUMERIC
@ATTRIBUTE psr2 NUMERIC
@ATTRIBUTE roe2 NUMERIC
@ATTRIBUTE ev_ebit2 NUMERIC
@ATTRIBUTE pl3 NUMERIC
@ATTRIBUTE pvpa3 NUMERIC
@ATTRIBUTE psr3 NUMERIC
@ATTRIBUTE roe3 NUMERIC
@ATTRIBUTE ev_ebit3 NUMERIC
@ATTRIBUTE pl4 NUMERIC
@ATTRIBUTE pvpa4 NUMERIC
@ATTRIBUTE psr4 NUMERIC
@ATTRIBUTE roe4 NUMERIC
@ATTRIBUTE ev_ebit4 NUMERIC
@ATTRIBUTE pl5 NUMERIC
@ATTRIBUTE pvpa5 NUMERIC
@ATTRIBUTE psr5 NUMERIC
@ATTRIBUTE roe5 NUMERIC
@ATTRIBUTE ev_ebit5 NUMERIC
@ATTRIBUTE pl NUMERIC
@ATTRIBUTE pvpa NUMERIC
@ATTRIBUTE psr NUMERIC
@ATTRIBUTE roe NUMERIC
@ATTRIBUTE ev_ebit NUMERIC
@ATTRIBUTE cotacao NUMERIC
@ATTRIBUTE alvo {1, 0}

@DATA
10.1156,1.3646,0.1374,0.1349,2.1108,10.2336,1.3805,0.139,0.1349,2.1354,10.1746,1.3726,0.1382,0.1349,2.1231,10.1156,1.3646,0.1374,0.1349,2.1108,10.006,1.3498,0.1359,0.1349,2.0879,10.1915,1.3748,0.1384,0.1349,2.1266,12.09,0
10.1915,1.3748,0.1384,0.1349,2.1266,10.1156,1.3646,0.1374,0.1349,2.1108,10.2336,1.3805,0.139,0.1349,2.1354,10.1746,1.3726,0.1382,0.1349,2.1231,10.1156,1.3646,0.1374,0.1349,2.1108,10.1915,1.3748,0.1384,0.1349,2.1266,12.09,0
10.1915,1.3748,0.1384,0.1349,2.1266,10.1915,1.3748,0.1384,0.1349,2.1266,10.1156,1.3646,0.1374,0.1349,2.1108,10.2336,1.3805,0.139,0.1349,2.1354,10.1746,1.3726,0.1382,0.1349,2.1231,10.1493,1.3691,0.1378,0.1349,2.1178,12.04,0
10.1493,1.3691,0.1378,0.1349,2.1178,10.1915,1.3748,0.1384,0.1349,2.1266,10.1915,1.3748,0.1384,0.1349,2.1266,10.1156,1.3646,0.1374,0.1349,2.1108,10.2336,1.3805,0.139,0.1349,2.1354,10.1493,1.3691,0.1378,0.1349,2.1178,12.04,0
10.1493,1.3691,0.1378,0.1349,2.1178,10.1493,1.3691,0.1378,0.1349,2.1178,10.1915,1.3748,0.1384,0.1349,2.1266,10.1915,1.3748,0.1384,0.1349,2.1266,10.1156,1.3646,0.1374,0.1349,2.1108,10.2084,1.3771,0.1387,0.1349,2.1301,12.11,0
10.2084,1.3771,0.1387,0.1349,2.1301,10.1493,1.3691,0.1378,0.1349,2.1178,10.1493,1.3691,0.1378,0.1349,2.1178,10.1915,1.3748,0.1384,0.1349,2.1266,10.1915,1.3748,0.1384,0.1349,2.1266,10.3685,1.3987,0.1408,0.1349,2.1636,12.3,0
10.3685,1.3987,0.1408,0.1349,2.1636,10.2084,1.3771,0.1387,0.1349,2.1301,10.1493,1.3691,0.1378,0.1349,2.1178,10.1493,1.3691,0.1378,0.1349,2.1178,10.1915,1.3748,0.1384,0.1349,2.1266,10.5793,1.4271,0.1437,0.1349,2.2075,12.55,0
10.5793,1.4271,0.1437,0.1349,2.2075,10.3685,1.3987,0.1408,0.1349,2.1636,10.2084,1.3771,0.1387,0.1349,2.1301,10.1493,1.3691,0.1378,0.1349,2.1178,10.1493,1.3691,0.1378,0.1349,2.1178,10.6045,1.4305,0.144,0.1349,2.2128,12.58,0
10.6045,1.4305,0.144,0.1349,2.2128,10.5793,1.4271,0.1437,0.1349,2.2075,10.3685,1.3987,0.1408,0.1349,2.1636,10.2084,1.3771,0.1387,0.1349,2.1301,10.1493,1.3691,0.1378,0.1349,2.1178,10.495,1.4158,0.1425,0.1349,2.1899,12.45,0
10.495,1.4158,0.1425,0.1349,2.1899,10.6045,1.4305,0.144,0.1349,2.2128,10.5793,1.4271,0.1437,0.1349,2.2075,10.3685,1.3987,0.1408,0.1349,2.1636,10.2084,1.3771,0.1387,0.1349,2.1301,10.6214,1.4328,0.1443,0.1349,2.2163,12.6,0
