@RELATION "B3 - ELET6"

@ATTRIBUTE pl1 NUMERIC
@ATTRIBUTE pvpa1 NUMERIC
@ATTRIBUTE psr1 NUMERIC
@ATTRIBUTE roe1 NUMERIC
@ATTRIBUTE ev_ebit1 NUMERIC
@ATTRIBUTE pl2 NUMERIC
@ATTRIBUTE pvpa2 NUMERIC
@ATTRIBUTE psr2 NUMERIC
@ATTRIBUTE roe2 NUMERIC
@ATTRIBUTE ev_ebit2 NUMERIC
@ATTRIBUTE pl3 NUMERIC
@ATTRIBUTE pvpa3 NUMERIC
@ATTRIBUTE psr3 NUMERIC
@ATTRIBUTE roe3 NUMERIC
@ATTRIBUTE ev_ebit3 NUMERIC
@ATTRIBUTE pl4 NUMERIC
@ATTRIBUTE pvpa4 NUMERIC
@ATTRIBUTE psr4 NUMERIC
@ATTRIBUTE roe4 NUMERIC
@ATTRIBUTE ev_ebit4 NUMERIC
@ATTRIBUTE pl5 NUMERIC
@ATTRIBUTE pvpa5 NUMERIC
@ATTRIBUTE psr5 NUMERIC
@ATTRIBUTE roe5 NUMERIC
@ATTRIBUTE ev_ebit5 NUMERIC
@ATTRIBUTE pl NUMERIC
@ATTRIBUTE pvpa NUMERIC
@ATTRIBUTE psr NUMERIC
@ATTRIBUTE roe NUMERIC
@ATTRIBUTE ev_ebit NUMERIC
@ATTRIBUTE cotacao NUMERIC
@ATTRIBUTE alvo {1, 0}

@DATA
14.136,0.6866,20.0438,0.0486,64.7554,13.8949,0.6749,19.702,0.0486,63.6511,13.6909,0.665,19.4128,0.0486,62.7167,13.6477,0.6629,19.3515,0.0486,62.5185,13.6477,0.6629,19.3515,0.0486,62.5185,14.0185,0.6809,19.8773,0.0486,64.2174,22.68,0
14.0185,0.6809,19.8773,0.0486,64.2174,14.136,0.6866,20.0438,0.0486,64.7554,13.8949,0.6749,19.702,0.0486,63.6511,13.6909,0.665,19.4128,0.0486,62.7167,13.6477,0.6629,19.3515,0.0486,62.5185,13.7095,0.6659,19.4391,0.0486,62.8016,22.18,0
13.7095,0.6659,19.4391,0.0486,62.8016,14.0185,0.6809,19.8773,0.0486,64.2174,14.136,0.6866,20.0438,0.0486,64.7554,13.8949,0.6749,19.702,0.0486,63.6511,13.6909,0.665,19.4128,0.0486,62.7167,14.0618,0.683,19.9387,0.0486,64.4156,22.75,0
14.0618,0.683,19.9387,0.0486,64.4156,13.7095,0.6659,19.4391,0.0486,62.8016,14.0185,0.6809,19.8773,0.0486,64.2174,14.136,0.6866,20.0438,0.0486,64.7554,13.8949,0.6749,19.702,0.0486,63.6511,14.1607,0.6878,20.0789,0.0486,64.8686,22.91,0
14.1607,0.6878,20.0789,0.0486,64.8686,14.0618,0.683,19.9387,0.0486,64.4156,13.7095,0.6659,19.4391,0.0486,62.8016,14.0185,0.6809,19.8773,0.0486,64.2174,14.136,0.6866,20.0438,0.0486,64.7554,14.2287,0.6911,20.1753,0.0486,65.1801,23.02,0
14.2287,0.6911,20.1753,0.0486,65.1801,14.1607,0.6878,20.0789,0.0486,64.8686,14.0618,0.683,19.9387,0.0486,64.4156,13.7095,0.6659,19.4391,0.0486,62.8016,14.0185,0.6809,19.8773,0.0486,64.2174,13.8516,0.6728,19.6407,0.0486,63.4529,22.41,0
13.8516,0.6728,19.6407,0.0486,63.4529,14.2287,0.6911,20.1753,0.0486,65.1801,14.1607,0.6878,20.0789,0.0486,64.8686,14.0618,0.683,19.9387,0.0486,64.4156,13.7095,0.6659,19.4391,0.0486,62.8016,13.7775,0.6692,19.5355,0.0486,63.1131,22.29,0
13.7775,0.6692,19.5355,0.0486,63.1131,13.8516,0.6728,19.6407,0.0486,63.4529,14.2287,0.6911,20.1753,0.0486,65.1801,14.1607,0.6878,20.0789,0.0486,64.8686,14.0618,0.683,19.9387,0.0486,64.4156,13.7527,0.668,19.5005,0.0486,62.9999,22.25,0
13.7527,0.668,19.5005,0.0486,62.9999,13.7775,0.6692,19.5355,0.0486,63.1131,13.8516,0.6728,19.6407,0.0486,63.4529,14.2287,0.6911,20.1753,0.0486,65.1801,14.1607,0.6878,20.0789,0.0486,64.8686,13.6168,0.6614,19.3076,0.0486,62.3769,22.03,0
13.6168,0.6614,19.3076,0.0486,62.3769,13.7527,0.668,19.5005,0.0486,62.9999,13.7775,0.6692,19.5355,0.0486,63.1131,13.8516,0.6728,19.6407,0.0486,63.4529,14.2287,0.6911,20.1753,0.0486,65.1801,13.5488,0.6581,19.2112,0.0486,62.0655,21.92,0
