@RELATION "B3 - ODPV3"

@ATTRIBUTE pl1 NUMERIC
@ATTRIBUTE pvpa1 NUMERIC
@ATTRIBUTE psr1 NUMERIC
@ATTRIBUTE roe1 NUMERIC
@ATTRIBUTE ev_ebit1 NUMERIC
@ATTRIBUTE pl2 NUMERIC
@ATTRIBUTE pvpa2 NUMERIC
@ATTRIBUTE psr2 NUMERIC
@ATTRIBUTE roe2 NUMERIC
@ATTRIBUTE ev_ebit2 NUMERIC
@ATTRIBUTE pl3 NUMERIC
@ATTRIBUTE pvpa3 NUMERIC
@ATTRIBUTE psr3 NUMERIC
@ATTRIBUTE roe3 NUMERIC
@ATTRIBUTE ev_ebit3 NUMERIC
@ATTRIBUTE pl4 NUMERIC
@ATTRIBUTE pvpa4 NUMERIC
@ATTRIBUTE psr4 NUMERIC
@ATTRIBUTE roe4 NUMERIC
@ATTRIBUTE ev_ebit4 NUMERIC
@ATTRIBUTE pl5 NUMERIC
@ATTRIBUTE pvpa5 NUMERIC
@ATTRIBUTE psr5 NUMERIC
@ATTRIBUTE roe5 NUMERIC
@ATTRIBUTE ev_ebit5 NUMERIC
@ATTRIBUTE pl NUMERIC
@ATTRIBUTE pvpa NUMERIC
@ATTRIBUTE psr NUMERIC
@ATTRIBUTE roe NUMERIC
@ATTRIBUTE ev_ebit NUMERIC
@ATTRIBUTE cotacao NUMERIC
@ATTRIBUTE alvo {1, 0}

@DATA
35.1682,6.7011,6.315,0.1905,28.8154,34.7063,6.6131,6.232,0.1905,28.4369,34.4101,6.5567,6.1788,0.1905,28.1943,34.9432,6.6583,6.2746,0.1905,28.631,35.5117,6.7666,6.3767,0.1905,29.0969,35.2985,6.726,6.3384,0.1905,28.9222,9.2838,1
35.2985,6.726,6.3384,0.1905,28.9222,35.1682,6.7011,6.315,0.1905,28.8154,34.7063,6.6131,6.232,0.1905,28.4369,34.4101,6.5567,6.1788,0.1905,28.1943,34.9432,6.6583,6.2746,0.1905,28.631,36.1277,6.884,6.4873,0.1905,29.6016,9.5019,1
36.1277,6.884,6.4873,0.1905,29.6016,35.2985,6.726,6.3384,0.1905,28.9222,35.1682,6.7011,6.315,0.1905,28.8154,34.7063,6.6131,6.232,0.1905,28.4369,34.4101,6.5567,6.1788,0.1905,28.1943,35.6657,6.7959,6.4043,0.1905,29.2231,9.3804,1
35.6657,6.7959,6.4043,0.1905,29.2231,36.1277,6.884,6.4873,0.1905,29.6016,35.2985,6.726,6.3384,0.1905,28.9222,35.1682,6.7011,6.315,0.1905,28.8154,34.7063,6.6131,6.232,0.1905,28.4369,36.2343,6.9043,6.5064,0.1905,29.6889,9.5299,1
36.2343,6.9043,6.5064,0.1905,29.6889,35.6657,6.7959,6.4043,0.1905,29.2231,36.1277,6.884,6.4873,0.1905,29.6016,35.2985,6.726,6.3384,0.1905,28.9222,35.1682,6.7011,6.315,0.1905,28.8154,35.5591,6.7756,6.3852,0.1905,29.1357,9.3523,1
35.5591,6.7756,6.3852,0.1905,29.1357,36.2343,6.9043,6.5064,0.1905,29.6889,35.6657,6.7959,6.4043,0.1905,29.2231,36.1277,6.884,6.4873,0.1905,29.6016,35.2985,6.726,6.3384,0.1905,28.9222,35.5354,6.7711,6.3809,0.1905,29.1163,9.3461,1
35.5354,6.7711,6.3809,0.1905,29.1163,35.5591,6.7756,6.3852,0.1905,29.1357,36.2343,6.9043,6.5064,0.1905,29.6889,35.6657,6.7959,6.4043,0.1905,29.2231,36.1277,6.884,6.4873,0.1905,29.6016,35.2748,6.7215,6.3341,0.1905,28.9028,9.2776,1
35.2748,6.7215,6.3341,0.1905,28.9028,35.5354,6.7711,6.3809,0.1905,29.1163,35.5591,6.7756,6.3852,0.1905,29.1357,36.2343,6.9043,6.5064,0.1905,29.6889,35.6657,6.7959,6.4043,0.1905,29.2231,35.0024,6.6695,6.2852,0.1905,28.6796,9.2059,1
35.0024,6.6695,6.2852,0.1905,28.6796,35.2748,6.7215,6.3341,0.1905,28.9028,35.5354,6.7711,6.3809,0.1905,29.1163,35.5591,6.7756,6.3852,0.1905,29.1357,36.2343,6.9043,6.5064,0.1905,29.6889,35.3459,6.735,6.3469,0.1905,28.961,9.2963,1
35.3459,6.735,6.3469,0.1905,28.961,35.0024,6.6695,6.2852,0.1905,28.6796,35.2748,6.7215,6.3341,0.1905,28.9028,35.5354,6.7711,6.3809,0.1905,29.1163,35.5591,6.7756,6.3852,0.1905,29.1357,35.417,6.7485,6.3596,0.1905,29.0192,9.315,1
35.417,6.7485,6.3596,0.1905,29.0192,35.3459,6.735,6.3469,0.1905,28.961,35.0024,6.6695,6.2852,0.1905,28.6796,35.2748,6.7215,6.3341,0.1905,28.9028,35.5354,6.7711,6.3809,0.1905,29.1163,35.8316,6.8275,6.4341,0.1905,29.3589,9.424,1
