@RELATION "B3 - CCRO3"

@ATTRIBUTE pl1 NUMERIC
@ATTRIBUTE pvpa1 NUMERIC
@ATTRIBUTE psr1 NUMERIC
@ATTRIBUTE roe1 NUMERIC
@ATTRIBUTE ev_ebit1 NUMERIC
@ATTRIBUTE pl2 NUMERIC
@ATTRIBUTE pvpa2 NUMERIC
@ATTRIBUTE psr2 NUMERIC
@ATTRIBUTE roe2 NUMERIC
@ATTRIBUTE ev_ebit2 NUMERIC
@ATTRIBUTE pl3 NUMERIC
@ATTRIBUTE pvpa3 NUMERIC
@ATTRIBUTE psr3 NUMERIC
@ATTRIBUTE roe3 NUMERIC
@ATTRIBUTE ev_ebit3 NUMERIC
@ATTRIBUTE pl4 NUMERIC
@ATTRIBUTE pvpa4 NUMERIC
@ATTRIBUTE psr4 NUMERIC
@ATTRIBUTE roe4 NUMERIC
@ATTRIBUTE ev_ebit4 NUMERIC
@ATTRIBUTE pl5 NUMERIC
@ATTRIBUTE pvpa5 NUMERIC
@ATTRIBUTE psr5 NUMERIC
@ATTRIBUTE roe5 NUMERIC
@ATTRIBUTE ev_ebit5 NUMERIC
@ATTRIBUTE pl NUMERIC
@ATTRIBUTE pvpa NUMERIC
@ATTRIBUTE psr NUMERIC
@ATTRIBUTE roe NUMERIC
@ATTRIBUTE ev_ebit NUMERIC
@ATTRIBUTE cotacao NUMERIC
@ATTRIBUTE alvo {1, 0}

@DATA
16.3563,4.4448,95.2743,0.2717,17.5871,16.345,4.4417,95.208,0.2717,17.5749,16.2198,4.4077,94.4792,0.2717,17.4403,16.4132,4.4602,95.6055,0.2717,17.6482,16.6521,4.5251,96.9969,0.2717,17.9051,16.3791,4.4509,95.4068,0.2717,17.6115,14.4,1
16.3791,4.4509,95.4068,0.2717,17.6115,16.3563,4.4448,95.2743,0.2717,17.5871,16.345,4.4417,95.208,0.2717,17.5749,16.2198,4.4077,94.4792,0.2717,17.4403,16.4132,4.4602,95.6055,0.2717,17.6482,16.4928,4.4818,96.0693,0.2717,17.7338,14.5,1
16.4928,4.4818,96.0693,0.2717,17.7338,16.3791,4.4509,95.4068,0.2717,17.6115,16.3563,4.4448,95.2743,0.2717,17.5871,16.345,4.4417,95.208,0.2717,17.5749,16.2198,4.4077,94.4792,0.2717,17.4403,16.6066,4.5128,96.7319,0.2717,17.8561,14.6,1
16.6066,4.5128,96.7319,0.2717,17.8561,16.4928,4.4818,96.0693,0.2717,17.7338,16.3791,4.4509,95.4068,0.2717,17.6115,16.3563,4.4448,95.2743,0.2717,17.5871,16.345,4.4417,95.208,0.2717,17.5749,16.5497,4.4973,96.4006,0.2717,17.795,14.55,1
16.5497,4.4973,96.4006,0.2717,17.795,16.6066,4.5128,96.7319,0.2717,17.8561,16.4928,4.4818,96.0693,0.2717,17.7338,16.3791,4.4509,95.4068,0.2717,17.6115,16.3563,4.4448,95.2743,0.2717,17.5871,16.9478,4.6055,98.7195,0.2717,18.2231,14.9,1
16.9478,4.6055,98.7195,0.2717,18.2231,16.5497,4.4973,96.4006,0.2717,17.795,16.6066,4.5128,96.7319,0.2717,17.8561,16.4928,4.4818,96.0693,0.2717,17.7338,16.3791,4.4509,95.4068,0.2717,17.6115,16.8682,4.5838,98.2557,0.2717,18.1374,14.83,1
16.8682,4.5838,98.2557,0.2717,18.1374,16.9478,4.6055,98.7195,0.2717,18.2231,16.5497,4.4973,96.4006,0.2717,17.795,16.6066,4.5128,96.7319,0.2717,17.8561,16.4928,4.4818,96.0693,0.2717,17.7338,16.8341,4.5746,98.057,0.2717,18.1008,14.8,1
16.8341,4.5746,98.057,0.2717,18.1008,16.8682,4.5838,98.2557,0.2717,18.1374,16.9478,4.6055,98.7195,0.2717,18.2231,16.5497,4.4973,96.4006,0.2717,17.795,16.6066,4.5128,96.7319,0.2717,17.8561,17.2322,4.6828,100.3759,0.2717,18.5288,15.15,1
17.2322,4.6828,100.3759,0.2717,18.5288,16.8341,4.5746,98.057,0.2717,18.1008,16.8682,4.5838,98.2557,0.2717,18.1374,16.9478,4.6055,98.7195,0.2717,18.2231,16.5497,4.4973,96.4006,0.2717,17.795,17.6303,4.7909,102.6948,0.2717,18.9569,15.5,1
17.6303,4.7909,102.6948,0.2717,18.9569,17.2322,4.6828,100.3759,0.2717,18.5288,16.8341,4.5746,98.057,0.2717,18.1008,16.8682,4.5838,98.2557,0.2717,18.1374,16.9478,4.6055,98.7195,0.2717,18.2231,17.0615,4.6364,99.3821,0.2717,18.3454,15.0,1
17.0615,4.6364,99.3821,0.2717,18.3454,17.6303,4.7909,102.6948,0.2717,18.9569,17.2322,4.6828,100.3759,0.2717,18.5288,16.8341,4.5746,98.057,0.2717,18.1008,16.8682,4.5838,98.2557,0.2717,18.1374,16.8682,4.5838,98.2557,0.2717,18.1374,14.83,1
16.8682,4.5838,98.2557,0.2717,18.1374,17.0615,4.6364,99.3821,0.2717,18.3454,17.6303,4.7909,102.6948,0.2717,18.9569,17.2322,4.6828,100.3759,0.2717,18.5288,16.8341,4.5746,98.057,0.2717,18.1008,16.8113,4.5684,97.9245,0.2717,18.0763,14.78,1
16.8113,4.5684,97.9245,0.2717,18.0763,16.8682,4.5838,98.2557,0.2717,18.1374,17.0615,4.6364,99.3821,0.2717,18.3454,17.6303,4.7909,102.6948,0.2717,18.9569,17.2322,4.6828,100.3759,0.2717,18.5288,17.4141,4.7322,101.436,0.2717,18.7245,15.31,1
17.4141,4.7322,101.436,0.2717,18.7245,16.8113,4.5684,97.9245,0.2717,18.0763,16.8682,4.5838,98.2557,0.2717,18.1374,17.0615,4.6364,99.3821,0.2717,18.3454,17.6303,4.7909,102.6948,0.2717,18.9569,17.6189,4.7879,102.6285,0.2717,18.9446,15.49,1
17.6189,4.7879,102.6285,0.2717,18.9446,17.4141,4.7322,101.436,0.2717,18.7245,16.8113,4.5684,97.9245,0.2717,18.0763,16.8682,4.5838,98.2557,0.2717,18.1374,17.0615,4.6364,99.3821,0.2717,18.3454,17.6303,4.7909,102.6948,0.2717,18.9569,15.5,1
17.6303,4.7909,102.6948,0.2717,18.9569,17.6189,4.7879,102.6285,0.2717,18.9446,17.4141,4.7322,101.436,0.2717,18.7245,16.8113,4.5684,97.9245,0.2717,18.0763,16.8682,4.5838,98.2557,0.2717,18.1374,17.8009,4.8373,103.6886,0.2717,19.1403,15.65,1
17.8009,4.8373,103.6886,0.2717,19.1403,17.6303,4.7909,102.6948,0.2717,18.9569,17.6189,4.7879,102.6285,0.2717,18.9446,17.4141,4.7322,101.436,0.2717,18.7245,16.8113,4.5684,97.9245,0.2717,18.0763,17.3345,4.7106,100.9722,0.2717,18.6389,15.24,1
17.3345,4.7106,100.9722,0.2717,18.6389,17.8009,4.8373,103.6886,0.2717,19.1403,17.6303,4.7909,102.6948,0.2717,18.9569,17.6189,4.7879,102.6285,0.2717,18.9446,17.4141,4.7322,101.436,0.2717,18.7245,17.0615,4.6364,99.3821,0.2717,18.3454,15.0,1
17.0615,4.6364,99.3821,0.2717,18.3454,17.3345,4.7106,100.9722,0.2717,18.6389,17.8009,4.8373,103.6886,0.2717,19.1403,17.6303,4.7909,102.6948,0.2717,18.9569,17.6189,4.7879,102.6285,0.2717,18.9446,17.0274,4.6271,99.1833,0.2717,18.3087,14.97,1
17.0274,4.6271,99.1833,0.2717,18.3087,17.0615,4.6364,99.3821,0.2717,18.3454,17.3345,4.7106,100.9722,0.2717,18.6389,17.8009,4.8373,103.6886,0.2717,19.1403,17.6303,4.7909,102.6948,0.2717,18.9569,17.1753,4.6673,100.0446,0.2717,18.4677,15.1,1
17.1753,4.6673,100.0446,0.2717,18.4677,17.0274,4.6271,99.1833,0.2717,18.3087,17.0615,4.6364,99.3821,0.2717,18.3454,17.3345,4.7106,100.9722,0.2717,18.6389,17.8009,4.8373,103.6886,0.2717,19.1403,17.1412,4.658,99.8458,0.2717,18.431,15.07,1
17.1412,4.658,99.8458,0.2717,18.431,17.1753,4.6673,100.0446,0.2717,18.4677,17.0274,4.6271,99.1833,0.2717,18.3087,17.0615,4.6364,99.3821,0.2717,18.3454,17.3345,4.7106,100.9722,0.2717,18.6389,17.3459,4.7137,101.0384,0.2717,18.6511,15.25,1
17.3459,4.7137,101.0384,0.2717,18.6511,17.1412,4.658,99.8458,0.2717,18.431,17.1753,4.6673,100.0446,0.2717,18.4677,17.0274,4.6271,99.1833,0.2717,18.3087,17.0615,4.6364,99.3821,0.2717,18.3454,17.5961,4.7817,102.496,0.2717,18.9202,15.47,1
17.5961,4.7817,102.496,0.2717,18.9202,17.3459,4.7137,101.0384,0.2717,18.6511,17.1412,4.658,99.8458,0.2717,18.431,17.1753,4.6673,100.0446,0.2717,18.4677,17.0274,4.6271,99.1833,0.2717,18.3087,17.3004,4.7013,100.7734,0.2717,18.6022,15.21,1
17.3004,4.7013,100.7734,0.2717,18.6022,17.5961,4.7817,102.496,0.2717,18.9202,17.3459,4.7137,101.0384,0.2717,18.6511,17.1412,4.658,99.8458,0.2717,18.431,17.1753,4.6673,100.0446,0.2717,18.4677,17.289,4.6982,100.7072,0.2717,18.59,15.2,1
17.289,4.6982,100.7072,0.2717,18.59,17.3004,4.7013,100.7734,0.2717,18.6022,17.5961,4.7817,102.496,0.2717,18.9202,17.3459,4.7137,101.0384,0.2717,18.6511,17.1412,4.658,99.8458,0.2717,18.431,17.1184,4.6518,99.7133,0.2717,18.4065,15.05,1
17.1184,4.6518,99.7133,0.2717,18.4065,17.289,4.6982,100.7072,0.2717,18.59,17.3004,4.7013,100.7734,0.2717,18.6022,17.5961,4.7817,102.496,0.2717,18.9202,17.3459,4.7137,101.0384,0.2717,18.6511,17.0047,4.6209,99.0508,0.2717,18.2842,14.95,1
17.0047,4.6209,99.0508,0.2717,18.2842,17.1184,4.6518,99.7133,0.2717,18.4065,17.289,4.6982,100.7072,0.2717,18.59,17.3004,4.7013,100.7734,0.2717,18.6022,17.5961,4.7817,102.496,0.2717,18.9202,17.0047,4.6209,99.0508,0.2717,18.2842,14.95,1
17.0047,4.6209,99.0508,0.2717,18.2842,17.0047,4.6209,99.0508,0.2717,18.2842,17.1184,4.6518,99.7133,0.2717,18.4065,17.289,4.6982,100.7072,0.2717,18.59,17.3004,4.7013,100.7734,0.2717,18.6022,17.0047,4.6209,99.0508,0.2717,18.2842,14.95,1
17.0047,4.6209,99.0508,0.2717,18.2842,17.0047,4.6209,99.0508,0.2717,18.2842,17.0047,4.6209,99.0508,0.2717,18.2842,17.1184,4.6518,99.7133,0.2717,18.4065,17.289,4.6982,100.7072,0.2717,18.59,17.0502,4.6333,99.3158,0.2717,18.3331,14.99,1
17.0502,4.6333,99.3158,0.2717,18.3331,17.0047,4.6209,99.0508,0.2717,18.2842,17.0047,4.6209,99.0508,0.2717,18.2842,17.0047,4.6209,99.0508,0.2717,18.2842,17.1184,4.6518,99.7133,0.2717,18.4065,16.9933,4.6178,98.9845,0.2717,18.272,14.94,1
16.9933,4.6178,98.9845,0.2717,18.272,17.0502,4.6333,99.3158,0.2717,18.3331,17.0047,4.6209,99.0508,0.2717,18.2842,17.0047,4.6209,99.0508,0.2717,18.2842,17.0047,4.6209,99.0508,0.2717,18.2842,16.8341,4.5746,98.057,0.2717,18.1008,14.8,1
16.8341,4.5746,98.057,0.2717,18.1008,16.9933,4.6178,98.9845,0.2717,18.272,17.0502,4.6333,99.3158,0.2717,18.3331,17.0047,4.6209,99.0508,0.2717,18.2842,17.0047,4.6209,99.0508,0.2717,18.2842,17.6644,4.8002,102.8936,0.2717,18.9936,15.53,1
17.6644,4.8002,102.8936,0.2717,18.9936,16.8341,4.5746,98.057,0.2717,18.1008,16.9933,4.6178,98.9845,0.2717,18.272,17.0502,4.6333,99.3158,0.2717,18.3331,17.0047,4.6209,99.0508,0.2717,18.2842,17.4141,4.7322,101.436,0.2717,18.7245,15.31,1
17.4141,4.7322,101.436,0.2717,18.7245,17.6644,4.8002,102.8936,0.2717,18.9936,16.8341,4.5746,98.057,0.2717,18.1008,16.9933,4.6178,98.9845,0.2717,18.272,17.0502,4.6333,99.3158,0.2717,18.3331,18.0852,4.9146,105.345,0.2717,19.4461,15.9,1
18.0852,4.9146,105.345,0.2717,19.4461,17.4141,4.7322,101.436,0.2717,18.7245,17.6644,4.8002,102.8936,0.2717,18.9936,16.8341,4.5746,98.057,0.2717,18.1008,16.9933,4.6178,98.9845,0.2717,18.272,18.4265,5.0073,107.3326,0.2717,19.813,16.2,1
18.4265,5.0073,107.3326,0.2717,19.813,18.0852,4.9146,105.345,0.2717,19.4461,17.4141,4.7322,101.436,0.2717,18.7245,17.6644,4.8002,102.8936,0.2717,18.9936,16.8341,4.5746,98.057,0.2717,18.1008,18.0284,4.8991,105.0137,0.2717,19.3849,15.85,1
18.0284,4.8991,105.0137,0.2717,19.3849,18.4265,5.0073,107.3326,0.2717,19.813,18.0852,4.9146,105.345,0.2717,19.4461,17.4141,4.7322,101.436,0.2717,18.7245,17.6644,4.8002,102.8936,0.2717,18.9936,17.6303,4.7909,102.6948,0.2717,18.9569,15.5,1
17.6303,4.7909,102.6948,0.2717,18.9569,18.0284,4.8991,105.0137,0.2717,19.3849,18.4265,5.0073,107.3326,0.2717,19.813,18.0852,4.9146,105.345,0.2717,19.4461,17.4141,4.7322,101.436,0.2717,18.7245,17.9487,4.8775,104.5499,0.2717,19.2993,15.78,1
17.9487,4.8775,104.5499,0.2717,19.2993,17.6303,4.7909,102.6948,0.2717,18.9569,18.0284,4.8991,105.0137,0.2717,19.3849,18.4265,5.0073,107.3326,0.2717,19.813,18.0852,4.9146,105.345,0.2717,19.4461,17.8009,4.8373,103.6886,0.2717,19.1403,15.65,1
17.8009,4.8373,103.6886,0.2717,19.1403,17.9487,4.8775,104.5499,0.2717,19.2993,17.6303,4.7909,102.6948,0.2717,18.9569,18.0284,4.8991,105.0137,0.2717,19.3849,18.4265,5.0073,107.3326,0.2717,19.813,17.5165,4.76,102.0322,0.2717,18.8346,15.4,1
17.5165,4.76,102.0322,0.2717,18.8346,17.8009,4.8373,103.6886,0.2717,19.1403,17.9487,4.8775,104.5499,0.2717,19.2993,17.6303,4.7909,102.6948,0.2717,18.9569,18.0284,4.8991,105.0137,0.2717,19.3849,17.3686,4.7199,101.1709,0.2717,18.6756,15.27,1
17.3686,4.7199,101.1709,0.2717,18.6756,17.5165,4.76,102.0322,0.2717,18.8346,17.8009,4.8373,103.6886,0.2717,19.1403,17.9487,4.8775,104.5499,0.2717,19.2993,17.6303,4.7909,102.6948,0.2717,18.9569,15.4321,4.3487,103.7044,0.2818,16.7853,15.3,1
15.4321,4.3487,103.7044,0.2818,16.7853,17.3686,4.7199,101.1709,0.2717,18.6756,17.5165,4.76,102.0322,0.2717,18.8346,17.8009,4.8373,103.6886,0.2717,19.1403,17.9487,4.8775,104.5499,0.2717,19.2993,15.7549,4.4396,105.8734,0.2818,17.1363,15.62,1
15.7549,4.4396,105.8734,0.2818,17.1363,15.4321,4.3487,103.7044,0.2818,16.7853,17.3686,4.7199,101.1709,0.2717,18.6756,17.5165,4.76,102.0322,0.2717,18.8346,17.8009,4.8373,103.6886,0.2717,19.1403,15.5531,4.3828,104.5178,0.2818,16.9169,15.42,1
15.5531,4.3828,104.5178,0.2818,16.9169,15.7549,4.4396,105.8734,0.2818,17.1363,15.4321,4.3487,103.7044,0.2818,16.7853,17.3686,4.7199,101.1709,0.2717,18.6756,17.5165,4.76,102.0322,0.2717,18.8346,16.239,4.5761,109.1269,0.2818,17.6629,16.1,1
16.239,4.5761,109.1269,0.2818,17.6629,15.5531,4.3828,104.5178,0.2818,16.9169,15.7549,4.4396,105.8734,0.2818,17.1363,15.4321,4.3487,103.7044,0.2818,16.7853,17.3686,4.7199,101.1709,0.2717,18.6756,15.5733,4.3885,104.6534,0.2818,16.9389,15.44,1
15.5733,4.3885,104.6534,0.2818,16.9389,16.239,4.5761,109.1269,0.2818,17.6629,15.5531,4.3828,104.5178,0.2818,16.9169,15.7549,4.4396,105.8734,0.2818,17.1363,15.4321,4.3487,103.7044,0.2818,16.7853,15.5229,4.3743,104.3145,0.2818,16.884,15.39,1
15.5229,4.3743,104.3145,0.2818,16.884,15.5733,4.3885,104.6534,0.2818,16.9389,16.239,4.5761,109.1269,0.2818,17.6629,15.5531,4.3828,104.5178,0.2818,16.9169,15.7549,4.4396,105.8734,0.2818,17.1363,14.9883,4.2236,100.7221,0.2818,16.3026,14.86,1
14.9883,4.2236,100.7221,0.2818,16.3026,15.5229,4.3743,104.3145,0.2818,16.884,15.5733,4.3885,104.6534,0.2818,16.9389,16.239,4.5761,109.1269,0.2818,17.6629,15.5531,4.3828,104.5178,0.2818,16.9169,15.0085,4.2293,100.8577,0.2818,16.3245,14.88,1
15.0085,4.2293,100.8577,0.2818,16.3245,14.9883,4.2236,100.7221,0.2818,16.3026,15.5229,4.3743,104.3145,0.2818,16.884,15.5733,4.3885,104.6534,0.2818,16.9389,16.239,4.5761,109.1269,0.2818,17.6629,15.3514,4.3259,103.1622,0.2818,16.6975,15.22,1
15.3514,4.3259,103.1622,0.2818,16.6975,15.0085,4.2293,100.8577,0.2818,16.3245,14.9883,4.2236,100.7221,0.2818,16.3026,15.5229,4.3743,104.3145,0.2818,16.884,15.5733,4.3885,104.6534,0.2818,16.9389,15.3716,4.3316,103.2978,0.2818,16.7195,15.24,1
15.3716,4.3316,103.2978,0.2818,16.7195,15.3514,4.3259,103.1622,0.2818,16.6975,15.0085,4.2293,100.8577,0.2818,16.3245,14.9883,4.2236,100.7221,0.2818,16.3026,15.5229,4.3743,104.3145,0.2818,16.884,15.5128,4.3714,104.2467,0.2818,16.873,15.38,1
15.5128,4.3714,104.2467,0.2818,16.873,15.3716,4.3316,103.2978,0.2818,16.7195,15.3514,4.3259,103.1622,0.2818,16.6975,15.0085,4.2293,100.8577,0.2818,16.3245,14.9883,4.2236,100.7221,0.2818,16.3026,15.8356,4.4624,106.4157,0.2818,17.2241,15.7,1
15.8356,4.4624,106.4157,0.2818,17.2241,15.5128,4.3714,104.2467,0.2818,16.873,15.3716,4.3316,103.2978,0.2818,16.7195,15.3514,4.3259,103.1622,0.2818,16.6975,15.0085,4.2293,100.8577,0.2818,16.3245,15.886,4.4766,106.7546,0.2818,17.279,15.75,1
15.886,4.4766,106.7546,0.2818,17.279,15.8356,4.4624,106.4157,0.2818,17.2241,15.5128,4.3714,104.2467,0.2818,16.873,15.3716,4.3316,103.2978,0.2818,16.7195,15.3514,4.3259,103.1622,0.2818,16.6975,15.8356,4.4624,106.4157,0.2818,17.2241,15.7,1
15.8356,4.4624,106.4157,0.2818,17.2241,15.886,4.4766,106.7546,0.2818,17.279,15.8356,4.4624,106.4157,0.2818,17.2241,15.5128,4.3714,104.2467,0.2818,16.873,15.3716,4.3316,103.2978,0.2818,16.7195,15.4422,4.3515,103.7722,0.2818,16.7963,15.31,1
15.4422,4.3515,103.7722,0.2818,16.7963,15.8356,4.4624,106.4157,0.2818,17.2241,15.886,4.4766,106.7546,0.2818,17.279,15.8356,4.4624,106.4157,0.2818,17.2241,15.5128,4.3714,104.2467,0.2818,16.873,16.0877,4.5334,108.1102,0.2818,17.4984,15.95,1
