@RELATION "B3 - KEPL3"

@ATTRIBUTE pl1 NUMERIC
@ATTRIBUTE pvpa1 NUMERIC
@ATTRIBUTE psr1 NUMERIC
@ATTRIBUTE roe1 NUMERIC
@ATTRIBUTE ev_ebit1 NUMERIC
@ATTRIBUTE pl2 NUMERIC
@ATTRIBUTE pvpa2 NUMERIC
@ATTRIBUTE psr2 NUMERIC
@ATTRIBUTE roe2 NUMERIC
@ATTRIBUTE ev_ebit2 NUMERIC
@ATTRIBUTE pl3 NUMERIC
@ATTRIBUTE pvpa3 NUMERIC
@ATTRIBUTE psr3 NUMERIC
@ATTRIBUTE roe3 NUMERIC
@ATTRIBUTE ev_ebit3 NUMERIC
@ATTRIBUTE pl4 NUMERIC
@ATTRIBUTE pvpa4 NUMERIC
@ATTRIBUTE psr4 NUMERIC
@ATTRIBUTE roe4 NUMERIC
@ATTRIBUTE ev_ebit4 NUMERIC
@ATTRIBUTE pl5 NUMERIC
@ATTRIBUTE pvpa5 NUMERIC
@ATTRIBUTE psr5 NUMERIC
@ATTRIBUTE roe5 NUMERIC
@ATTRIBUTE ev_ebit5 NUMERIC
@ATTRIBUTE pl NUMERIC
@ATTRIBUTE pvpa NUMERIC
@ATTRIBUTE psr NUMERIC
@ATTRIBUTE roe NUMERIC
@ATTRIBUTE ev_ebit NUMERIC
@ATTRIBUTE cotacao NUMERIC
@ATTRIBUTE alvo {1, 0}

@DATA
14.8412,1.4123,0.0,0.0952,10.0743,15.3713,1.4627,0.0,0.0952,10.4341,15.3713,1.4627,0.0,0.0952,10.4341,15.3713,1.4627,0.0,0.0952,10.4341,14.8412,1.4123,0.0,0.0952,10.0743,15.3713,1.4627,0.0,0.0952,10.4341,2.4165,0
15.3713,1.4627,0.0,0.0952,10.4341,14.8412,1.4123,0.0,0.0952,10.0743,15.3713,1.4627,0.0,0.0952,10.4341,15.3713,1.4627,0.0,0.0952,10.4341,15.3713,1.4627,0.0,0.0952,10.4341,15.3713,1.4627,0.0,0.0952,10.4341,2.4165,0
15.3713,1.4627,0.0,0.0952,10.4341,15.3713,1.4627,0.0,0.0952,10.4341,14.8412,1.4123,0.0,0.0952,10.0743,15.3713,1.4627,0.0,0.0952,10.4341,15.3713,1.4627,0.0,0.0952,10.4341,14.8412,1.4123,0.0,0.0952,10.0743,2.3332,0
14.8412,1.4123,0.0,0.0952,10.0743,15.3713,1.4627,0.0,0.0952,10.4341,15.3713,1.4627,0.0,0.0952,10.4341,14.8412,1.4123,0.0,0.0952,10.0743,15.3713,1.4627,0.0,0.0952,10.4341,14.8412,1.4123,0.0,0.0952,10.0743,2.3332,0
14.8412,1.4123,0.0,0.0952,10.0743,14.8412,1.4123,0.0,0.0952,10.0743,15.3713,1.4627,0.0,0.0952,10.4341,15.3713,1.4627,0.0,0.0952,10.4341,14.8412,1.4123,0.0,0.0952,10.0743,14.3112,1.3618,0.0,0.0952,9.7145,2.2499,0
14.3112,1.3618,0.0,0.0952,9.7145,14.8412,1.4123,0.0,0.0952,10.0743,14.8412,1.4123,0.0,0.0952,10.0743,15.3713,1.4627,0.0,0.0952,10.4341,15.3713,1.4627,0.0,0.0952,10.4341,14.8412,1.4123,0.0,0.0952,10.0743,2.3332,0
14.8412,1.4123,0.0,0.0952,10.0743,14.3112,1.3618,0.0,0.0952,9.7145,14.8412,1.4123,0.0,0.0952,10.0743,14.8412,1.4123,0.0,0.0952,10.0743,15.3713,1.4627,0.0,0.0952,10.4341,14.3112,1.3618,0.0,0.0952,9.7145,2.2499,1
14.3112,1.3618,0.0,0.0952,9.7145,14.8412,1.4123,0.0,0.0952,10.0743,14.3112,1.3618,0.0,0.0952,9.7145,14.8412,1.4123,0.0,0.0952,10.0743,14.8412,1.4123,0.0,0.0952,10.0743,14.3112,1.3618,0.0,0.0952,9.7145,2.2499,0
14.3112,1.3618,0.0,0.0952,9.7145,14.3112,1.3618,0.0,0.0952,9.7145,14.8412,1.4123,0.0,0.0952,10.0743,14.3112,1.3618,0.0,0.0952,9.7145,14.8412,1.4123,0.0,0.0952,10.0743,13.7811,1.3114,0.0,0.0952,9.3547,2.1665,1
13.7811,1.3114,0.0,0.0952,9.3547,14.3112,1.3618,0.0,0.0952,9.7145,14.3112,1.3618,0.0,0.0952,9.7145,14.8412,1.4123,0.0,0.0952,10.0743,14.3112,1.3618,0.0,0.0952,9.7145,13.7811,1.3114,0.0,0.0952,9.3547,2.1665,1
13.7811,1.3114,0.0,0.0952,9.3547,13.7811,1.3114,0.0,0.0952,9.3547,14.3112,1.3618,0.0,0.0952,9.7145,14.3112,1.3618,0.0,0.0952,9.7145,14.8412,1.4123,0.0,0.0952,10.0743,13.7811,1.3114,0.0,0.0952,9.3547,2.1665,1
13.7811,1.3114,0.0,0.0952,9.3547,13.7811,1.3114,0.0,0.0952,9.3547,13.7811,1.3114,0.0,0.0952,9.3547,14.3112,1.3618,0.0,0.0952,9.7145,14.3112,1.3618,0.0,0.0952,9.7145,13.2511,1.261,0.0,0.0952,8.9949,2.0832,1
13.2511,1.261,0.0,0.0952,8.9949,13.7811,1.3114,0.0,0.0952,9.3547,13.7811,1.3114,0.0,0.0952,9.3547,13.7811,1.3114,0.0,0.0952,9.3547,14.3112,1.3618,0.0,0.0952,9.7145,12.721,1.2105,0.0,0.0952,8.6351,1.9999,1
12.721,1.2105,0.0,0.0952,8.6351,13.2511,1.261,0.0,0.0952,8.9949,13.7811,1.3114,0.0,0.0952,9.3547,13.7811,1.3114,0.0,0.0952,9.3547,13.7811,1.3114,0.0,0.0952,9.3547,13.2511,1.261,0.0,0.0952,8.9949,2.0832,1
13.2511,1.261,0.0,0.0952,8.9949,12.721,1.2105,0.0,0.0952,8.6351,13.2511,1.261,0.0,0.0952,8.9949,13.7811,1.3114,0.0,0.0952,9.3547,13.7811,1.3114,0.0,0.0952,9.3547,13.2511,1.261,0.0,0.0952,8.9949,2.0832,1
13.2511,1.261,0.0,0.0952,8.9949,13.2511,1.261,0.0,0.0952,8.9949,12.721,1.2105,0.0,0.0952,8.6351,13.2511,1.261,0.0,0.0952,8.9949,13.7811,1.3114,0.0,0.0952,9.3547,12.721,1.2105,0.0,0.0952,8.6351,1.9999,1
12.721,1.2105,0.0,0.0952,8.6351,13.2511,1.261,0.0,0.0952,8.9949,13.2511,1.261,0.0,0.0952,8.9949,12.721,1.2105,0.0,0.0952,8.6351,13.2511,1.261,0.0,0.0952,8.9949,13.2511,1.261,0.0,0.0952,8.9949,2.0832,1
13.2511,1.261,0.0,0.0952,8.9949,12.721,1.2105,0.0,0.0952,8.6351,13.2511,1.261,0.0,0.0952,8.9949,13.2511,1.261,0.0,0.0952,8.9949,12.721,1.2105,0.0,0.0952,8.6351,12.191,1.1601,0.0,0.0952,8.2753,1.9166,1
12.191,1.1601,0.0,0.0952,8.2753,13.2511,1.261,0.0,0.0952,8.9949,12.721,1.2105,0.0,0.0952,8.6351,13.2511,1.261,0.0,0.0952,8.9949,13.2511,1.261,0.0,0.0952,8.9949,13.2511,1.261,0.0,0.0952,8.9949,2.0832,1
13.2511,1.261,0.0,0.0952,8.9949,12.191,1.1601,0.0,0.0952,8.2753,13.2511,1.261,0.0,0.0952,8.9949,12.721,1.2105,0.0,0.0952,8.6351,13.2511,1.261,0.0,0.0952,8.9949,12.721,1.2105,0.0,0.0952,8.6351,1.9999,1
12.721,1.2105,0.0,0.0952,8.6351,13.2511,1.261,0.0,0.0952,8.9949,12.191,1.1601,0.0,0.0952,8.2753,13.2511,1.261,0.0,0.0952,8.9949,12.721,1.2105,0.0,0.0952,8.6351,12.721,1.2105,0.0,0.0952,8.6351,1.9999,1
12.721,1.2105,0.0,0.0952,8.6351,12.721,1.2105,0.0,0.0952,8.6351,13.2511,1.261,0.0,0.0952,8.9949,12.191,1.1601,0.0,0.0952,8.2753,13.2511,1.261,0.0,0.0952,8.9949,12.191,1.1601,0.0,0.0952,8.2753,1.9166,1
12.191,1.1601,0.0,0.0952,8.2753,12.721,1.2105,0.0,0.0952,8.6351,12.721,1.2105,0.0,0.0952,8.6351,13.2511,1.261,0.0,0.0952,8.9949,12.191,1.1601,0.0,0.0952,8.2753,12.721,1.2105,0.0,0.0952,8.6351,1.9999,1
12.721,1.2105,0.0,0.0952,8.6351,12.191,1.1601,0.0,0.0952,8.2753,12.721,1.2105,0.0,0.0952,8.6351,12.721,1.2105,0.0,0.0952,8.6351,13.2511,1.261,0.0,0.0952,8.9949,13.2511,1.261,0.0,0.0952,8.9949,2.0832,1
13.2511,1.261,0.0,0.0952,8.9949,12.721,1.2105,0.0,0.0952,8.6351,12.191,1.1601,0.0,0.0952,8.2753,12.721,1.2105,0.0,0.0952,8.6351,12.721,1.2105,0.0,0.0952,8.6351,13.2511,1.261,0.0,0.0952,8.9949,2.0832,1
13.2511,1.261,0.0,0.0952,8.9949,13.2511,1.261,0.0,0.0952,8.9949,12.721,1.2105,0.0,0.0952,8.6351,12.191,1.1601,0.0,0.0952,8.2753,12.721,1.2105,0.0,0.0952,8.6351,12.721,1.2105,0.0,0.0952,8.6351,1.9999,1
