@RELATION "B3 - MRFG3"

@ATTRIBUTE pl1 NUMERIC
@ATTRIBUTE pvpa1 NUMERIC
@ATTRIBUTE psr1 NUMERIC
@ATTRIBUTE roe1 NUMERIC
@ATTRIBUTE ev_ebit1 NUMERIC
@ATTRIBUTE pl2 NUMERIC
@ATTRIBUTE pvpa2 NUMERIC
@ATTRIBUTE psr2 NUMERIC
@ATTRIBUTE roe2 NUMERIC
@ATTRIBUTE ev_ebit2 NUMERIC
@ATTRIBUTE pl3 NUMERIC
@ATTRIBUTE pvpa3 NUMERIC
@ATTRIBUTE psr3 NUMERIC
@ATTRIBUTE roe3 NUMERIC
@ATTRIBUTE ev_ebit3 NUMERIC
@ATTRIBUTE pl4 NUMERIC
@ATTRIBUTE pvpa4 NUMERIC
@ATTRIBUTE psr4 NUMERIC
@ATTRIBUTE roe4 NUMERIC
@ATTRIBUTE ev_ebit4 NUMERIC
@ATTRIBUTE pl5 NUMERIC
@ATTRIBUTE pvpa5 NUMERIC
@ATTRIBUTE psr5 NUMERIC
@ATTRIBUTE roe5 NUMERIC
@ATTRIBUTE ev_ebit5 NUMERIC
@ATTRIBUTE pl NUMERIC
@ATTRIBUTE pvpa NUMERIC
@ATTRIBUTE psr NUMERIC
@ATTRIBUTE roe NUMERIC
@ATTRIBUTE ev_ebit NUMERIC
@ATTRIBUTE cotacao NUMERIC
@ATTRIBUTE alvo {1, 0}

@DATA
-10.6577,2.4431,1.7851,-0.2292,18.0487,-10.6206,2.4346,1.7789,-0.2292,17.986,-10.806,2.4771,1.8099,-0.2292,18.2998,-10.6577,2.4431,1.7851,-0.2292,18.0487,-10.4075,2.3857,1.7432,-0.2292,17.625,-11.0284,2.5281,1.8472,-0.2292,18.6765,11.9,0
-11.0284,2.5281,1.8472,-0.2292,18.6765,-10.6577,2.4431,1.7851,-0.2292,18.0487,-10.6206,2.4346,1.7789,-0.2292,17.986,-10.806,2.4771,1.8099,-0.2292,18.2998,-10.6577,2.4431,1.7851,-0.2292,18.0487,-10.9357,2.5068,1.8317,-0.2292,18.5196,11.8,0
-10.9357,2.5068,1.8317,-0.2292,18.5196,-11.0284,2.5281,1.8472,-0.2292,18.6765,-10.6577,2.4431,1.7851,-0.2292,18.0487,-10.6206,2.4346,1.7789,-0.2292,17.986,-10.806,2.4771,1.8099,-0.2292,18.2998,-10.9728,2.5153,1.8379,-0.2292,18.5823,11.84,0
-10.9728,2.5153,1.8379,-0.2292,18.5823,-10.9357,2.5068,1.8317,-0.2292,18.5196,-11.0284,2.5281,1.8472,-0.2292,18.6765,-10.6577,2.4431,1.7851,-0.2292,18.0487,-10.6206,2.4346,1.7789,-0.2292,17.986,-11.1952,2.5663,1.8751,-0.2292,18.959,12.08,0
-11.1952,2.5663,1.8751,-0.2292,18.959,-10.9728,2.5153,1.8379,-0.2292,18.5823,-10.9357,2.5068,1.8317,-0.2292,18.5196,-11.0284,2.5281,1.8472,-0.2292,18.6765,-10.6577,2.4431,1.7851,-0.2292,18.0487,-10.9913,2.5196,1.841,-0.2292,18.6137,11.86,0
-10.9913,2.5196,1.841,-0.2292,18.6137,-11.1952,2.5663,1.8751,-0.2292,18.959,-10.9728,2.5153,1.8379,-0.2292,18.5823,-10.9357,2.5068,1.8317,-0.2292,18.5196,-11.0284,2.5281,1.8472,-0.2292,18.6765,-10.945,2.5089,1.8332,-0.2292,18.5353,11.81,0
-10.945,2.5089,1.8332,-0.2292,18.5353,-10.9913,2.5196,1.841,-0.2292,18.6137,-11.1952,2.5663,1.8751,-0.2292,18.959,-10.9728,2.5153,1.8379,-0.2292,18.5823,-10.9357,2.5068,1.8317,-0.2292,18.5196,-10.4631,2.3985,1.7525,-0.2292,17.7191,11.29,0
-10.4631,2.3985,1.7525,-0.2292,17.7191,-10.945,2.5089,1.8332,-0.2292,18.5353,-10.9913,2.5196,1.841,-0.2292,18.6137,-11.1952,2.5663,1.8751,-0.2292,18.959,-10.9728,2.5153,1.8379,-0.2292,18.5823,-10.7782,2.4707,1.8053,-0.2292,18.2528,11.63,0
-10.7782,2.4707,1.8053,-0.2292,18.2528,-10.4631,2.3985,1.7525,-0.2292,17.7191,-10.945,2.5089,1.8332,-0.2292,18.5353,-10.9913,2.5196,1.841,-0.2292,18.6137,-11.1952,2.5663,1.8751,-0.2292,18.959,-10.4167,2.3878,1.7447,-0.2292,17.6407,11.24,0
-10.4167,2.3878,1.7447,-0.2292,17.6407,-10.7782,2.4707,1.8053,-0.2292,18.2528,-10.4631,2.3985,1.7525,-0.2292,17.7191,-10.945,2.5089,1.8332,-0.2292,18.5353,-10.9913,2.5196,1.841,-0.2292,18.6137,-10.287,2.3581,1.723,-0.2292,17.4209,11.1,0
