@RELATION "B3 - CIEL3"

@ATTRIBUTE pl1 NUMERIC
@ATTRIBUTE pvpa1 NUMERIC
@ATTRIBUTE psr1 NUMERIC
@ATTRIBUTE roe1 NUMERIC
@ATTRIBUTE ev_ebit1 NUMERIC
@ATTRIBUTE pl2 NUMERIC
@ATTRIBUTE pvpa2 NUMERIC
@ATTRIBUTE psr2 NUMERIC
@ATTRIBUTE roe2 NUMERIC
@ATTRIBUTE ev_ebit2 NUMERIC
@ATTRIBUTE pl3 NUMERIC
@ATTRIBUTE pvpa3 NUMERIC
@ATTRIBUTE psr3 NUMERIC
@ATTRIBUTE roe3 NUMERIC
@ATTRIBUTE ev_ebit3 NUMERIC
@ATTRIBUTE pl4 NUMERIC
@ATTRIBUTE pvpa4 NUMERIC
@ATTRIBUTE psr4 NUMERIC
@ATTRIBUTE roe4 NUMERIC
@ATTRIBUTE ev_ebit4 NUMERIC
@ATTRIBUTE pl5 NUMERIC
@ATTRIBUTE pvpa5 NUMERIC
@ATTRIBUTE psr5 NUMERIC
@ATTRIBUTE roe5 NUMERIC
@ATTRIBUTE ev_ebit5 NUMERIC
@ATTRIBUTE pl NUMERIC
@ATTRIBUTE pvpa NUMERIC
@ATTRIBUTE psr NUMERIC
@ATTRIBUTE roe NUMERIC
@ATTRIBUTE ev_ebit NUMERIC
@ATTRIBUTE cotacao NUMERIC
@ATTRIBUTE alvo {1, 0}

@DATA
17.0017,21.8351,7.5975,1.2843,14.3894,16.8117,21.5911,7.5126,1.2843,14.2286,16.5855,21.3006,7.4115,1.2843,14.0372,16.5855,21.3006,7.4115,1.2843,14.0372,16.8871,21.6879,7.5463,1.2843,14.2924,18.0632,23.1983,8.0718,1.2843,15.2877,12.0362,1
18.0632,23.1983,8.0718,1.2843,15.2877,17.0017,21.8351,7.5975,1.2843,14.3894,16.8117,21.5911,7.5126,1.2843,14.2286,16.5855,21.3006,7.4115,1.2843,14.0372,16.5855,21.3006,7.4115,1.2843,14.0372,17.7284,22.7685,7.9222,1.2843,15.0045,11.8132,1
17.7284,22.7685,7.9222,1.2843,15.0045,18.0632,23.1983,8.0718,1.2843,15.2877,17.0017,21.8351,7.5975,1.2843,14.3894,16.8117,21.5911,7.5126,1.2843,14.2286,16.5855,21.3006,7.4115,1.2843,14.0372,17.4902,22.4625,7.8158,1.2843,14.8028,11.6544,1
17.4902,22.4625,7.8158,1.2843,14.8028,17.7284,22.7685,7.9222,1.2843,15.0045,18.0632,23.1983,8.0718,1.2843,15.2877,17.0017,21.8351,7.5975,1.2843,14.3894,16.8117,21.5911,7.5126,1.2843,14.2286,17.6862,22.7142,7.9034,1.2843,14.9687,11.7851,1
17.6862,22.7142,7.9034,1.2843,14.9687,17.4902,22.4625,7.8158,1.2843,14.8028,17.7284,22.7685,7.9222,1.2843,15.0045,18.0632,23.1983,8.0718,1.2843,15.2877,17.0017,21.8351,7.5975,1.2843,14.3894,18.0632,23.1983,8.0718,1.2843,15.2877,12.0362,1
18.0632,23.1983,8.0718,1.2843,15.2877,17.6862,22.7142,7.9034,1.2843,14.9687,17.4902,22.4625,7.8158,1.2843,14.8028,17.7284,22.7685,7.9222,1.2843,15.0045,18.0632,23.1983,8.0718,1.2843,15.2877,17.9697,23.0783,8.03,1.2843,15.2086,11.9739,1
17.9697,23.0783,8.03,1.2843,15.2086,18.0632,23.1983,8.0718,1.2843,15.2877,17.6862,22.7142,7.9034,1.2843,14.9687,17.4902,22.4625,7.8158,1.2843,14.8028,17.7284,22.7685,7.9222,1.2843,15.0045,18.2139,23.392,8.1392,1.2843,15.4154,12.1367,1
18.2139,23.392,8.1392,1.2843,15.4154,17.9697,23.0783,8.03,1.2843,15.2086,18.0632,23.1983,8.0718,1.2843,15.2877,17.6862,22.7142,7.9034,1.2843,14.9687,17.4902,22.4625,7.8158,1.2843,14.8028,18.5155,23.7793,8.2739,1.2843,15.6706,12.3376,1
18.5155,23.7793,8.2739,1.2843,15.6706,18.2139,23.392,8.1392,1.2843,15.4154,17.9697,23.0783,8.03,1.2843,15.2086,18.0632,23.1983,8.0718,1.2843,15.2877,17.6862,22.7142,7.9034,1.2843,14.9687,18.8351,24.1898,8.4168,1.2843,15.9411,12.5506,1
18.8351,24.1898,8.4168,1.2843,15.9411,18.5155,23.7793,8.2739,1.2843,15.6706,18.2139,23.392,8.1392,1.2843,15.4154,17.9697,23.0783,8.03,1.2843,15.2086,18.0632,23.1983,8.0718,1.2843,15.2877,18.995,24.3951,8.4882,1.2843,16.0764,12.6571,1
18.995,24.3951,8.4882,1.2843,16.0764,18.8351,24.1898,8.4168,1.2843,15.9411,18.5155,23.7793,8.2739,1.2843,15.6706,18.2139,23.392,8.1392,1.2843,15.4154,17.9697,23.0783,8.03,1.2843,15.2086,19.2935,24.7785,8.6216,1.2843,16.3291,12.8561,1
19.2935,24.7785,8.6216,1.2843,16.3291,18.995,24.3951,8.4882,1.2843,16.0764,18.8351,24.1898,8.4168,1.2843,15.9411,18.5155,23.7793,8.2739,1.2843,15.6706,18.2139,23.392,8.1392,1.2843,15.4154,19.1638,24.6119,8.5637,1.2843,16.2193,12.7697,1
19.1638,24.6119,8.5637,1.2843,16.2193,19.2935,24.7785,8.6216,1.2843,16.3291,18.995,24.3951,8.4882,1.2843,16.0764,18.8351,24.1898,8.4168,1.2843,15.9411,18.5155,23.7793,8.2739,1.2843,15.6706,18.7205,24.0426,8.3656,1.2843,15.8441,12.4743,1
18.7205,24.0426,8.3656,1.2843,15.8441,19.1638,24.6119,8.5637,1.2843,16.2193,19.2935,24.7785,8.6216,1.2843,16.3291,18.995,24.3951,8.4882,1.2843,16.0764,18.8351,24.1898,8.4168,1.2843,15.9411,18.6271,23.9226,8.3238,1.2843,15.765,12.412,1
18.6271,23.9226,8.3238,1.2843,15.765,18.7205,24.0426,8.3656,1.2843,15.8441,19.1638,24.6119,8.5637,1.2843,16.2193,19.2935,24.7785,8.6216,1.2843,16.3291,18.995,24.3951,8.4882,1.2843,16.0764,18.6482,23.9497,8.3332,1.2843,15.7829,12.4261,1
18.6482,23.9497,8.3332,1.2843,15.7829,18.6271,23.9226,8.3238,1.2843,15.765,18.7205,24.0426,8.3656,1.2843,15.8441,19.1638,24.6119,8.5637,1.2843,16.2193,19.2935,24.7785,8.6216,1.2843,16.3291,18.5306,23.7986,8.2807,1.2843,15.6833,12.3477,1
18.5306,23.7986,8.2807,1.2843,15.6833,18.6482,23.9497,8.3332,1.2843,15.7829,18.6271,23.9226,8.3238,1.2843,15.765,18.7205,24.0426,8.3656,1.2843,15.8441,19.1638,24.6119,8.5637,1.2843,16.2193,18.4853,23.7405,8.2605,1.2843,15.6451,12.3175,1
18.4853,23.7405,8.2605,1.2843,15.6451,18.5306,23.7986,8.2807,1.2843,15.6833,18.6482,23.9497,8.3332,1.2843,15.7829,18.6271,23.9226,8.3238,1.2843,15.765,18.7205,24.0426,8.3656,1.2843,15.8441,18.4582,23.7057,8.2483,1.2843,15.6221,12.2995,1
