@RELATION "B3 - ABCB4"

@ATTRIBUTE cotacao1 NUMERIC
@ATTRIBUTE high1 NUMERIC
@ATTRIBUTE low1 NUMERIC
@ATTRIBUTE open1 NUMERIC
@ATTRIBUTE volume1 NUMERIC
@ATTRIBUTE cotacao2 NUMERIC
@ATTRIBUTE high2 NUMERIC
@ATTRIBUTE low2 NUMERIC
@ATTRIBUTE open2 NUMERIC
@ATTRIBUTE volume2 NUMERIC
@ATTRIBUTE cotacao3 NUMERIC
@ATTRIBUTE high3 NUMERIC
@ATTRIBUTE low3 NUMERIC
@ATTRIBUTE open3 NUMERIC
@ATTRIBUTE volume3 NUMERIC
@ATTRIBUTE cotacao4 NUMERIC
@ATTRIBUTE high4 NUMERIC
@ATTRIBUTE low4 NUMERIC
@ATTRIBUTE open4 NUMERIC
@ATTRIBUTE volume4 NUMERIC
@ATTRIBUTE cotacao5 NUMERIC
@ATTRIBUTE high5 NUMERIC
@ATTRIBUTE low5 NUMERIC
@ATTRIBUTE open5 NUMERIC
@ATTRIBUTE volume5 NUMERIC
@ATTRIBUTE cotacao NUMERIC
@ATTRIBUTE high NUMERIC
@ATTRIBUTE low NUMERIC
@ATTRIBUTE open NUMERIC
@ATTRIBUTE volume NUMERIC
@ATTRIBUTE alvo {1, 0}

@DATA
13.27,13.28,13.03,13.1,2119120.0,13.25,13.29,12.67,12.67,4293379.0,12.89,13.15,12.7,13.15,6553609.0,13.15,13.15,12.95,13.07,3462112.0,13.0,13.12,12.87,13.01,1316155.0,13.01,13.29,12.92,13.25,1506770.0,1
13.01,13.29,12.92,13.25,1506770.0,13.27,13.28,13.03,13.1,2119120.0,13.25,13.29,12.67,12.67,4293379.0,12.89,13.15,12.7,13.15,6553609.0,13.15,13.15,12.95,13.07,3462112.0,13.35,13.35,13.07,13.2,1964141.0,0
13.35,13.35,13.07,13.2,1964141.0,13.01,13.29,12.92,13.25,1506770.0,13.27,13.28,13.03,13.1,2119120.0,13.25,13.29,12.67,12.67,4293379.0,12.89,13.15,12.7,13.15,6553609.0,13.35,13.4,13.15,13.15,8277074.0,1
13.35,13.4,13.15,13.15,8277074.0,13.35,13.35,13.07,13.2,1964141.0,13.01,13.29,12.92,13.25,1506770.0,13.27,13.28,13.03,13.1,2119120.0,13.25,13.29,12.67,12.67,4293379.0,13.36,13.4,13.27,13.35,2614787.0,1
13.36,13.4,13.27,13.35,2614787.0,13.35,13.4,13.15,13.15,8277074.0,13.35,13.35,13.07,13.2,1964141.0,13.01,13.29,12.92,13.25,1506770.0,13.27,13.28,13.03,13.1,2119120.0,13.4,13.48,13.23,13.41,2490218.0,0
13.4,13.48,13.23,13.41,2490218.0,13.36,13.4,13.27,13.35,2614787.0,13.35,13.4,13.15,13.15,8277074.0,13.35,13.35,13.07,13.2,1964141.0,13.01,13.29,12.92,13.25,1506770.0,13.32,13.4,13.25,13.39,3666931.0,1
13.32,13.4,13.25,13.39,3666931.0,13.4,13.48,13.23,13.41,2490218.0,13.36,13.4,13.27,13.35,2614787.0,13.35,13.4,13.15,13.15,8277074.0,13.35,13.35,13.07,13.2,1964141.0,13.4,13.44,13.26,13.37,3421632.0,0
13.4,13.44,13.26,13.37,3421632.0,13.32,13.4,13.25,13.39,3666931.0,13.4,13.48,13.23,13.41,2490218.0,13.36,13.4,13.27,13.35,2614787.0,13.35,13.4,13.15,13.15,8277074.0,13.39,13.49,13.19,13.36,2693569.0,1
13.39,13.49,13.19,13.36,2693569.0,13.4,13.44,13.26,13.37,3421632.0,13.32,13.4,13.25,13.39,3666931.0,13.4,13.48,13.23,13.41,2490218.0,13.36,13.4,13.27,13.35,2614787.0,13.4,13.45,13.31,13.43,2780487.0,1
13.4,13.45,13.31,13.43,2780487.0,13.39,13.49,13.19,13.36,2693569.0,13.4,13.44,13.26,13.37,3421632.0,13.32,13.4,13.25,13.39,3666931.0,13.4,13.48,13.23,13.41,2490218.0,13.8,13.8,13.32,13.32,2387989.0,0
