@RELATION "B3 - BBAS3"

@ATTRIBUTE cotacao1 NUMERIC
@ATTRIBUTE high1 NUMERIC
@ATTRIBUTE low1 NUMERIC
@ATTRIBUTE open1 NUMERIC
@ATTRIBUTE volume1 NUMERIC
@ATTRIBUTE cotacao2 NUMERIC
@ATTRIBUTE high2 NUMERIC
@ATTRIBUTE low2 NUMERIC
@ATTRIBUTE open2 NUMERIC
@ATTRIBUTE volume2 NUMERIC
@ATTRIBUTE cotacao3 NUMERIC
@ATTRIBUTE high3 NUMERIC
@ATTRIBUTE low3 NUMERIC
@ATTRIBUTE open3 NUMERIC
@ATTRIBUTE volume3 NUMERIC
@ATTRIBUTE cotacao4 NUMERIC
@ATTRIBUTE high4 NUMERIC
@ATTRIBUTE low4 NUMERIC
@ATTRIBUTE open4 NUMERIC
@ATTRIBUTE volume4 NUMERIC
@ATTRIBUTE cotacao5 NUMERIC
@ATTRIBUTE high5 NUMERIC
@ATTRIBUTE low5 NUMERIC
@ATTRIBUTE open5 NUMERIC
@ATTRIBUTE volume5 NUMERIC
@ATTRIBUTE cotacao NUMERIC
@ATTRIBUTE high NUMERIC
@ATTRIBUTE low NUMERIC
@ATTRIBUTE open NUMERIC
@ATTRIBUTE volume NUMERIC
@ATTRIBUTE alvo {1, 0}

@DATA
27.75,27.98,27.56,27.71,146800300.0,28.0,28.1,27.85,27.94,106937902.0,28.0,29.0,27.85,28.95,217847948.0,28.76,28.97,27.51,27.51,316969539.0,28.0,28.4,27.76,27.8,427870102.0,27.35,27.81,27.06,27.75,224969017.0,0
27.35,27.81,27.06,27.75,224969017.0,27.75,27.98,27.56,27.71,146800300.0,28.0,28.1,27.85,27.94,106937902.0,28.0,29.0,27.85,28.95,217847948.0,28.76,28.97,27.51,27.51,316969539.0,27.01,27.28,26.77,27.0,145101521.0,0
27.01,27.28,26.77,27.0,145101521.0,27.35,27.81,27.06,27.75,224969017.0,27.75,27.98,27.56,27.71,146800300.0,28.0,28.1,27.85,27.94,106937902.0,28.0,29.0,27.85,28.95,217847948.0,27.57,27.65,27.01,27.01,185760856.0,0
27.57,27.65,27.01,27.01,185760856.0,27.01,27.28,26.77,27.0,145101521.0,27.35,27.81,27.06,27.75,224969017.0,27.75,27.98,27.56,27.71,146800300.0,28.0,28.1,27.85,27.94,106937902.0,27.65,28.09,27.56,27.73,169349394.0,0
27.65,28.09,27.56,27.73,169349394.0,27.57,27.65,27.01,27.01,185760856.0,27.01,27.28,26.77,27.0,145101521.0,27.35,27.81,27.06,27.75,224969017.0,27.75,27.98,27.56,27.71,146800300.0,28.07,28.27,27.7,27.78,157889972.0,0
28.07,28.27,27.7,27.78,157889972.0,27.65,28.09,27.56,27.73,169349394.0,27.57,27.65,27.01,27.01,185760856.0,27.01,27.28,26.77,27.0,145101521.0,27.35,27.81,27.06,27.75,224969017.0,28.6,28.67,28.17,28.2,116949219.0,0
28.6,28.67,28.17,28.2,116949219.0,28.07,28.27,27.7,27.78,157889972.0,27.65,28.09,27.56,27.73,169349394.0,27.57,27.65,27.01,27.01,185760856.0,27.01,27.28,26.77,27.0,145101521.0,28.65,28.68,28.23,28.3,116088481.0,0
28.65,28.68,28.23,28.3,116088481.0,28.6,28.67,28.17,28.2,116949219.0,28.07,28.27,27.7,27.78,157889972.0,27.65,28.09,27.56,27.73,169349394.0,27.57,27.65,27.01,27.01,185760856.0,28.15,28.3,27.85,28.17,126971951.0,0
28.15,28.3,27.85,28.17,126971951.0,28.65,28.68,28.23,28.3,116088481.0,28.6,28.67,28.17,28.2,116949219.0,28.07,28.27,27.7,27.78,157889972.0,27.65,28.09,27.56,27.73,169349394.0,28.55,28.75,28.16,28.4,156887804.0,0
28.55,28.75,28.16,28.4,156887804.0,28.15,28.3,27.85,28.17,126971951.0,28.65,28.68,28.23,28.3,116088481.0,28.6,28.67,28.17,28.2,116949219.0,28.07,28.27,27.7,27.78,157889972.0,28.63,29.17,28.56,28.85,184752128.0,0
28.63,29.17,28.56,28.85,184752128.0,28.55,28.75,28.16,28.4,156887804.0,28.15,28.3,27.85,28.17,126971951.0,28.65,28.68,28.23,28.3,116088481.0,28.6,28.67,28.17,28.2,116949219.0,28.73,29.2,28.73,28.8,140183855.0,0
28.73,29.2,28.73,28.8,140183855.0,28.63,29.17,28.56,28.85,184752128.0,28.55,28.75,28.16,28.4,156887804.0,28.15,28.3,27.85,28.17,126971951.0,28.65,28.68,28.23,28.3,116088481.0,28.85,28.9,28.24,28.51,121274566.0,0
28.85,28.9,28.24,28.51,121274566.0,28.73,29.2,28.73,28.8,140183855.0,28.63,29.17,28.56,28.85,184752128.0,28.55,28.75,28.16,28.4,156887804.0,28.15,28.3,27.85,28.17,126971951.0,29.61,29.61,28.85,29.0,193907488.0,0
29.61,29.61,28.85,29.0,193907488.0,28.85,28.9,28.24,28.51,121274566.0,28.73,29.2,28.73,28.8,140183855.0,28.63,29.17,28.56,28.85,184752128.0,28.55,28.75,28.16,28.4,156887804.0,29.0,29.79,28.65,29.43,185562764.0,0
29.0,29.79,28.65,29.43,185562764.0,29.61,29.61,28.85,29.0,193907488.0,28.85,28.9,28.24,28.51,121274566.0,28.73,29.2,28.73,28.8,140183855.0,28.63,29.17,28.56,28.85,184752128.0,28.6,28.86,28.38,28.69,159474197.0,0
28.6,28.86,28.38,28.69,159474197.0,29.0,29.79,28.65,29.43,185562764.0,29.61,29.61,28.85,29.0,193907488.0,28.85,28.9,28.24,28.51,121274566.0,28.73,29.2,28.73,28.8,140183855.0,28.88,29.15,28.76,28.78,135228656.0,0
28.88,29.15,28.76,28.78,135228656.0,28.6,28.86,28.38,28.69,159474197.0,29.0,29.79,28.65,29.43,185562764.0,29.61,29.61,28.85,29.0,193907488.0,28.85,28.9,28.24,28.51,121274566.0,28.74,28.93,28.46,28.85,99261394.0,0
28.74,28.93,28.46,28.85,99261394.0,28.88,29.15,28.76,28.78,135228656.0,28.6,28.86,28.38,28.69,159474197.0,29.0,29.79,28.65,29.43,185562764.0,29.61,29.61,28.85,29.0,193907488.0,28.66,28.66,28.3,28.45,84592176.0,0
28.66,28.66,28.3,28.45,84592176.0,28.74,28.93,28.46,28.85,99261394.0,28.88,29.15,28.76,28.78,135228656.0,28.6,28.86,28.38,28.69,159474197.0,29.0,29.79,28.65,29.43,185562764.0,28.15,28.8,28.11,28.45,158566495.0,0
28.15,28.8,28.11,28.45,158566495.0,28.66,28.66,28.3,28.45,84592176.0,28.74,28.93,28.46,28.85,99261394.0,28.88,29.15,28.76,28.78,135228656.0,28.6,28.86,28.38,28.69,159474197.0,27.24,28.08,27.03,28.04,242204271.0,0
27.24,28.08,27.03,28.04,242204271.0,28.15,28.8,28.11,28.45,158566495.0,28.66,28.66,28.3,28.45,84592176.0,28.74,28.93,28.46,28.85,99261394.0,28.88,29.15,28.76,28.78,135228656.0,26.73,27.24,26.6,27.17,159817396.0,0
26.73,27.24,26.6,27.17,159817396.0,27.24,28.08,27.03,28.04,242204271.0,28.15,28.8,28.11,28.45,158566495.0,28.66,28.66,28.3,28.45,84592176.0,28.74,28.93,28.46,28.85,99261394.0,27.4,27.52,26.95,26.99,145840872.0,0
27.4,27.52,26.95,26.99,145840872.0,26.73,27.24,26.6,27.17,159817396.0,27.24,28.08,27.03,28.04,242204271.0,28.15,28.8,28.11,28.45,158566495.0,28.66,28.66,28.3,28.45,84592176.0,27.32,27.68,27.21,27.45,94970725.0,0
27.32,27.68,27.21,27.45,94970725.0,27.4,27.52,26.95,26.99,145840872.0,26.73,27.24,26.6,27.17,159817396.0,27.24,28.08,27.03,28.04,242204271.0,28.15,28.8,28.11,28.45,158566495.0,26.93,27.35,26.66,27.05,152628911.0,0
26.93,27.35,26.66,27.05,152628911.0,27.32,27.68,27.21,27.45,94970725.0,27.4,27.52,26.95,26.99,145840872.0,26.73,27.24,26.6,27.17,159817396.0,27.24,28.08,27.03,28.04,242204271.0,26.36,26.74,26.12,26.74,212846465.0,0
26.36,26.74,26.12,26.74,212846465.0,26.93,27.35,26.66,27.05,152628911.0,27.32,27.68,27.21,27.45,94970725.0,27.4,27.52,26.95,26.99,145840872.0,26.73,27.24,26.6,27.17,159817396.0,25.95,26.75,25.64,26.51,259171685.0,0
25.95,26.75,25.64,26.51,259171685.0,26.36,26.74,26.12,26.74,212846465.0,26.93,27.35,26.66,27.05,152628911.0,27.32,27.68,27.21,27.45,94970725.0,27.4,27.52,26.95,26.99,145840872.0,25.85,26.07,25.5,26.05,159226659.0,0
25.85,26.07,25.5,26.05,159226659.0,25.95,26.75,25.64,26.51,259171685.0,26.36,26.74,26.12,26.74,212846465.0,26.93,27.35,26.66,27.05,152628911.0,27.32,27.68,27.21,27.45,94970725.0,25.72,26.27,25.52,25.9,97044626.0,0
25.72,26.27,25.52,25.9,97044626.0,25.85,26.07,25.5,26.05,159226659.0,25.95,26.75,25.64,26.51,259171685.0,26.36,26.74,26.12,26.74,212846465.0,26.93,27.35,26.66,27.05,152628911.0,24.2,25.73,23.94,25.55,422386240.0,0
24.2,25.73,23.94,25.55,422386240.0,25.72,26.27,25.52,25.9,97044626.0,25.85,26.07,25.5,26.05,159226659.0,25.95,26.75,25.64,26.51,259171685.0,26.36,26.74,26.12,26.74,212846465.0,24.13,24.59,23.4,24.5,398540702.0,0
24.13,24.59,23.4,24.5,398540702.0,24.2,25.73,23.94,25.55,422386240.0,25.72,26.27,25.52,25.9,97044626.0,25.85,26.07,25.5,26.05,159226659.0,25.95,26.75,25.64,26.51,259171685.0,24.08,24.25,23.42,23.82,109113444.0,0
24.08,24.25,23.42,23.82,109113444.0,24.13,24.59,23.4,24.5,398540702.0,24.2,25.73,23.94,25.55,422386240.0,25.72,26.27,25.52,25.9,97044626.0,25.85,26.07,25.5,26.05,159226659.0,24.23,24.54,23.8,24.13,228431555.0,0
