@RELATION "B3 - SAPR4"

@ATTRIBUTE cotacao1 NUMERIC
@ATTRIBUTE high1 NUMERIC
@ATTRIBUTE low1 NUMERIC
@ATTRIBUTE open1 NUMERIC
@ATTRIBUTE volume1 NUMERIC
@ATTRIBUTE cotacao2 NUMERIC
@ATTRIBUTE high2 NUMERIC
@ATTRIBUTE low2 NUMERIC
@ATTRIBUTE open2 NUMERIC
@ATTRIBUTE volume2 NUMERIC
@ATTRIBUTE cotacao3 NUMERIC
@ATTRIBUTE high3 NUMERIC
@ATTRIBUTE low3 NUMERIC
@ATTRIBUTE open3 NUMERIC
@ATTRIBUTE volume3 NUMERIC
@ATTRIBUTE cotacao4 NUMERIC
@ATTRIBUTE high4 NUMERIC
@ATTRIBUTE low4 NUMERIC
@ATTRIBUTE open4 NUMERIC
@ATTRIBUTE volume4 NUMERIC
@ATTRIBUTE cotacao5 NUMERIC
@ATTRIBUTE high5 NUMERIC
@ATTRIBUTE low5 NUMERIC
@ATTRIBUTE open5 NUMERIC
@ATTRIBUTE volume5 NUMERIC
@ATTRIBUTE cotacao NUMERIC
@ATTRIBUTE high NUMERIC
@ATTRIBUTE low NUMERIC
@ATTRIBUTE open NUMERIC
@ATTRIBUTE volume NUMERIC
@ATTRIBUTE alvo {1, 0}

@DATA
2.3333,2.3667,2.3,2.3,17847201.0,2.3067,2.3067,2.2733,2.2867,105441.0,2.3,2.3267,2.2667,2.3,3810528.0,2.2367,2.3,2.2033,2.2567,1041975.0,2.25,2.3333,2.25,2.2833,2110590.0,2.38,2.38,2.3333,2.3333,1439718.0,1
2.38,2.38,2.3333,2.3333,1439718.0,2.3333,2.3667,2.3,2.3,17847201.0,2.3067,2.3067,2.2733,2.2867,105441.0,2.3,2.3267,2.2667,2.3,3810528.0,2.2367,2.3,2.2033,2.2567,1041975.0,2.4,2.4333,2.3167,2.3833,797223.0,1
2.4,2.4333,2.3167,2.3833,797223.0,2.38,2.38,2.3333,2.3333,1439718.0,2.3333,2.3667,2.3,2.3,17847201.0,2.3067,2.3067,2.2733,2.2867,105441.0,2.3,2.3267,2.2667,2.3,3810528.0,2.4167,2.43,2.3333,2.3667,197691.0,1
2.4167,2.43,2.3333,2.3667,197691.0,2.4,2.4333,2.3167,2.3833,797223.0,2.38,2.38,2.3333,2.3333,1439718.0,2.3333,2.3667,2.3,2.3,17847201.0,2.3067,2.3067,2.2733,2.2867,105441.0,2.4133,2.4167,2.3833,2.4167,78461886.0,1
2.4133,2.4167,2.3833,2.4167,78461886.0,2.4167,2.43,2.3333,2.3667,197691.0,2.4,2.4333,2.3167,2.3833,797223.0,2.38,2.38,2.3333,2.3333,1439718.0,2.3333,2.3667,2.3,2.3,17847201.0,2.4267,2.4267,2.4,2.4,54186.0,1
2.4267,2.4267,2.4,2.4,54186.0,2.4133,2.4167,2.3833,2.4167,78461886.0,2.4167,2.43,2.3333,2.3667,197691.0,2.4,2.4333,2.3167,2.3833,797223.0,2.38,2.38,2.3333,2.3333,1439718.0,2.4467,2.4467,2.4,2.4033,162537.0,1
2.4467,2.4467,2.4,2.4033,162537.0,2.4267,2.4267,2.4,2.4,54186.0,2.4133,2.4167,2.3833,2.4167,78461886.0,2.4167,2.43,2.3333,2.3667,197691.0,2.4,2.4333,2.3167,2.3833,797223.0,2.5,2.5,2.4467,2.45,447966.0,0
2.5,2.5,2.4467,2.45,447966.0,2.4467,2.4467,2.4,2.4033,162537.0,2.4267,2.4267,2.4,2.4,54186.0,2.4133,2.4167,2.3833,2.4167,78461886.0,2.4167,2.43,2.3333,2.3667,197691.0,2.5467,2.58,2.5167,2.5167,347130.0,0
2.5467,2.58,2.5167,2.5167,347130.0,2.5,2.5,2.4467,2.45,447966.0,2.4467,2.4467,2.4,2.4033,162537.0,2.4267,2.4267,2.4,2.4,54186.0,2.4133,2.4167,2.3833,2.4167,78461886.0,2.5967,2.6167,2.5333,2.5333,1251624.0,0
2.5967,2.6167,2.5333,2.5333,1251624.0,2.5467,2.58,2.5167,2.5167,347130.0,2.5,2.5,2.4467,2.45,447966.0,2.4467,2.4467,2.4,2.4033,162537.0,2.4267,2.4267,2.4,2.4,54186.0,2.6267,2.6667,2.62,2.6333,538332.0,0
