@RELATION "B3 - PETR4"

@ATTRIBUTE cotacao1 NUMERIC
@ATTRIBUTE high1 NUMERIC
@ATTRIBUTE low1 NUMERIC
@ATTRIBUTE open1 NUMERIC
@ATTRIBUTE volume1 NUMERIC
@ATTRIBUTE cotacao2 NUMERIC
@ATTRIBUTE high2 NUMERIC
@ATTRIBUTE low2 NUMERIC
@ATTRIBUTE open2 NUMERIC
@ATTRIBUTE volume2 NUMERIC
@ATTRIBUTE cotacao3 NUMERIC
@ATTRIBUTE high3 NUMERIC
@ATTRIBUTE low3 NUMERIC
@ATTRIBUTE open3 NUMERIC
@ATTRIBUTE volume3 NUMERIC
@ATTRIBUTE cotacao4 NUMERIC
@ATTRIBUTE high4 NUMERIC
@ATTRIBUTE low4 NUMERIC
@ATTRIBUTE open4 NUMERIC
@ATTRIBUTE volume4 NUMERIC
@ATTRIBUTE cotacao5 NUMERIC
@ATTRIBUTE high5 NUMERIC
@ATTRIBUTE low5 NUMERIC
@ATTRIBUTE open5 NUMERIC
@ATTRIBUTE volume5 NUMERIC
@ATTRIBUTE cotacao NUMERIC
@ATTRIBUTE high NUMERIC
@ATTRIBUTE low NUMERIC
@ATTRIBUTE open NUMERIC
@ATTRIBUTE volume NUMERIC
@ATTRIBUTE alvo {1, 0}

@DATA
23.88,23.93,22.83,22.95,869338039.0,23.1,23.59,22.71,23.49,935047469.0,23.21,24.36,23.1,24.36,1007653835.0,24.36,24.54,23.62,23.8,1131824910.0,23.5,24.55,23.5,24.24,2127412734.0,24.05,24.15,23.65,24.1,585077026.0,0
24.05,24.15,23.65,24.1,585077026.0,23.88,23.93,22.83,22.95,869338039.0,23.1,23.59,22.71,23.49,935047469.0,23.21,24.36,23.1,24.36,1007653835.0,24.36,24.54,23.62,23.8,1131824910.0,23.89,24.13,23.74,23.92,414017199.0,0
23.89,24.13,23.74,23.92,414017199.0,24.05,24.15,23.65,24.1,585077026.0,23.88,23.93,22.83,22.95,869338039.0,23.1,23.59,22.71,23.49,935047469.0,23.21,24.36,23.1,24.36,1007653835.0,23.92,24.09,23.67,23.68,505129089.0,0
23.92,24.09,23.67,23.68,505129089.0,23.89,24.13,23.74,23.92,414017199.0,24.05,24.15,23.65,24.1,585077026.0,23.88,23.93,22.83,22.95,869338039.0,23.1,23.59,22.71,23.49,935047469.0,24.48,24.59,24.11,24.15,581390997.0,0
24.48,24.59,24.11,24.15,581390997.0,23.92,24.09,23.67,23.68,505129089.0,23.89,24.13,23.74,23.92,414017199.0,24.05,24.15,23.65,24.1,585077026.0,23.88,23.93,22.83,22.95,869338039.0,24.35,24.92,24.29,24.65,744139565.0,0
24.35,24.92,24.29,24.65,744139565.0,24.48,24.59,24.11,24.15,581390997.0,23.92,24.09,23.67,23.68,505129089.0,23.89,24.13,23.74,23.92,414017199.0,24.05,24.15,23.65,24.1,585077026.0,24.33,24.69,24.33,24.51,578384866.0,0
24.33,24.69,24.33,24.51,578384866.0,24.35,24.92,24.29,24.65,744139565.0,24.48,24.59,24.11,24.15,581390997.0,23.92,24.09,23.67,23.68,505129089.0,23.89,24.13,23.74,23.92,414017199.0,24.31,24.64,24.24,24.5,582609646.0,0
24.31,24.64,24.24,24.5,582609646.0,24.33,24.69,24.33,24.51,578384866.0,24.35,24.92,24.29,24.65,744139565.0,24.48,24.59,24.11,24.15,581390997.0,23.92,24.09,23.67,23.68,505129089.0,24.88,24.88,24.46,24.51,464444206.0,0
24.88,24.88,24.46,24.51,464444206.0,24.31,24.64,24.24,24.5,582609646.0,24.33,24.69,24.33,24.51,578384866.0,24.35,24.92,24.29,24.65,744139565.0,24.48,24.59,24.11,24.15,581390997.0,25.3,25.3,24.86,24.94,506256288.0,0
25.3,25.3,24.86,24.94,506256288.0,24.88,24.88,24.46,24.51,464444206.0,24.31,24.64,24.24,24.5,582609646.0,24.33,24.69,24.33,24.51,578384866.0,24.35,24.92,24.29,24.65,744139565.0,24.59,25.24,24.45,25.15,565982369.0,0
